DateTime,Entries,UniqueIPs
1532401231,16900,16900
1532403145,16912,16912
1532405060,16836,16836
1532407006,16843,16843
1532408916,16865,16865
1532410818,16825,16825
1532412757,17246,17246
1532414656,17893,17893
1532416819,18503,18503
1532418763,18545,18545
1532420661,18601,18601
1532422865,12063,12063
1532424736,12103,12103
1532426674,12137,12137
1532428572,11067,11067
1532430508,11066,11066
1532432411,11051,11051
1532434370,11070,11070
1532436256,11040,11040
1532438197,11055,11055
1532440117,11050,11050
1532442260,10647,10647
1532444170,10469,10469
1532446099,10436,10436
1532448057,10389,10389
1532449972,10442,10442
1532451863,10471,10471
1532453789,10302,10302
1532455708,11334,11334
1532457615,10924,10924
1532459663,10886,10886
1532461720,10981,10981
1532463609,13638,13638
1532465570,15223,15223
1532467455,16144,16144
1532469391,16131,16131
1532471296,16193,16193
1532473278,16411,16411
1532475147,16514,16514
1532477087,16867,16867
1532478974,16928,16928
1532480922,18912,18912
1532482830,18845,18845
1532484767,18780,18780
1532486737,18837,18837
1532488581,18830,18830
1532490495,18823,18823
1532492426,18782,18782
1532494362,18788,18788
1532496259,18794,18794
1532498451,18635,18635
1532500440,18056,18056
1532502256,17457,17457
1532504177,17268,17268
1532506110,17262,17262
1532508034,17247,17247
1532509948,17191,17191
1532511866,17161,17161
1532513782,17346,17346
1532515722,17369,17369
1532517615,17416,17416
1532519589,17411,17411
1532521457,17411,17411
1532523397,17449,17449
1532525291,17446,17446
1532527235,17444,17444
1532529161,17460,17460
1532531321,17656,17656
1532533244,17649,17649
1532535397,17586,17586
1532537311,17502,17502
1532539221,17668,17668
1532541149,17674,17674
1532543074,17632,17632
1532544981,17648,17648
1532547015,17674,17674
1532548827,16220,16220
1532550796,14591,14591
1532552673,13312,13312
1532554639,13251,13251
1532556507,13246,13246
1532558491,13820,13820
1532560344,14876,14876
1532562298,15582,15582
1532564191,15554,15554
1532566141,14596,14596
1532568014,13569,13569
1532569986,13571,13571
1532571890,13443,13443
1532573816,13269,13269
1532575712,13280,13280
1532577730,13270,13270
1532579562,13255,13255
1532581517,13231,13231
1532583400,13241,13241
1532585344,13224,13224
1532587234,13177,13177
1532589221,13319,13319
1532591056,13338,13338
1532593037,13291,13291
1532594897,13276,13276
1532597106,13236,13236
1532598982,13788,13788
1532600947,17359,17359
1532602843,17993,17993
1532604830,18717,18717
1532606678,18740,18740
1532608644,18741,18741
1532610518,18748,18748
1532612472,18739,18739
1532614346,18728,18728
1532616576,18715,18715
1532618430,17983,17983
1532620488,17495,17495
1532622507,17492,17492
1532624407,17555,17555
1532626361,17502,17502
1532628323,17517,17517
1532630187,17592,17592
1532633590,17599,17599
1532635466,17619,17619
1532637660,17521,17521
1532639549,17544,17544
1532641502,17586,17586
1532643375,17646,17646
1532646400,15828,15828
1532648408,14850,14850
1532650244,14888,14888
1532652260,14940,14940
1532654098,14933,14933
1532656359,14944,14944
1532658269,14950,14950
1532660173,14964,14964
1532662127,14969,14969
1532664041,14981,14981
1532665968,14943,14943
1532667884,14933,14933
1532669812,14934,14934
1532671706,15351,15351
1532673890,15486,15486
1532675780,15435,15435
1532677972,15463,15463
1532679869,16620,16620
1532681794,19467,19467
1532683954,22439,22439
1532685874,22804,22804
1532687772,18175,18175
1532689724,17896,17896
1532691630,17275,17275
1532693572,17270,17270
1532695462,17194,17194
1532697385,17191,17191
1532699316,17198,17198
1532701305,17205,17205
1532703337,17210,17210
1532705305,17228,17228
1532707210,17354,17354
1532709154,17406,17406
1532711329,17382,17382
1532713226,17394,17394
1532715160,17414,17414
1532717066,17387,17387
1532718994,17361,17361
1532720895,17354,17354
1532722826,18069,18069
1532724738,18073,18073
1532726678,18945,18945
1532728579,20192,20192
1532731563,20805,20805
1532733392,20795,20795
1532735436,20781,20781
1532737472,20773,20773
1532739293,20735,20735
1532741555,20752,20752
1532743477,20733,20733
1532745374,20741,20741
1532747326,20844,20844
1532749232,20827,20827
1532751162,20809,20809
1532753068,20704,20704
