DateTime,AddedIPs,RemovedIPs
1532399325,19,15
1532401234,18,556
1532403146,21,14
1532405060,31,34
1532407006,49,71
1532408917,34,18
1532410818,41,31
1532412757,286,19
1532414656,216,16
1532416820,172,13
1532418764,27,14
1532420662,30,16
1532422872,18,5332
1532424737,285,204
1532426674,33,10
1532428572,25,751
1532430509,32,19
1532432412,20,14
1532434370,33,27
1532436256,26,24
1532438197,29,21
1532440118,27,24
1532442260,31,194
1532444170,57,144
1532446100,17,34
1532448067,24,34
1532449972,49,41
1532451864,32,22
1532453790,25,169
1532455708,842,58
1532457616,64,46
1532459665,32,28
1532461721,66,35
1532463609,1295,23
1532465570,1280,22
1532467455,833,18
1532469392,26,17
1532471296,91,30
1532473296,228,26
1532475148,67,17
1532477088,140,19
1532478975,57,18
1532480927,1708,24
1532482831,18,41
1532484768,20,35
1532486738,97,19
1532488582,14,15
1532490496,20,34
1532492427,19,32
1532494366,25,36
1532496260,13,42
1532498456,22,162
1532500441,17,209
1532502257,29,163
1532504181,26,56
1532506111,21,25
1532508035,30,25
1532509949,35,97
1532511867,272,307
1532513782,177,29
1532515722,34,24
1532517616,38,19
1532519590,26,26
1532521457,31,29
1532523398,36,22
1532525292,20,26
1532527237,25,20
1532529161,23,25
1532531333,170,40
1532533244,20,17
1532535397,31,38
1532537312,23,43
1532539222,47,16
1532541153,23,19
1532543074,20,29
1532544982,31,44
1532547015,36,22
1532548830,19,475
1532550796,55,1100
1532552673,31,1051
1532554640,96,348
1532556507,29,34
1532558495,699,295
1532560345,917,66
1532562299,630,20
1532564191,12,21
1532566142,17,819
1532568015,27,892
1532569986,23,17
1532571891,13,53
1532573816,18,139
1532575712,20,19
1532577731,19,24
1532579562,18,23
1532581518,25,25
1532583401,22,16
1532585346,15,27
1532587235,14,27
1532589221,157,25
1532591056,15,18
1532593037,15,26
1532594898,23,33
1532597107,14,36
1532598983,660,481
1532600948,1518,30
1532602844,274,41
1532604831,179,17
1532606678,18,19
1532608645,15,29
1532610521,15,29
1532612472,31,29
1532614347,19,20
1532616577,20,34
1532618431,14,560
1532620489,16,346
1532622507,20,28
1532624408,120,30
1532626362,13,33
1532628324,14,39
1532630188,25,24
1532633591,42,52
1532635467,20,23
1532637660,21,39
1532639550,26,26
1532641503,132,43
1532643375,59,25
1532646400,45,1475
1532648408,19,837
1532650244,14,15
1532652260,29,14
1532654098,19,22
1532656359,20,34
1532658269,11,14
1532660173,21,30
1532662128,17,19
1532664041,15,25
1532665969,30,125
1532667885,26,21
1532669812,18,29
1532671707,356,21
1532673891,31,23
1532675781,22,101
1532677973,32,21
1532679870,1072,21
1532681794,2628,20
1532683955,2737,22
1532685874,1175,611
1532687773,14,1891
1532689728,356,217
1532691631,22,177
1532693572,18,49
1532695463,26,79
1532697386,27,29
1532699317,18,32
1532701306,32,28
1532703338,36,22
1532705306,35,17
1532707211,129,25
1532709155,56,23
1532711330,53,177
1532713227,41,25
1532715160,44,22
1532717067,38,42
1532718995,18,42
1532720895,24,28
1532722826,129,34
1532724739,25,32
1532726678,730,48
1532728580,1057,88
1532731564,671,120
1532733393,22,27
1532735437,34,20
1532737473,18,17
1532739294,19,19
1532741555,16,18
1532743478,13,25
1532745375,22,15
1532747328,63,19
1532749233,13,24
1532751163,18,18
1532753068,16,35
1532755003,27,26
1532756913,19,141
1532758820,19,210
1532760754,27,23
1532762677,19,35
1532764586,16,23
1532766504,23,1393
1532768452,37,2589
1532770355,21,2448
1532773069,58,1218
1532774911,12,286
1532776810,24,227
1532778740,22,19
1532780651,12,20
1532782590,23,20
1532784490,16,21
1532786326,14,18
1532788419,24,30
1532790264,6,26
1532792171,194,33
1532794140,28,41
1532796034,22,48
1532797939,1090,41
1532799851,37,41
1532801797,437,32
1532803694,1112,23
1532805633,23,14
1532807775,14,22
1532810102,20,127
1532811913,8,150
1532813810,20,1175
1532815713,17,1172
1532817658,17,289
1532819589,16,18
1532821466,13,33
1532823414,15,26
1532826096,42,32
1532827957,19,18
1532829861,22,14
1532831790,14,14
1532833691,17,64
1532835856,19,18
1532837779,20,21
1532839720,141,27
1532841625,23,26
1532843561,12,22
1532845455,24,19
1532847402,127,23
1532849293,31,10
1532851250,15,16
