DateTime,AddedIPs,RemovedIPs
1532399325,3,6
1532401237,2,6
1532403146,3,3
1532405061,4,1
1532407007,5,5
1532408918,5,4
1532410821,3,2
1532412758,6,6
1532414657,4,3
1532416820,12,5
1532418764,4,3
1532420662,4,4
1532422880,11,3
1532424737,8,7
1532426674,4,3
1532428573,6,6
1532430513,3,5
1532432412,6,10
1532434370,5,5
1532436257,6,4
1532438198,8,5
1532440118,3,2
1532442261,7,4
1532444170,6,6
1532446100,4,4
1532448077,13,6
1532449972,7,4
1532451864,8,8
1532453790,7,8
1532455709,8,13
1532457616,3,9
1532459665,6,9
1532461721,5,8
1532463610,2,5
1532465571,3,8
1532467456,10,3
1532469392,6,11
1532471297,5,7
1532473305,2,7
1532475148,1,3
1532477089,3,9
1532478975,6,5
1532480927,4,3
1532482831,1,2
1532484768,3,2
1532486738,3,2
1532488582,8,1
1532490496,9,4
1532492427,7,2
1532494366,2,5
1532496260,4,5
1532498461,1,5
1532500441,1,3
1532502257,0,7
1532504181,3,10
1532506112,5,2
1532508035,3,8
1532509949,9,8
1532511867,1,5
1532513783,3,6
1532515723,5,4
1532517617,2,4
1532519590,5,7
1532521458,8,3
1532523399,5,8
1532525292,8,6
1532527244,6,6
1532529162,4,6
1532531337,8,5
1532533245,3,7
1532535398,3,10
1532537313,2,12
1532539222,4,6
1532541153,3,7
1532543075,5,6
1532544982,6,3
1532547016,5,5
1532548834,5,7
1532550797,4,1
1532552674,5,3
1532554640,1,12
1532556508,5,4
1532558495,1,4
1532560345,6,1
1532562299,4,2
1532564192,2,4
1532566142,5,5
1532568015,2,3
1532569987,3,2
1532571891,4,4
1532573817,0,5
1532575713,2,8
1532577731,3,11
1532579562,4,2
1532581518,3,3
1532583401,1,3
1532585347,2,2
1532587235,2,0
1532589222,5,1
1532591057,8,1
1532593041,1,4
1532594898,9,7
1532597107,1,5
1532598983,6,3
1532600948,3,6
1532602845,3,1
1532604831,6,5
1532606679,3,6
1532608646,3,6
1532610522,5,7
1532612473,3,9
1532614347,2,5
1532616577,2,7
1532618435,7,6
1532620489,3,4
1532622508,3,5
1532624409,5,3
1532626362,5,5
1532628324,7,2
1532630189,10,5
1532633591,13,12
1532635467,4,5
1532637662,5,2
1532639551,30,5
1532641503,5,4
1532643376,2,3
1532646401,10,3
1532648408,3,6
1532650245,3,4
1532652260,8,4
1532654099,4,2
1532656359,7,5
1532658270,5,3
1532660173,2,0
1532662128,5,2
1532664043,2,3
1532665969,2,3
1532667885,3,3
1532669813,2,2
1532671707,2,2
1532673891,2,3
1532675781,1,3
1532677973,5,8
1532679871,3,0
1532681796,4,10
1532683955,3,2
1532685878,5,4
1532687773,2,3
1532689736,13,5
1532691632,5,4
1532693573,9,4
1532695463,9,1
1532697386,7,5
1532699317,2,2
1532701307,1,2
1532703338,2,3
