DateTime,Entries,UniqueIPs
1532186977,67,67
1532188858,67,67
1532196513,68,68
1532198474,68,68
1532200601,71,71
1532204655,71,71
1532208496,72,72
1532210433,73,73
1532212357,73,73
1532214526,71,71
1532216414,72,72
1532220267,74,74
1532222203,74,74
1532224095,75,75
1532229855,76,76
1532231796,74,74
1532235713,71,71
1532237808,69,69
1532239727,72,72
1532243567,71,71
1532249540,74,74
1532253380,72,72
1532255446,70,70
1532257464,66,66
1532259379,61,61
1532261311,63,63
1532267058,62,62
1532268981,60,60
1532270918,62,62
1532272825,63,63
1532278756,64,64
1532280745,64,64
1532282682,65,65
1532284572,66,66
1532286518,64,64
1532288425,62,62
1532290394,64,64
1532292295,64,64
1532294209,69,69
1532296118,69,69
1532298018,68,68
1532302120,71,71
1532304030,71,71
1532305959,74,74
1532307875,76,76
1532313634,77,77
1532315564,76,76
1532317500,78,78
1532321302,77,77
1532327115,76,76
1532329007,75,75
1532330898,74,74
1532332854,73,73
1532334755,72,72
1532336659,73,73
1532341425,78,78
1532343374,75,75
1532345318,79,79
1532347270,78,78
1532349141,79,79
1532351076,80,80
1532352984,79,79
1532355155,78,78
1532357067,76,76
1532359002,76,76
1532360902,78,78
1532362850,79,79
1532366899,79,79
1532368889,81,81
1532370764,82,82
1532372657,83,83
1532374578,81,81
1532376687,80,80
1532379763,78,78
1532381772,76,76
1532383979,74,74
1532385905,77,77
1532387799,74,74
1532389712,75,75
1532391637,77,77
1532393601,76,76
1532395500,75,75
1532397378,78,78
1532399328,78,78
1532401284,79,79
1532403148,89,89
1532405064,90,90
1532407009,92,92
1532410824,93,93
1532412760,93,93
1532416822,93,93
1532418766,94,94
1532420664,95,95
1532422893,94,94
1532424739,95,95
1532426676,90,90
1532430521,89,89
1532432414,89,89
1532434373,89,89
1532436259,89,89
1532438200,89,89
1532440120,90,90
1532444172,89,89
1532446102,89,89
1532448093,88,88
1532451866,90,90
1532453792,86,86
1532457618,85,85
1532459668,83,83
1532463612,82,82
1532465573,79,79
1532467458,81,81
1532469394,82,82
1532471299,82,82
1532473310,80,80
1532477091,81,81
1532478977,82,82
1532480930,84,84
1532482833,85,85
1532484770,89,89
1532486740,90,90
1532488584,88,88
1532490502,78,78
1532492430,77,77
1532494368,77,77
1532496265,77,77
1532498486,78,78
1532502259,76,76
1532506114,75,75
1532508037,74,74
1532511869,74,74
1532513785,78,78
1532515725,77,77
1532517619,77,77
1532519592,76,76
1532523401,76,76
1532525294,76,76
1532527300,78,78
1532529164,78,78
1532531344,79,79
1532533247,78,78
1532537315,78,78
1532539224,76,76
1532544984,75,75
1532547018,75,75
1532548890,74,74
1532550799,74,74
1532552676,75,75
1532554642,76,76
1532556514,78,78
1532558497,79,79
1532562301,81,81
1532564194,82,82
1532566145,82,82
1532568018,83,83
1532569989,81,81
1532571893,80,80
1532573819,80,80
1532575718,80,80
1532577733,81,81
1532581521,80,80
1532583404,78,78
1532585357,77,77
1532587237,78,78
1532589224,79,79
1532593044,78,78
1532594901,79,79
1532598985,79,79
1532600951,78,78
1532602848,77,77
1532604834,73,73
1532606681,71,71
1532608648,72,72
1532610534,70,70
1532612475,64,64
1532614350,63,63
1532616580,62,62
1532618437,62,62
1532622511,63,63
1532626365,63,63
1532630191,62,62
1532633594,61,61
1532635473,63,63
1532637664,62,62
1532639557,61,61
1532641506,59,59
1532643378,55,55
1532646403,57,57
1532648411,56,56
1532650248,57,57
1532654101,54,54
1532656362,57,57
1532658272,58,58
1532660176,59,59
1532662130,60,60
1532664060,60,60
