DateTime,AddedIPs,RemovedIPs
1532401290,3,1085
1532403148,14,2
1532405064,8,5
1532407009,7,18
1532408923,6,3
1532410824,7,3
1532412760,385,2
1532414659,620,6
1532416823,621,1
1532418766,13,1
1532420665,3,3
1532422893,5,2
1532424739,289,0
1532426677,14,2
1532428575,4,3
1532430522,11,3
1532432415,3,5
1532434373,8,4
1532436259,5,12
1532438201,6,2
1532440120,6,1
1532442263,3,68
1532444173,48,15
1532446103,6,7
1532448093,5,4
1532449978,8,6
1532451867,4,7
1532453793,8,178
1532455715,5,41
1532457619,67,5
1532459668,5,11
1532461724,157,22
1532463612,2850,5
1532465573,1903,5
1532467458,1168,3
1532469395,7,3
1532471300,4,9
1532473311,5,3
1532475151,2,4
1532477091,3,4
1532478978,7,6
1532480931,2,5
1532482834,3,3
1532484771,4,0
1532486741,103,5
1532488585,4,5
1532490502,1,5
1532492431,2,1
1532494369,4,4
1532496266,3,20
1532498486,5,139
1532500444,2,534
1532502260,0,627
1532504184,6,190
1532506115,0,3
1532508038,1,0
1532509955,1,84
1532511870,327,319
1532513785,172,2
1532515725,3,4
1532517619,28,3
1532519593,1,3
1532521461,2,9
1532523402,4,1
1532525295,3,4
1532527301,6,2
1532529165,1,0
1532531345,3,36
1532533247,3,2
1532535401,1,5
1532537315,3,5
1532539228,7,3
1532541156,6,9
1532543078,4,1
1532544985,3,58
1532547019,3,1
1532548892,1,1499
1532550799,166,2031
1532552676,8,1562
1532554643,5,501
1532556516,8,22
1532558498,1172,3
1532560348,1486,2
1532562302,945,3
1532564195,3,1
1532566146,6,3
1532568018,3,0
1532569990,6,1
1532571894,19,2
1532573819,3,106
1532575719,4,1
1532577734,4,0
1532579565,2,3
1532581521,3,1
1532583404,7,2
1532585357,7,3
1532587238,1,0
1532589224,156,1
1532591059,2,1
1532593044,5,0
1532594901,3,0
1532597116,8,3
1532598986,903,535
1532600951,596,2
1532602849,557,32
1532604834,739,2
1532606681,31,1
1532608649,5,1
1532610537,5,2
1532612476,6,2
1532614351,5,4
1532616580,5,2
1532618438,5,3
1532620492,5,5
1532622512,7,1
1532624412,117,5
1532626366,3,2
1532628328,5,2
1532630192,3,0
1532633594,4,1
1532635473,4,5
1532637665,3,178
1532639558,5,4
1532641506,146,5
1532643378,49,8
1532646404,28,2637
1532648411,2,1340
1532650248,5,5
1532652263,8,7
1532654101,5,6
1532656362,3,7
1532658272,2,23
1532660176,1,5
1532662131,4,8
1532664062,6,7
1532665972,8,127
1532667888,2,3
1532669815,3,6
1532671720,487,7
1532673894,3,7
1532675788,4,100
1532677976,24,5
1532679874,8,3
1532681799,2,5
1532683958,2,8
1532685881,1,908
1532687776,2,560
1532689748,377,633
1532691634,4,614
1532693579,4,6
1532695466,5,3
1532697389,1,10
1532699320,2,9
1532701309,4,4
1532703341,2,6
1532705313,2,7
1532707216,118,7
1532709158,7,8
1532711335,3,169
1532713230,2,8
1532715164,2,4
1532717073,5,5
1532718998,7,20
1532720899,4,9
1532722830,6,2
1532724742,8,4
1532726682,1207,22
1532728583,1729,90
1532731567,904,96
1532733396,2,14
1532735440,24,5
1532737476,5,2
1532739297,10,3
1532741559,3,2
1532743481,4,2
1532745379,4,1
1532747332,3,0
1532749240,7,3
1532751167,2,4
1532753071,2,2
1532755006,5,2
1532756916,4,2
1532758823,3,247
1532760757,6,2
1532762680,4,4
1532764589,3,5
1532766507,7,3
1532769608,6,2
1532771566,1,1
1532773512,51,43
1532775377,3,308
1532777329,1,215
1532779269,6,0
1532781161,5,5
1532783085,4,3
1532784996,4,1
1532786900,2,3
1532788833,3,0
1532790745,128,4
1532792689,86,1
1532794712,3,1
1532796752,5,4
1532798648,50,1
1532800884,3,0
1532802758,3,0
1532804751,4,1
1532806599,1,3
1532808582,3,4
1532810422,3,3
1532812434,0,706
1532814274,7,1845
1532816311,10,1667
1532818350,5,3
1532820262,7,3
1532822438,2,26
1532824375,4,5
1532826554,30,14
1532828444,3,1
1532830403,4,8
1532832286,6,2
1532834172,1,6
1532836113,3,7
1532838009,1,4
1532839932,171,6
1532841859,7,5
1532843770,11,4
1532845708,149,5
