DateTime,AddedIPs,RemovedIPs
1532401298,1,5
1532403149,6,1
1532405065,8,6
1532407010,14,5
1532408924,24,3
1532410825,29,10
1532412761,20,2
1532414660,12,1
1532416824,6,2
1532418767,13,4
1532420665,10,11
1532422894,3,7
1532424740,2,10
1532426677,18,3
1532428576,15,5
1532430526,17,5
1532432416,9,10
1532434374,11,7
1532436261,11,10
1532438202,8,5
1532440121,13,6
1532442264,16,17
1532444174,5,24
1532446104,3,13
1532448097,5,5
1532449980,16,7
1532451867,9,15
1532453793,12,10
1532455716,2,7
1532457619,10,10
1532459669,7,7
1532461725,8,15
1532463613,9,9
1532465574,9,8
1532467459,14,6
1532469396,14,3
1532471301,16,11
1532473312,12,2
1532475152,9,2
1532477093,8,1
1532478979,9,4
1532480932,9,8
1532482835,4,5
1532484772,7,9
1532486742,19,1
1532488586,8,6
1532490503,10,2
1532492432,10,11
1532494370,4,11
1532496267,4,16
1532498487,9,26
1532500445,2,14
1532502264,0,11
1532504185,5,8
1532506116,6,9
1532508038,22,4
1532509956,16,2
1532511870,10,4
1532513786,6,15
1532515726,8,17
1532517620,10,12
1532519594,8,10
1532521462,11,9
1532523403,17,11
1532525296,10,7
1532527303,11,11
1532529166,8,8
1532531350,10,3
1532533248,8,5
1532535401,5,11
1532537317,10,12
1532539229,14,5
1532541157,9,6
1532543078,12,8
1532544985,18,8
1532547020,17,8
1532548893,10,8
1532550800,10,10
1532552677,4,12
1532554643,6,9
1532556517,6,12
1532558498,5,6
1532560349,8,12
1532562303,11,10
1532564195,13,6
1532566147,5,9
1532568019,13,9
1532569990,11,9
1532571895,5,11
1532573820,11,17
1532575719,11,10
1532577735,13,4
1532579566,9,3
1532581523,9,5
1532583405,7,3
1532585358,5,7
1532587239,8,1
1532589225,3,1
1532591060,7,3
1532593046,1,10
1532594902,1,28
1532597117,9,22
1532598987,11,8
1532600952,18,7
1532602853,13,10
1532604835,10,4
1532606682,2,7
1532608650,6,18
1532610539,4,16
1532612477,5,9
1532614352,7,12
1532616581,11,11
1532618439,6,5
1532620493,9,13
1532622513,10,14
1532624413,7,8
1532626367,7,19
