DateTime,AddedIPs,RemovedIPs
1531250729,1,1
1531252620,0,1
1531260287,1,1
1531266020,0,1
1531283564,0,2
1531291482,1,1
1531295313,1,0
1531301067,1,0
1531310690,1,0
1531312592,0,1
1531322194,1,0
1531324113,1,0
1531330348,0,1
1531332261,1,0
1531334429,1,0
1531336359,1,1
1531348106,0,1
1531376898,0,1
1531382678,0,1
1531384589,1,0
1531386525,0,1
1531390355,1,0
1531396110,0,1
1531398035,1,0
1531405700,5,0
1531407693,0,1
1531409555,0,1
1531411502,1,0
1531413414,1,0
1531419137,0,1
1531421051,0,1
1531422992,1,1
1531429009,1,0
1531434402,1,0
1531438091,1,0
1531441940,1,0
1531462610,2,0
1531464501,1,0
1531466433,1,0
1531470264,0,1
1531476101,1,1
1531477949,1,0
1531483736,1,1
1531485633,1,0
1531491653,0,3
1531493551,0,2
1531497370,2,1
1531499293,0,1
1531508933,0,1
1531512736,1,0
1531514673,1,1
1531516611,3075,14
1531520448,76,0
1531524285,1,0
1531531960,1,0
1531573066,1,0
1531591514,1,0
1531614073,1,0
1531618155,2,0
1531634991,1,0
1531642642,1,0
1531644623,1,0
1531654286,1,0
1531669796,1,0
1531674155,1,0
1531691846,1,0
1531700485,2,0
1531702419,1,0
1531708153,1,0
1531714835,1,0
1531722771,3,0
1531756198,1,0
1531764360,1,0
1531768132,1,0
1531783019,1,0
1531848073,1,0
1531856011,1,0
1531865568,0,3171
1531867467,0,1
1531873218,0,1
1531875157,1,0
1531894365,1,0
1531898201,0,1
1531900108,1,1
1531902041,0,1
1531903942,0,1
1531905859,1,0
1531907798,1,0
1531917376,1,0
1531925058,1,0
1531928892,1,0
1531934698,0,1
1531942630,0,1
1531961797,0,1
1531963705,1,0
1531973335,1,0
1531979309,0,1
1531987278,0,1
1531991108,1,0
1531994925,0,1
1531996871,0,1
1531998756,1,0
1532008392,1,0
1532010292,1,0
1532012189,0,1
1532016095,1,1
1532019909,4,0
1532021788,2,0
1532023813,1,1
1532027457,1,0
1532031394,1,0
1532037408,1,0
1532049413,0,1
1532059011,1,0
1532061156,0,1
1532070767,1,0
1532078485,1,1
1532080363,1,0
1532084200,0,1
1532088067,2,0
1532091884,1,0
1532095723,0,1
1532097628,1,0
1532099562,2,0
1532103390,1,1
1532105323,0,2
1532107243,0,3
1532109165,1,0
1532111064,2,0
1532112999,1,2
1532116887,1,1
1532122662,1,0
1532124512,0,1
1532144240,0,1
1532146359,1,0
1532152138,1,0
1532154022,1,0
1532156050,1,1
1532157877,1,0
1532163916,0,1
1532167744,0,1
1532173459,0,1
1532175459,0,1
1532179278,1,1
1532183126,0,1
1532186978,0,1
1532188906,2,1
1532194639,0,1
1532196515,5,2
1532198476,1,2
1532200602,0,1
1532204656,1,1
1532206603,1,0
1532208497,0,1
1532212359,1,1
1532224096,1,0
1532231798,1,0
1532233697,0,1
1532239730,0,2
1532241626,0,1
1532243568,0,1
1532245464,1,0
1532253381,1,0
1532265148,0,1
1532270919,1,0
1532274759,0,2
1532282683,0,1
1532284576,1,3
1532286538,1,0
1532290395,0,1
1532294211,0,1
1532298019,1,0
1532299951,0,1
1532302121,1,0
1532304031,1,0
1532305960,1,0
1532313635,1,0
1532317503,1,0
1532319395,0,1
1532321304,1,0
1532327116,2,0
1532329009,1,0
1532332869,0,1
1532338586,1,1
1532341427,2,0
1532351078,1,0
1532357069,1,0
1532359003,2,1
1532360903,1,0
1532368891,1,0
1532370766,1,1
1532372659,0,2
1532376689,1,0
1532381774,3,0
1532383980,1,1
1532389714,0,2
1532393606,0,1
1532395504,1,1
1532399329,0,1
1532401298,2,0
1532403149,0,1
1532408924,0,1
1532414660,1,3
1532416824,1,0
1532420666,1,0
1532424740,0,1
1532426678,1,1
1532428576,1,1
1532430526,1,0
1532434374,1,0
1532436261,0,1
1532442264,1,0
1532444174,0,1
1532446104,0,2
1532448098,0,1
1532455716,0,1
1532457620,1,1
1532461725,1,1
1532467459,0,3
1532469396,1,1
1532475152,2,0
1532482835,0,1
1532484772,1,0
1532486745,0,2
1532494370,1,0
1532496267,1,0
1532502265,0,2
1532504185,1,0
1532508039,2,1
1532513787,1,1
1532517621,2,1
1532521463,1,0
1532527304,0,2
1532529166,1,0
1532531351,0,1
1532535402,1,0
1532537317,1,0
1532539229,1,0
1532541157,1,0
1532543079,0,1
1532544986,3,0
1532547020,0,1
1532552677,1,0
1532556517,2,1
1532558499,1,0
1532562303,1,2
1532571895,0,1
1532573821,1,0
1532579566,1,0
1532581524,0,2
1532583405,1,0
1532587239,1,0
1532589225,1,1
1532591060,1,0
1532593046,0,1
1532594903,2,1
1532602855,2,1
1532604835,0,2
1532606683,1,1
1532608650,1,0
1532610543,1,0
1532620493,0,1
1532622517,0,1
1532624414,1,1
1532626367,0,2
1532628329,0,1
1532633596,0,3
1532637670,1,1
1532639559,1,0
1532641508,0,1
1532643380,0,1
1532646405,1,1
1532648412,0,1
1532660177,0,1
1532662132,1,0
1532665973,0,1
1532669817,3,1
1532673895,1,1
1532675789,0,1
1532677977,0,1
1532681800,0,2
1532689749,0,2
1532691637,1,1
1532695467,0,2
1532703342,2,0
1532707217,1,0
