DateTime,Entries,UniqueIPs
1532401302,2369,2369
1532403152,2367,2367
1532405069,2363,2363
1532407016,2368,2368
1532408943,2367,2367
1532410832,2361,2361
1532412767,2360,2360
1532414663,2371,2371
1532416828,2370,2370
1532418771,2380,2380
1532420672,2380,2380
1532422898,2390,2390
1532424746,2393,2393
1532426681,2404,2404
1532428582,1710,1710
1532430534,1713,1713
1532432420,1713,1713
1532434377,1724,1724
1532436272,1726,1726
1532438205,1726,1726
1532440125,1732,1732
1532442267,1740,1740
1532444177,1745,1745
1532446107,1757,1757
1532448101,1760,1760
1532449984,1800,1800
1532451874,1800,1800
1532453797,1795,1795
1532455720,1796,1796
1532457623,1304,1304
1532459672,1308,1308
1532461728,1306,1306
1532463620,1315,1315
1532465578,1299,1299
1532467463,1273,1273
1532469399,1250,1250
1532471304,1297,1297
1532473316,1485,1485
1532475155,1497,1497
1532477099,1495,1495
1532478982,1501,1501
1532480936,1529,1529
1532482838,1519,1519
1532484775,1506,1506
1532486748,1485,1485
1532488590,1483,1483
1532490506,1497,1497
1532492437,1502,1502
1532494373,1509,1509
1532496271,1501,1501
1532498491,1511,1511
1532500451,1508,1508
1532502269,1508,1508
1532504189,1517,1517
1532506121,1534,1534
1532508045,1528,1528
1532509959,1528,1528
1532511874,1533,1533
1532513790,1546,1546
1532515730,1551,1551
1532517624,1566,1566
1532519598,1566,1566
1532521467,1577,1577
1532523406,1588,1588
1532525299,1591,1591
1532527308,1586,1586
1532529169,1591,1591
1532531356,1595,1595
1532533252,1606,1606
1532535405,1562,1562
1532537321,1556,1556
1532539233,1554,1554
1532541161,1552,1552
1532543082,1543,1543
1532544989,1534,1534
1532547023,1532,1532
1532548897,1514,1514
1532550804,1505,1505
1532552680,1515,1515
1532554647,1510,1510
1532556527,1504,1504
1532558512,1267,1267
1532560352,1287,1287
1532562307,1304,1304
1532564199,1297,1297
1532566151,1276,1276
1532568026,1269,1269
1532569998,1258,1258
1532571899,1254,1254
1532573832,1259,1259
1532575723,1255,1255
1532577738,1251,1251
1532579569,1237,1237
1532581527,1245,1245
1532583408,1240,1240
1532585363,1222,1222
1532587242,1216,1216
1532589229,1206,1206
1532591063,1211,1211
1532593049,1195,1195
1532594906,1200,1200
1532597121,1181,1181
1532598990,1161,1161
1532600957,1149,1149
1532602894,1140,1140
1532604839,1128,1128
1532606690,1129,1129
1532608654,1121,1121
1532610550,1128,1128
1532612481,1120,1120
1532614359,1117,1117
1532616586,1109,1109
1532618443,1108,1108
1532620497,1089,1089
1532622521,1086,1086
1532624423,1076,1076
1532626371,1082,1082
1532628332,1078,1078
1532630196,1090,1090
1532633599,1135,1135
1532635478,1146,1146
1532637673,1161,1161
1532639563,1157,1157
1532641512,1176,1176
1532643383,1179,1179
1532646408,1190,1190
1532648416,1155,1155
1532650253,1160,1160
1532652267,1176,1176
1532654106,1176,1176
1532656366,1190,1190
1532658277,1197,1197
1532660180,1209,1209
1532662135,1211,1211
1532664096,1209,1209
1532665977,1216,1216
1532667892,1208,1208
1532669823,1220,1220
1532671731,1235,1235
1532673899,1309,1309
1532675792,1321,1321
1532677985,1320,1320
1532679879,1309,1309
1532681805,1309,1309
1532683963,1317,1317
1532685885,1318,1318
1532687783,1313,1313
1532689754,1316,1316
1532691652,1323,1323
1532693585,1324,1324
1532695471,1313,1313
1532697394,1317,1317
1532699325,1322,1322
1532701314,1323,1323
1532703346,1326,1326
1532705317,1332,1332
1532707221,1332,1332
1532709161,1335,1335
1532711341,1340,1340
1532713234,1346,1346
1532715168,1361,1361
1532717077,1341,1341
1532719002,1329,1329
1532720906,1306,1306
1532722835,2040,2040
1532724747,2033,2033
1532726691,2038,2038
1532728588,2024,2024
1532731573,2035,2035
1532733400,2039,2039
1532735444,2037,2037
1532737480,2029,2029
1532739301,2023,2023
1532741563,2038,2038
1532743487,2028,2028
1532745383,2030,2030
1532747337,2029,2029
1532749244,2027,2027
1532751171,2037,2037
1532753076,2032,2032
1532755011,2033,2033
1532756920,2022,2022
1532758828,1978,1978
1532760761,1915,1915
1532762684,1904,1904
1532764594,1907,1907
1532766511,1915,1915
1532768511,1922,1922
1532770362,1916,1916
1532773076,1929,1929
1532774917,1926,1926
1532776817,1935,1935
1532778746,1921,1921
1532780657,1927,1927
1532782596,1950,1950
1532784495,1957,1957
1532786332,1959,1959
1532788428,1971,1971
1532790269,1972,1972
1532792177,1988,1988
1532794148,2003,2003
1532796040,2008,2008
1532797944,4044,4044
1532799857,4046,4046
1532801805,5286,5286
1532803701,7846,7846
1532805639,7854,7854
1532807782,7859,7859
1532810108,7117,7117
1532811921,7117,7117
1532813822,7121,7121
1532815720,7135,7135
1532817664,7138,7138
1532819599,7147,7147
1532821472,7156,7156
1532823421,7175,7175
1532826103,7172,7172
1532827964,7176,7176
1532829867,7171,7171
1532831797,7176,7176
1532833697,7186,7186
1532835865,7187,7187
1532837789,7200,7200
1532839726,7211,7211
1532841639,7205,7205
1532843567,7213,7213
1532845461,7225,7225
1532847408,7230,7230
1532849299,7244,7244
1532851308,7241,7241
1532853171,7231,7231
1532855073,7229,7229
1532856986,7238,7238
1532858929,7236,7236
1532860835,7243,7243
1532862766,7231,7231
1532864661,7230,7230
1532866612,7227,7227
1532868498,7219,7219
1532870455,7203,7203
1532872343,7201,7201
1532874267,7190,7190
1532876096,7187,7187
1532878373,7172,7172
1532880269,7161,7161
1532882189,7163,7163
1532884158,5119,5119
1532886024,5122,5122
1532887963,4499,4499
1532889865,1199,1199
1532891789,1187,1187
1532893721,1188,1188
1532895977,1183,1183
1532897820,1186,1186
1532899691,1182,1182
1532901880,1185,1185
1532903778,1184,1184
1532905739,1181,1181
1532907620,1186,1186
1532909567,1166,1166
