DateTime,AddedIPs,RemovedIPs
1532401303,6,7
1532403153,6,8
1532405070,6,5
1532407017,6,5
1532408949,5,10
1532410834,13,5
1532412769,11,6
1532414665,12,8
1532416830,7,7
1532418772,8,6
1532420673,8,12
1532422899,3,3
1532424748,10,6
1532426682,9,4
1532428583,10,6
1532430539,5,11
1532432421,7,9
1532434378,7,8
1532436273,6,9
1532438207,12,7
1532440127,11,12
1532442268,12,14
1532444178,10,11
1532446108,13,12
1532448102,4,6
1532449987,5,8
1532451875,8,7
1532453798,8,12
1532455721,6,8
1532457624,7,8
1532459673,11,10
1532461729,14,10
1532463621,6,8
1532465579,5,2
1532467464,3,7
1532469400,4,4
1532471305,0,6
1532473317,8,8
1532475157,2,1
1532477101,7,9
1532478984,3,5
1532480938,7,3
1532482839,3,6
1532484776,2,7
1532486749,2,6
1532488591,5,7
1532490507,7,11
1532492441,6,7
1532494377,6,7
1532496272,7,11
1532498492,10,15
1532500452,11,11
1532502270,7,12
1532504190,8,5
1532506123,8,6
1532508046,5,9
1532509960,5,2
1532511875,8,14
1532513791,3,9
1532515731,12,7
1532517626,7,6
1532519599,7,8
1532521468,7,5
1532523408,4,7
1532525300,10,15
1532527311,9,12
1532529170,10,7
1532531358,11,13
1532533253,8,12
1532535406,8,3
1532537322,7,8
1532539234,9,7
1532541162,11,5
1532543083,10,8
1532544990,5,8
1532547025,6,10
1532548898,12,8
1532550808,4,3
1532552682,8,5
1532554648,5,3
1532556528,6,3
1532558514,1,3
1532560353,3,5
1532562309,30,4
1532564200,5,8
1532566152,2,3
1532568027,5,12
1532569999,4,4
1532571900,5,2
1532573833,5,3
1532575724,7,5
1532577739,6,5
1532579570,4,7
1532581529,10,6
1532583409,9,7
1532585365,6,8
1532587243,7,7
1532589230,15,10
1532591064,21,8
1532593051,4,5
1532594907,8,5
1532597122,5,9
1532598991,10,5
1532600958,11,5
1532602895,7,8
1532604840,7,10
1532606691,7,3
1532608655,8,4
1532610551,12,7
1532612483,12,9
1532614361,8,5
1532616588,18,10
1532618444,11,7
1532620499,6,7
1532622522,10,7
1532624429,3,3
1532626372,10,11
1532628333,5,9
1532630198,10,6
1532633600,4,8
1532635480,10,7
1532637674,2,3
1532639565,2,11
1532641513,12,4
1532643384,6,7
1532646410,8,6
1532648417,8,30
1532650254,3,5
1532652269,10,2
1532654107,3,4
1532656367,12,4
1532658278,9,6
1532660181,11,5
1532662136,7,6
1532664097,5,6
1532665978,11,3
1532667894,8,9
1532669824,7,8
1532671733,22,5
1532673900,87,12
1532675793,10,10
1532677987,11,5
1532679880,5,6
1532681806,5,6
1532683964,8,5
1532685886,7,12
1532687784,4,8
1532689755,7,9
1532691653,13,8
1532693586,6,7
1532695473,6,12
1532697395,14,9
1532699326,12,12
1532701315,9,12
1532703347,8,11
1532705318,11,13
1532707223,7,7
1532709163,4,8
1532711346,7,5
1532713235,14,10
1532715170,6,6
1532717078,8,10
1532719004,7,4
1532720907,5,7
1532722837,739,5
1532724748,3,1
1532726692,6,2
1532728589,4,12
1532731574,5,5
1532733401,5,7
1532735445,8,9
1532737481,2,7
1532739303,4,5
1532741565,5,9
1532743488,3,9
1532745384,5,5
1532747342,6,8
1532749245,10,9
1532751172,4,4
1532753077,3,10
1532755012,8,11
1532756921,2,10
1532758830,6,59
1532760762,9,66
1532762686,5,10
1532764602,9,7
1532766512,7,5
1532768512,3,4
1532770363,8,9
1532773078,8,8
1532774918,6,9
1532776818,10,5
1532778748,12,16
1532780664,9,7
1532782598,15,7
1532784496,12,17
1532786333,12,11
1532788429,8,6
1532790271,13,9
1532792178,8,11
1532794149,9,4
1532796041,8,5
1532797945,9,5
1532799858,9,14
1532801806,8,6
1532803702,2,7
1532805644,6,6
1532807783,8,6
1532810109,7,750
1532811923,5,3
1532813823,4,8
1532815721,6,3
1532817665,9,2
1532819600,7,6
