DateTime,AddedIPs,RemovedIPs
1532399337,6,4
1532401307,6,2
1532403158,3,3
1532405073,7,5
1532407020,8,3
1532408952,9,1
1532410839,1,7
1532412771,6,8
1532414670,4,1
1532416833,2,6
1532418775,8,3
1532420676,7,6
1532422902,4,2
1532424750,5,5
1532426684,4,4
1532428586,3,6
1532430550,4,5
1532432424,2,4
1532434381,5,5
1532436275,3,4
1532438209,3,5
1532440132,1,1
1532442271,5,4
1532444180,4,3
1532446110,3,4
1532448104,3,6
1532449990,1,3
1532451878,5,2
1532453807,2,4
1532455726,2,4
1532457627,4,6
1532459679,7,6
1532461732,3,3
1532463624,4,2
1532465582,0,4
1532467467,3,3
1532469406,5,8
1532471308,1,3
1532473320,3,3
1532475162,3,3
1532477108,1,6
1532478986,2,2
1532480941,5,1
1532482842,2,2
1532484779,4,3
1532486752,2,6
1532488594,2,2
1532490510,6,4
1532492446,4,5
1532494380,6,7
1532496275,2,2
1532498496,8,4
1532500455,5,8
1532502273,4,3
1532504193,9,8
1532506126,5,5
1532508049,9,5
1532509963,4,9
1532511878,1,5
1532513794,4,3
1532515737,1,3
1532517629,8,4
1532519602,2,3
1532521471,2,2
1532523411,6,5
1532525303,4,2
1532527314,4,2
1532529173,3,4
1532531361,6,5
1532533256,5,2
1532535409,5,4
1532537325,3,3
1532539237,3,5
1532541165,2,3
1532543086,2,5
1532544993,0,5
1532547027,6,5
1532548902,5,4
1532550811,1,3
1532552684,1,2
1532554654,2,3
1532556531,3,4
1532558516,4,3
1532560356,0,2
1532562314,3,2
1532564203,2,2
1532566158,6,2
1532568030,3,5
1532570002,3,1
1532571916,3,2
1532573836,7,0
1532575727,5,3
1532577747,7,1
1532579576,3,5
1532581531,5,0
1532583412,0,4
1532585368,5,10
1532587245,5,5
1532589233,1,6
1532591067,3,5
1532593053,4,8
1532594910,4,6
1532597125,1,7
1532598994,1,5
1532600960,3,6
1532602899,4,5
1532604843,6,4
1532606693,4,3
1532608658,3,2
1532610554,6,6
1532612486,4,3
1532614364,5,2
1532616595,2,5
1532618447,2,4
1532620502,4,4
1532622525,5,3
1532624441,3,4
1532626375,3,3
1532628336,2,5
1532630200,3,0
1532633603,1,4
1532635482,5,5
1532637677,3,2
1532639567,2,2
1532641516,3,1
1532646413,7,4
1532648420,3,3
1532650257,5,1
1532652271,0,5
1532654110,4,5
1532656370,5,4
1532658280,4,2
1532660184,8,5
1532662138,4,3
1532664100,1,6
1532665981,6,5
1532667896,3,6
1532669827,4,0
1532671737,2,3
1532673902,2,5
1532675796,3,2
1532677990,1,6
1532679883,5,6
1532681808,3,4
1532683967,4,4
1532685890,4,3
1532687787,3,5
1532689762,3,4
1532691656,4,6
1532693589,5,3
1532695478,2,3
1532697398,2,6
1532699329,5,3
1532701321,4,5
1532703353,5,1
1532705321,2,4
1532707226,3,2
1532709165,5,4
1532711349,5,4
1532713237,3,3
1532715173,4,3
1532717081,8,2
1532719006,3,1
1532720910,3,1
1532722839,3,5
1532724751,2,3
1532726696,1,2
1532728591,1,3
1532731577,9,6
1532733403,1,1
1532735448,3,7
1532737487,1,1
1532739306,4,4
1532741567,5,0
1532743491,3,7
1532745387,4,2
1532747346,7,6
1532749248,6,1
1532751175,8,0
1532753083,5,5
1532755015,8,2
1532756924,4,4
1532758832,4,1
1532760765,3,5
1532762688,3,3
1532764605,5,3
1532766519,1,6
1532768515,3,3
1532770366,3,6
1532773080,5,5
1532774921,4,3
1532776821,5,4
1532778750,3,5
1532780666,7,4
1532782600,5,1
1532784499,4,2
1532786335,3,5
1532788431,10,5
1532790273,0,4
1532792180,4,2
1532794151,1,4
1532796048,1,6
1532797948,5,4
1532799861,1,3
1532801809,5,2
1532803705,6,7
1532805647,6,1
1532807789,1,4
1532810112,2,2
1532811925,3,1
1532813826,8,2
1532815724,3,1
1532817668,6,6
1532819602,5,3
1532821476,5,2
1532823429,3,2
1532826108,5,7
1532827967,2,2
1532829875,2,2
1532831801,6,3
1532833701,8,5
1532835868,8,8
1532837793,9,4
1532839738,11,3
1532841648,5,8
1532843571,3,5
1532845465,4,4
1532847416,9,2
1532849310,3,5
1532851312,4,6
1532853175,0,3
1532855080,2,4
1532856992,2,3
1532858937,3,6
1532860839,2,5
1532862770,2,5
1532864666,0,3
1532866616,5,8
1532868507,4,5
1532870461,3,8
1532872351,7,1
1532874271,5,10
1532876100,3,2
1532878377,1,2
1532880273,2,2
1532882192,1,1
1532884162,2,5
1532886033,7,1
1532887966,1,7
1532889868,0,5
1532891796,2,6
1532893725,5,0
1532895981,2,1
1532897823,2,2
1532899694,2,10
1532901886,3,6
1532903782,0,5
1532905745,1,7
1532907623,9,3
1532909570,2,2
1532911462,0,2
1532913399,5,4
1532915315,1,2
1532917483,3,4
1532919716,5,5
1532921559,0,5
1532923485,7,6
1532925379,2,7
1532927347,3,7
1532929223,5,6
1532931148,5,3
1532933084,4,10
1532934982,5,5
1532936924,5,3
1532938829,1,0
1532940745,6,4
1532942670,5,4
1532944590,4,4
1532946508,0,2
1532948429,4,4
1532950349,4,0
1532952285,5,5
1532954197,5,6
1532956149,2,2
1532958022,1,4
1532960207,8,7
1532962118,4,2
1532964031,5,3
1532965974,2,3
1532967880,4,1
1532969814,7,3
1532971732,7,7
1532973700,6,1
1532975565,5,0
1532977478,2,1
1532979409,5,5
1532981349,5,2
1532983269,8,0
1532985164,2,2
1532987108,4,6
1532988994,3,0
1532990934,5,0
1532992857,7,4
1532994779,3,6
1532996687,3,2
1532998616,4,0
1533000530,4,5
1533002507,2,1
1533004367,5,3
1533006284,2,4
1533008225,4,4
1533010132,7,3
1533012033,10,3
1533013983,5,3
1533015875,4,5
1533017824,3,4
1533019717,5,6
1533021640,4,4
1533023601,10,5
1533025537,5,2
1533027409,6,6
1533029320,7,3
1533031318,8,2
1533033433,8,2
1533035334,7,5
1533037255,5,3
1533039182,3,6
1533041081,7,4
1533043027,5,1
1533044940,5,5
1533046832,3,3
1533049025,6,6
1533050912,3,2
1533052777,4,3
1533054796,9,3
1533056938,8,6
1533058829,1,7
1533060782,5,8
1533062663,2,3
1533064601,6,1
1533067169,10,6
1533069176,4,6
1533071078,2,3
1533073241,7,6
1533075325,6,2
1533077323,3,7
1533079225,1,9
1533081139,4,4
1533083083,3,4
1533084982,3,3
1533086801,6,6
1533088835,4,2
1533091013,8,4
1533092951,10,3
1533094821,6,5
1533096741,10,8
1533098689,6,9
1533100600,6,3
1533102508,8,4
1533104422,4,5
1533106371,5,5
1533108260,11,5
1533110221,11,9
1533112122,11,6
1533114083,6,7
1533115943,2,8
1533117890,5,4
1533119777,4,6
1533121731,6,7
1533124333,5,3
1533126289,2,2
1533128182,5,6
1533130119,3,6
1533132036,3,1
1533133977,5,4
1533135880,3,4
1533137817,3,6
1533139998,2,11
1533141873,2,3
1533143788,3,10
1533145714,2,2
1533147648,6,3
1533149572,7,4
1533151465,7,5
1533153405,1,6
1533155303,1,3
1533157309,6,6
1533159152,4,4
1533161100,5,6
1533163225,4,4
1533166490,6,7
1533168316,3,2
1533170195,4,3
1533172150,3,7
1533174030,1,4
1533175967,5,4
1533177872,0,7
