DateTime,Entries,UniqueIPs
1532399337,185,185
1532401307,189,189
1532403158,189,189
1532405073,191,191
1532407020,196,196
1532408952,204,204
1532410839,198,198
1532412771,196,196
1532414670,199,199
1532416833,195,195
1532418775,200,200
1532420676,201,201
1532422902,203,203
1532424750,203,203
1532426684,203,203
1532428586,200,200
1532430550,199,199
1532432424,197,197
1532434381,197,197
1532436275,196,196
1532438209,194,194
1532440132,194,194
1532442271,195,195
1532444180,196,196
1532446110,195,195
1532448104,192,192
1532449990,190,190
1532451878,193,193
1532453807,191,191
1532455726,189,189
1532457627,187,187
1532459679,188,188
1532461732,188,188
1532463624,190,190
1532465582,186,186
1532467467,186,186
1532469406,183,183
1532471308,181,181
1532473320,181,181
1532475162,181,181
1532477108,176,176
1532478986,176,176
1532480941,180,180
1532482842,180,180
1532484779,181,181
1532486752,177,177
1532488594,177,177
1532490510,179,179
1532492446,178,178
1532494380,177,177
1532496275,177,177
1532498496,181,181
1532500455,178,178
1532502273,179,179
1532504193,180,180
1532506126,180,180
1532508049,184,184
1532509963,179,179
1532511878,175,175
1532513794,176,176
1532515737,174,174
1532517629,178,178
1532519602,177,177
1532521471,177,177
1532523411,178,178
1532525303,180,180
1532527314,182,182
1532529173,181,181
1532531361,182,182
1532533256,185,185
1532535409,186,186
1532537325,186,186
1532539237,184,184
1532541165,183,183
1532543086,180,180
1532544993,175,175
1532547027,176,176
1532548902,177,177
1532550811,175,175
1532552684,174,174
1532554654,173,173
1532556531,172,172
1532558516,173,173
1532560356,171,171
1532562314,172,172
1532564203,172,172
1532566158,176,176
1532568030,174,174
1532570002,176,176
1532571916,177,177
1532573836,184,184
1532575727,186,186
1532577747,192,192
1532579576,190,190
1532581531,195,195
1532583412,191,191
1532585368,186,186
1532587245,186,186
1532589233,181,181
1532591067,179,179
1532593053,175,175
1532594910,173,173
1532597125,167,167
1532598994,163,163
1532600960,160,160
1532602899,159,159
1532604843,161,161
1532606693,162,162
1532608658,163,163
1532610554,163,163
1532612486,164,164
1532614364,167,167
1532616595,164,164
1532618447,162,162
1532620502,162,162
1532622525,164,164
1532624441,163,163
1532626375,163,163
1532628336,160,160
1532630200,163,163
1532633603,160,160
1532635482,160,160
1532637677,161,161
1532639567,161,161
1532641516,163,163
1532646413,166,166
1532648420,166,166
1532650257,170,170
1532652271,165,165
1532654110,164,164
1532656370,165,165
