DateTime,AddedIPs,RemovedIPs
1532401309,34,217
1532403159,45,41
1532405075,60,136
1532407021,135,150
1532408954,41,36
1532410840,46,101
1532412773,83,42
1532414672,47,31
1532416834,40,38
1532418776,55,37
1532420677,78,25
1532422903,39,6889
1532424751,36,253
1532426685,36,34
1532428587,39,42
1532430551,35,43
1532432425,36,52
1532434382,53,53
1532436277,43,69
1532438210,56,48
1532440133,43,67
1532442272,42,406
1532444181,43,237
1532446111,43,82
1532448106,52,110
1532449991,101,113
1532451879,79,47
1532453808,38,58
1532455727,1181,92
1532457628,88,56
1532459680,55,77
1532461733,52,83
1532463625,75,49
1532465583,200,73
1532467468,51,36
1532469407,43,46
1532471309,58,59
1532473320,36,58
1532475163,147,59
1532477109,463,56
1532478987,107,45
1532480943,2373,54
1532482843,32,97
1532484780,34,87
1532486753,29,45
1532488595,28,34
1532490511,48,68
1532492447,55,99
1532494381,96,92
1532496276,75,46
1532498497,33,57
1532500456,39,83
1532502274,87,43
1532504194,42,36
1532506127,40,63
1532508050,59,74
1532509964,60,47
1532511879,61,44
1532513795,83,36
1532515738,74,39
1532517630,62,40
1532519603,47,45
1532521472,49,52
1532523412,61,45
1532525304,45,53
1532527315,50,48
1532529174,55,39
1532531362,273,45
1532533257,35,42
1532535411,71,71
1532537326,77,131
1532539238,209,42
1532541166,70,57
1532543087,47,83
1532544994,112,44
1532547028,63,32
1532548903,44,45
1532550812,78,78
1532552685,55,187
1532554655,370,36
1532556534,64,41
1532558518,42,55
1532560357,37,124
1532562316,38,41
1532564204,36,59
1532566159,54,1180
1532568031,44,1209
1532570003,45,38
1532571917,31,167
1532573837,29,101
1532575728,45,32
1532577748,35,50
1532579577,49,54
1532581532,86,124
1532583413,53,45
1532585369,37,38
1532587246,35,89
1532589234,38,47
1532591068,36,41
1532593054,37,64
1532594911,40,44
1532597126,43,55
1532598998,205,39
1532600962,3292,56
1532602900,180,61
1532604844,45,39
1532606695,39,40
1532608659,44,38
1532610555,50,42
1532612487,51,47
1532614365,41,38
1532616596,39,58
1532618448,41,814
1532620503,40,514
1532622526,39,43
1532624447,49,102
1532626376,46,84
1532628337,63,47
1532630201,95,38
1532633604,73,100
1532635483,48,34
1532637678,41,72
1532639568,55,40
1532641517,36,131
1532643388,64,61
1532646414,47,56
1532648421,41,27
1532650258,51,29
1532652273,46,37
1532654111,40,36
1532656371,57,47
1532658281,35,36
1532660185,40,37
1532662140,39,35
1532664101,58,32
1532666005,112,42
1532667897,53,71
1532669828,61,55
1532671738,48,36
1532673906,90,28
1532675797,54,23
1532677991,36,24
1532679884,1222,29
1532681810,2893,35
1532683968,3019,40
1532685891,1269,31
1532687788,43,4163
1532689763,34,58
1532691665,31,49
1532693590,60,83
1532695479,48,126
1532697399,52,56
1532699330,52,41
1532701322,55,45
1532703354,48,44
1532705322,45,41
1532707228,43,38
1532709167,81,39
1532711351,163,61
1532713239,45,47
1532715174,69,61
1532717082,106,108
1532719007,72,40
1532720911,59,41
1532722840,80,101
1532724756,56,50
1532726698,49,78
1532728592,39,39
1532731578,76,87
1532733408,38,26
1532735449,35,58
1532737488,52,45
1532739307,53,46
1532741569,60,58
1532743492,45,52
1532745388,52,45
1532747348,56,47
1532749249,37,52
1532751176,34,64
1532753084,50,140
1532755016,147,65
1532756925,34,408
1532758833,24,105
1532760766,83,66
1532762690,53,77
1532764613,39,62
1532766520,60,1580
1532768516,100,2897
1532770367,51,2663
1532773081,70,1290
1532774921,37,67
1532776822,57,37
1532778751,25,38
1532780667,38,69
1532782601,54,57
1532784500,43,51
1532786336,37,51
1532788432,62,61
1532790274,32,45
1532792181,47,50
1532794152,37,43
1532796048,53,98
1532797949,135,93
1532799862,62,49
1532801809,38,54
1532803706,52,114
1532805648,90,61
1532807790,50,64
1532810113,65,84
1532811926,42,42
1532813827,41,44
1532815725,48,51
1532817670,45,46
1532819603,33,33
1532821477,38,33
1532823430,45,57
1532826109,75,96
1532827968,56,39
1532829876,70,40
1532831802,43,52
1532833702,38,50
1532835869,39,50
1532837794,35,42
1532839740,44,85
1532841649,78,119
1532843572,70,42
1532845465,32,36
1532847417,31,91
1532849311,84,38
1532851313,48,47
1532853176,41,53
1532855081,56,59
1532856993,45,63
1532858939,75,49
1532860840,33,88
1532862771,81,48
1532864667,68,28
1532866617,81,44
1532868508,73,50
1532870462,69,48
1532872352,71,41
1532874272,75,48
1532876101,816,44
1532878378,36,58
1532880274,34,26
1532882193,35,57
1532884163,66,106
1532886034,119,73
1532887967,31,49
1532889869,64,45
1532891797,48,77
1532893726,87,50
1532895982,50,63
1532897828,49,57
1532899695,88,39
1532901887,50,52
1532903783,35,37
1532905748,48,46
1532907624,46,37
1532909571,943,45
1532911463,1771,61
1532913400,1648,60
1532915316,1206,77
1532917484,73,55
1532919729,53,56
1532921560,64,38
1532923486,51,45
1532925380,62,37
1532927349,42,42
1532929224,96,117
1532931149,85,32
1532933085,33,34
1532934983,42,87
1532936926,75,53
1532938830,49,35
1532940746,35,64
1532942672,70,52
1532944591,39,43
1532946510,265,60
1532948430,271,59
1532950351,40,32
1532952286,35,23
1532954206,30,45
1532956152,33,46
1532958023,50,48
1532960208,37,51
1532962119,31,43
1532964032,47,756
1532965976,57,33
1532967881,40,37
1532969815,74,47
1532971737,131,101
1532973701,147,75
1532975566,46,49
1532977479,32,56
1532979410,55,83
1532981351,80,58
1532983270,30,34
1532985173,41,68
1532987109,71,44
1532988995,40,36
1532990936,389,38
1532992858,36,60
1532994780,27,33
1532996688,33,1615
1532998617,27,1751
1533000531,42,1600
1533002508,42,598
1533004368,42,66
1533006285,44,58
1533008225,36,55
1533010133,580,63
1533012034,33,61
1533013984,28,57
1533015876,49,100
1533017825,118,75
1533019718,36,32
1533021641,28,43
1533023602,45,78
1533025538,86,58
1533027410,28,36
1533029321,51,65
1533031319,113,55
1533033434,71,581
1533035335,73,131
1533037257,59,32
1533039183,50,51
1533041085,53,46
1533043028,49,51
1533044945,54,54
1533046833,57,42
1533049026,63,43
1533050913,63,55
1533052778,42,62
1533054797,48,61
1533056939,53,67
1533058830,45,90
1533060783,94,143
1533062664,129,65
1533064602,33,100
1533067170,73,162
1533069177,85,35
1533071079,51,30
1533073242,74,77
1533075326,85,50
1533077324,88,460
1533079226,55,41
1533081140,89,29
1533083084,49,38
1533084983,43,30
1533086802,40,34
1533088836,67,51
1533091014,61,48
1533092952,52,42
1533094822,39,44
1533096742,54,769
1533098695,54,39
1533100601,34,30
1533102509,34,56
1533104423,61,131
1533106372,144,29
1533108261,77,27
1533110222,50,84
1533112123,2954,42
1533114086,4640,38
1533115944,25,43
1533117891,61,72
1533119778,51,49
1533121732,73,50
1533124334,54,60
1533126290,30,56
1533128183,34,33
1533130120,48,44
1533132037,48,55
1533133978,53,412
1533135881,44,56
1533137818,39,47
1533140000,53,61
1533141874,58,46
1533143789,85,43
1533145716,59,53
1533147649,90,98
1533149574,99,100
1533151466,96,32
1533153406,53,50
1533155304,61,89
1533157311,111,49
1533159154,62,56
1533161101,82,64
1533163227,99,61
1533166491,151,76
1533168317,59,75
1533170197,53,46
1533172160,64,27
1533174031,40,38
1533175973,44,68
1533177873,54,42
1533179817,61,39
1533181708,53,37
1533183649,47,60
1533185564,46,38
1533187487,39,33
1533189381,36,43
1533191332,37,94
1533193269,97,114
1533195175,93,49
1533197100,40,50
1533199014,44,4708
1533200947,88,2907
1533202827,56,34
1533204775,48,66
1533206677,76,85
1533208836,47,65
1533210780,49,55
1533212694,63,32
1533214847,44,45
1533216752,56,51
1533218676,50,51
1533220582,68,56
1533222533,62,62
1533224516,43,44
1533226597,59,61
1533228754,55,80
1533230672,55,39
1533232900,53,51
1533234768,42,62
1533236697,88,121
1533238598,174,55
1533240548,59,57
1533242453,50,118
1533244393,130,103
1533246396,70,62
1533248200,38,109
1533250109,86,77
1533252046,67,122
1533254190,64,58
1533256109,45,57
1533258054,65,67
1533259971,225,40
1533261884,30,47
1533263787,45,49
1533265747,756,62
1533267640,6376,53
1533269570,517,55
1533271487,40,45
1533273403,49,42
1533275319,53,39
1533277245,65,37
1533279168,44,47
1533281076,87,129
1533283000,100,42
1533284910,75,41
1533286900,56,91
1533288778,123,61
1533290687,114,43
1533292614,103,66
1533294535,96,45
1533296690,77,62
1533298603,80,63
1533300519,71,36
1533302438,59,51
1533304349,77,45
1533306282,55,59
1533308192,49,69
1533310503,79,49
1533312537,59,46
1533314439,70,57
1533316355,59,56
1533318274,108,36
1533320183,111,38
1533322125,68,50
1533324033,80,156
1533325971,145,93
1533327872,81,41
1533329791,60,50
1533331713,51,101
1533333789,106,50
1533335791,31,51
1533337712,63,96
1533339637,62,47
1533341557,943,55
1533343460,372,56
1533345408,206,230
1533347560,140,48
1533349473,129,26
1533351411,96,58
1533353305,65,4554
1533355277,46,2929
1533357186,45,39
1533359071,47,51
1533361014,49,56
1533362925,48,59
1533364846,52,58
1533366760,52,45
1533368705,53,139
1533370598,141,76
1533372508,43,51
1533374426,67,119
1533376350,86,61
1533378300,70,81
