DateTime,Entries,UniqueIPs
1532401309,12778,12778
1532403159,12782,12782
1532405075,12706,12706
1532407021,12691,12691
1532408954,12696,12696
1532410840,12641,12641
1532412773,12682,12682
1532414672,12698,12698
1532416834,12700,12700
1532418776,12718,12718
1532420677,12771,12771
1532422903,5921,5921
1532424751,5704,5704
1532426685,5706,5706
1532428587,5703,5703
1532430551,5695,5695
1532432425,5679,5679
1532434382,5679,5679
1532436277,5653,5653
1532438210,5661,5661
1532440133,5637,5637
1532442272,5273,5273
1532444181,5079,5079
1532446111,5040,5040
1532448106,4982,4982
1532449991,4970,4970
1532451879,5002,5002
1532453808,4982,4982
1532455727,6071,6071
1532457628,6103,6103
1532459680,6081,6081
1532461733,6050,6050
1532463625,6076,6076
1532465583,6203,6203
1532467468,6218,6218
1532469407,6215,6215
1532471309,6214,6214
1532473320,6192,6192
1532475163,6280,6280
1532477109,6687,6687
1532478987,6749,6749
1532480943,9068,9068
1532482843,9003,9003
1532484780,8950,8950
1532486753,8934,8934
1532488595,8928,8928
1532490511,8908,8908
1532492447,8864,8864
1532494381,8868,8868
1532496276,8897,8897
1532498497,8873,8873
1532500456,8829,8829
1532502274,8873,8873
1532504194,8879,8879
1532506127,8856,8856
1532508050,8841,8841
1532509964,8854,8854
1532511879,8871,8871
1532513795,8918,8918
1532515738,8953,8953
1532517630,8975,8975
1532519603,8977,8977
1532521472,8974,8974
1532523412,8990,8990
1532525304,8982,8982
1532527315,8984,8984
1532529174,9000,9000
1532531362,9228,9228
1532533257,9221,9221
1532535411,9221,9221
1532537326,9167,9167
1532539238,9334,9334
1532541166,9347,9347
1532543087,9311,9311
1532544994,9379,9379
1532547028,9410,9410
1532548903,9409,9409
1532550812,9409,9409
1532552685,9277,9277
1532554655,9611,9611
1532556534,9634,9634
1532558518,9621,9621
1532560357,9534,9534
1532562316,9531,9531
1532564204,9508,9508
1532566159,8382,8382
1532568031,7217,7217
1532570003,7224,7224
1532571917,7088,7088
1532573837,7016,7016
1532575728,7029,7029
1532577748,7014,7014
1532579577,7009,7009
1532581532,6971,6971
1532583413,6979,6979
1532585369,6978,6978
1532587246,6924,6924
1532589234,6915,6915
1532591068,6910,6910
1532593054,6883,6883
1532594911,6879,6879
1532597126,6867,6867
1532598998,7033,7033
1532600962,10269,10269
1532602900,10388,10388
1532604844,10394,10394
1532606695,10393,10393
1532608659,10399,10399
1532610555,10407,10407
1532612487,10411,10411
1532614365,10414,10414
1532616596,10395,10395
1532618448,9622,9622
1532620503,9148,9148
1532622526,9144,9144
1532624447,9091,9091
1532626376,9053,9053
1532628337,9069,9069
1532630201,9126,9126
1532633604,9099,9099
1532635483,9113,9113
1532637678,9082,9082
1532639568,9097,9097
1532641517,9002,9002
1532643388,9005,9005
1532646414,8996,8996
1532648421,9010,9010
1532650258,9032,9032
1532652273,9041,9041
1532654111,9045,9045
1532656371,9055,9055
1532658281,9054,9054
1532660185,9057,9057
1532662140,9061,9061
1532664101,9087,9087
1532666005,9157,9157
1532667897,9139,9139
1532669828,9145,9145
1532671738,9157,9157
1532673906,9219,9219
1532675797,9250,9250
1532677991,9262,9262
1532679884,10455,10455
1532681810,13313,13313
1532683968,16292,16292
1532685891,17530,17530
1532687788,13410,13410
1532689763,13386,13386
1532691665,13368,13368
1532693590,13345,13345
1532695479,13267,13267
1532697399,13263,13263
1532699330,13274,13274
1532701322,13284,13284
1532703354,13288,13288
1532705322,13292,13292
1532707228,13297,13297
1532709167,13339,13339
1532711351,13441,13441
1532713239,13439,13439
1532715174,13447,13447
1532717082,13445,13445
1532719007,13477,13477
1532720911,13495,13495
1532722840,13474,13474
1532724756,13480,13480
1532726698,13451,13451
1532728592,13451,13451
1532731578,13440,13440
1532733408,13452,13452
1532735449,13429,13429
1532737488,13436,13436
1532739307,13443,13443
1532741569,13445,13445
1532743492,13438,13438
1532745388,13445,13445
1532747348,13454,13454
1532749249,13439,13439
1532751176,13409,13409
1532753084,13319,13319
1532755016,13401,13401
1532756925,13027,13027
1532758833,12946,12946
1532760766,12963,12963
1532762690,12939,12939
1532764613,12916,12916
1532766520,11396,11396
1532768516,8599,8599
1532770367,5987,5987
1532773081,4767,4767
1532774921,4737,4737
1532776822,4757,4757
1532778751,4744,4744
1532780667,4713,4713
1532782601,4710,4710
1532784500,4702,4702
1532786336,4688,4688
1532788432,4689,4689
1532790274,4676,4676
1532792181,4673,4673
1532794152,4667,4667
1532796048,4622,4622
1532797949,4664,4664
1532799862,4677,4677
1532801809,4661,4661
1532803706,4599,4599
1532805648,4628,4628
1532807790,4614,4614
1532810113,4595,4595
1532811926,4595,4595
1532813827,4592,4592
1532815725,4589,4589
1532817670,4588,4588
1532819603,4588,4588
1532821477,4593,4593
1532823430,4581,4581
1532826109,4560,4560
1532827968,4577,4577
1532829876,4607,4607
1532831802,4598,4598
1532833702,4586,4586
1532835869,4575,4575
1532837794,4568,4568
1532839740,4527,4527
1532841649,4486,4486
1532843572,4514,4514
1532845465,4510,4510
1532847417,4450,4450
1532849311,4496,4496
1532851313,4497,4497
1532853176,4485,4485
1532855081,4482,4482
1532856993,4464,4464
1532858939,4490,4490
1532860840,4435,4435
1532862771,4468,4468
1532864667,4508,4508
1532866617,4545,4545
1532868508,4568,4568
1532870462,4589,4589
1532872352,4619,4619
1532874272,4646,4646
1532876101,5418,5418
1532878378,5396,5396
1532880274,5404,5404
1532882193,5382,5382
1532884163,5342,5342
1532886034,5388,5388
1532887967,5370,5370
1532889869,5389,5389
1532891797,5360,5360
1532893726,5397,5397
1532895982,5384,5384
1532897828,5376,5376
1532899695,5425,5425
1532901887,5423,5423
1532903783,5421,5421
1532905748,5423,5423
1532907624,5432,5432
1532909571,6330,6330
1532911463,8040,8040
1532913400,9628,9628
1532915316,10757,10757
1532917484,10775,10775
1532919729,10772,10772
1532921560,10798,10798
1532923486,10804,10804
1532925380,10829,10829
1532927349,10829,10829
1532929224,10808,10808
1532931149,10861,10861
1532933085,10860,10860
1532934983,10815,10815
1532936926,10837,10837
1532938830,10851,10851
1532940746,10822,10822
1532942672,10840,10840
1532944591,10836,10836
1532946510,11041,11041
1532948430,11253,11253
1532950351,11261,11261
1532952286,11273,11273
1532954206,11258,11258
1532956152,11245,11245
1532958023,11247,11247
1532960208,11233,11233
1532962119,11221,11221
1532964032,10512,10512
1532965976,10536,10536
1532967881,10539,10539
1532969815,10566,10566
1532971737,10596,10596
1532973701,10668,10668
1532975566,10665,10665
