DateTime,AddedIPs,RemovedIPs
1532401316,10,7
1532403161,6,0
1532405077,7,5
1532407023,13,2
1532408956,7,1
1532410845,8,7
1532412775,6,1
1532414674,5,0
1532416836,7,3
1532418778,11,1
1532420679,4,2
1532422906,8,3
1532424753,8,1
1532426687,5,3
1532428588,8,7
1532430556,13,5
1532432426,4,3
1532434384,5,2
1532436279,3,1
1532438212,5,6
1532440139,4,6
1532442276,5,5
1532444183,3,5
1532446113,5,5
1532448107,8,6
1532449992,2,9
1532451880,9,8
1532453809,2,7
1532455732,4,4
1532457629,7,7
1532459681,2,15
1532461734,13,10
1532463626,4,6
1532465585,5,8
1532467469,3,9
1532469409,6,7
1532471311,4,3
1532473322,4,11
1532475165,8,9
1532477110,5,32
1532478989,2,5
1532480945,3,37
1532482847,2,6
1532484782,3,11
1532486755,3,12
1532488597,3,4
1532490513,6,6
1532492452,4,4
1532494383,3,14
1532496277,6,9
1532498504,6,6
1532500458,8,4
1532502275,3,4
1532504196,2,12
1532506129,7,4
1532508052,4,7
1532509966,1,8
1532511880,14,9
1532513797,7,11
1532515740,1,11
1532517631,2,10
1532519605,4,5
1532521474,6,7
1532523413,1,4
1532525306,2,5
1532527317,1,7
1532529176,2,3
1532531364,4,6
1532533259,1,10
1532535412,8,6
1532537328,7,11
1532539239,14,2
1532541168,6,2
1532543089,4,5
1532544995,8,7
1532547030,6,7
1532548905,7,9
1532550813,16,8
1532552687,7,4
1532554657,5,6
1532556538,11,4
1532558519,4,7
1532560362,5,3
1532562318,9,9
1532564205,10,5
1532566161,3,2
1532568032,5,3
1532570004,9,1
1532571919,6,4
1532573843,7,3
1532575730,8,4
1532577750,8,4
1532579579,6,2
1532581537,4,9
1532583415,7,3
1532585372,9,6
1532587248,5,6
1532589235,7,2
1532591070,3,2
1532593056,6,8
1532594912,9,3
1532597127,7,5
1532599000,7,14
1532600963,4,4
1532602902,1,3
1532604848,5,3
1532606696,2,4
1532608661,8,3
1532610557,2,1
1532612489,9,4
1532614367,7,2
1532616600,10,3
1532618450,7,2
1532620505,3,3
1532622528,5,5
1532624480,1,12
1532626378,5,9
1532628338,6,5
1532630203,5,3
1532633606,9,16
1532635485,5,9
1532637680,3,9
1532639570,6,9
1532641518,1,4
1532643390,4,6
1532646417,7,6
1532648423,2,5
1532650259,16,8
1532652274,33,5
1532654113,6,5
1532656373,5,12
1532658283,4,5
1532660187,1,3
1532662141,4,12
1532664103,7,8
1532666012,1,7
1532667899,6,3
1532669830,3,8
1532671740,2,7
1532673908,9,5
1532675798,1,6
1532677992,6,3
1532679886,6,8
1532681811,2,4
1532683970,3,9
1532685893,2,7
1532687790,5,3
1532689766,5,3
1532691666,4,5
1532693592,2,3
1532695481,4,8
1532697401,5,3
1532699332,1,11
1532701324,4,6
1532703356,3,13
1532705324,5,8
1532707229,3,4
1532709171,5,3
1532711354,13,4
1532713240,7,7
1532715176,16,5
1532717084,14,9
1532719009,8,6
1532720913,17,6
1532722842,4,3
1532724758,10,5
1532726703,3,7
1532728594,9,2
1532731583,11,4
1532733410,4,7
1532735451,9,0
1532737490,8,19
1532739308,11,31
1532741570,5,8
1532743493,9,1
1532745390,6,4
1532747350,1,3
1532749251,9,4
1532751177,3,3
1532753087,5,6
1532755018,8,4
1532756927,5,3
1532758835,5,4
1532760768,4,5
1532762691,7,1
1532764615,11,5
1532766522,5,7
1532768517,5,2
1532770368,6,3
1532773083,9,4
1532774927,2,4
1532776824,7,6
1532778753,7,1
1532780669,5,4
1532782603,5,4
1532784501,6,2
1532786338,9,2
1532788433,4,5
1532790275,5,2
1532792183,6,7
1532794153,2,3
1532796050,3,5
1532797950,1,11
1532799863,8,6
1532801811,5,8
1532803707,4,7
1532805649,2,8
1532807792,6,14
1532810114,9,8
1532811932,1,6
1532813828,5,5
1532815726,2,5
1532817671,2,7
1532819605,1,5
1532821478,5,6
1532823431,8,10
1532826113,5,9
1532827970,2,6
1532829877,3,10
1532831804,2,3
1532833703,5,0
1532835876,5,7
1532837795,2,4
1532839741,5,5
1532841650,2,8
1532843573,6,7
1532845467,1,6
1532847422,2,5
1532849313,5,6
1532851314,1,11
1532853177,4,7
1532855082,3,4
1532856995,3,9
1532858946,2,5
1532860842,4,7
1532862773,5,5
1532864668,3,6
1532866618,8,11
1532868509,3,4
1532870464,3,3
1532872353,0,6
1532874273,4,8
1532876102,1,3
1532878379,3,11
1532880275,2,4
1532882195,3,5
1532884165,3,5
1532886036,4,9
1532887968,5,6
1532889871,5,5
1532891799,4,5
1532893727,2,5
1532895983,4,12
1532897830,32,3
1532899697,36,4
1532901889,4,2
1532903784,1,3
1532905750,1,1
1532907626,3,5
1532909573,5,8
1532911464,3,6
1532913406,0,5
1532915318,1,3
1532917485,2,2
1532919731,3,9
1532921561,3,1
1532923488,9,3
1532925382,5,6
1532927350,2,2
1532929226,4,5
1532931151,4,1
1532933087,5,2
1532934985,3,4
1532936927,5,1
1532938832,1,2
1532940747,5,4
1532942673,3,2
1532944593,3,3
1532946511,3,2
1532948433,2,5
1532950352,4,3
1532952288,3,7
1532954207,6,4
1532956153,2,4
1532958025,5,3
1532960210,3,2
1532962121,0,2
1532964038,6,2
1532965977,4,2
1532967883,0,2
1532969816,4,3
1532971739,3,2
1532973702,14,8
1532975568,7,2
1532977480,8,5
1532979412,8,3
1532981353,5,3
1532983272,7,2
1532985175,7,34
1532987114,6,33
1532988996,6,1
1532990937,8,1
1532992860,6,2
1532994782,5,2
1532996690,3,6
1532998618,11,2
1533000533,8,3
1533002514,8,1
1533004370,1,2
1533006286,4,2
1533008227,4,3
1533010137,6,8
1533012036,5,3
1533013986,3,2
1533015878,3,4
1533017826,12,3
1533019720,2,7
1533021644,9,4
1533023604,7,5
1533025540,5,2
1533027412,3,6
1533029322,5,4
1533031320,3,2
1533033436,6,3
1533035338,5,4
1533037258,9,4
1533039185,3,3
1533041086,4,8
1533043029,8,2
1533044946,6,4
1533046835,4,3
1533049027,4,1
1533050914,1,6
1533052780,1,4
1533054799,5,2
1533056940,7,5
1533058831,4,2
1533060785,3,10
1533062666,7,7
1533064604,3,7
1533067172,5,8
1533069183,6,6
1533071080,8,7
1533073244,9,8
1533075328,3,5
1533077325,3,6
1533079230,5,5
1533081141,6,7
1533083086,1,2
1533084984,2,8
1533086804,5,6
1533088838,4,2
1533091016,8,4
1533092954,3,4
1533094823,4,4
1533096743,4,8
1533098697,3,4
1533100603,3,3
1533102511,3,2
1533104424,3,10
1533106373,3,1
1533108263,3,8
1533110224,5,4
1533112125,6,7
1533114089,2,4
1533115950,4,4
1533117892,7,3
1533119780,4,5
1533121738,2,6
1533124338,5,11
1533126292,6,5
1533128185,2,7
1533130122,4,8
1533132040,4,6
1533133980,1,5
1533135883,0,4
1533137820,0,1
1533140001,3,5
1533141880,6,4
1533143791,5,6
1533145717,8,4
1533147651,8,8
1533149575,25,9
1533151468,34,4
1533153412,8,3
1533155306,4,5
1533157313,8,8
1533159156,6,9
1533161103,6,2
1533163228,10,6
1533166493,11,9
1533168326,6,1
1533170199,5,2
1533172164,6,6
1533174036,6,1
1533175975,5,9
1533177875,7,5
1533179819,10,3
1533181710,8,3
1533183651,6,4
1533185565,5,3
1533187489,5,2
1533189383,10,3
1533191334,5,1
1533193306,4,6
1533195177,6,3
1533197102,5,5
1533199016,3,3
1533200949,3,3
1533202828,5,7
1533204776,3,3
1533206679,7,5
1533208837,4,1
1533210781,2,5
1533212695,5,4
1533214849,6,2
1533216754,11,3
1533218678,6,4
1533220584,5,1
1533222535,6,2
1533224517,8,2
1533226599,5,3
1533228755,6,6
1533230673,4,5
1533232903,6,12
1533234769,0,21
1533236698,3,36
1533238599,9,2
1533240549,6,9
1533242455,2,4
1533244394,5,6
1533246397,2,3
1533248201,5,12
1533250111,3,9
1533252047,3,4
1533254192,2,6
1533256110,4,2
1533258056,2,4
1533259978,6,3
1533261886,3,5
1533263788,4,8
1533265750,4,9
1533267641,3,6
1533269572,3,8
1533271489,4,4
1533273404,4,6
1533275321,2,5
1533277247,3,9
1533279169,3,6
1533281077,0,8
1533283001,8,3
1533284911,1,5
1533286901,3,4
1533288780,1,3
1533290689,3,6
1533292616,10,6
1533294537,1,3
1533296691,4,2
1533298605,4,4
1533300522,8,8
1533302443,2,6
1533304351,3,9
1533306283,14,5
1533308194,3,6
1533310504,5,10
1533312539,3,6
1533314448,5,5
1533316356,4,6
1533318276,11,5
1533320185,2,3
1533322127,5,6
1533324034,5,7
1533325973,12,7
1533327874,5,4
1533329792,7,7
1533331715,7,4
1533333791,3,2
1533335792,8,4
1533337714,7,6
1533339638,4,1
1533341559,8,6
1533343461,4,4
1533345409,3,5
1533347562,8,6
1533349474,8,3
1533351413,6,5
1533353306,3,4
1533355279,4,5
1533357192,3,3
1533359074,4,3
1533361016,4,2
1533362926,3,3
1533364848,4,4
1533366761,4,1
1533368707,3,5
1533370603,6,4
1533372510,4,3
1533374427,6,0
1533376351,4,3
1533378301,3,4
