DateTime,AddedIPs,RemovedIPs
1532208507,1,0
1532210455,2,1
1532212372,1,1
1532214545,0,2
1532216437,1,0
1532218378,2,0
1532220325,3,2
1532222217,0,1
1532224109,3,2
1532229870,2,2
1532231810,0,3
1532235727,0,3
1532237819,1,3
1532239743,3,0
1532243581,0,1
1532249557,3,0
1532253394,0,2
1532255458,1,2
1532257479,1,5
1532259390,0,5
1532261326,1,0
1532267071,0,1
1532268993,0,2
1532270932,3,2
1532272836,1,0
1532278769,1,0
1532280757,1,1
1532282692,1,0
1532284587,1,0
1532286589,0,2
1532288439,2,4
1532290408,4,1
1532292306,2,2
1532294221,5,0
1532296129,1,1
1532298029,1,2
1532302131,3,0
1532304097,1,2
1532305973,5,1
1532307886,2,0
1532313649,2,1
1532315577,0,1
1532317535,2,0
1532321314,0,1
1532327128,0,1
1532329022,0,1
1532330910,1,2
1532332887,0,1
1532334771,0,1
1532336673,1,0
1532341439,6,1
1532343389,0,3
1532345335,5,1
1532347323,1,2
1532349155,1,0
1532351092,1,0
1532355168,1,2
1532357081,0,2
1532359015,1,1
1532360915,2,0
1532362862,1,0
1532366917,1,1
1532368909,2,0
1532370783,2,1
1532372670,1,0
1532374591,0,2
1532376701,1,3
1532379789,3,5
1532381788,1,3
1532383994,0,2
1532385917,4,1
1532387813,0,3
1532389725,4,1
1532391650,3,2
1532393617,1,3
1532395515,0,1
1532397398,3,0
1532399352,3,2
1532401317,2,1
1532403161,11,1
1532405078,2,2
1532407024,2,0
1532410845,2,1
1532412775,1,1
1532416837,1,1
1532418779,1,0
1532420680,1,0
1532422906,0,1
1532424753,1,0
1532426687,0,4
1532430556,1,2
1532432427,2,2
1532434388,1,1
1532436279,1,1
1532438213,1,1
1532440140,1,0
1532444183,0,1
1532446113,1,1
1532448108,2,2
1532451881,2,0
1532453810,0,4
1532457630,2,2
1532459682,0,2
1532463627,1,1
1532465586,0,3
1532467470,2,0
1532469410,4,2
1532471312,1,1
1532473323,0,2
1532475165,0,1
1532477111,5,3
1532478990,2,1
1532480946,3,1
1532482848,2,2
1532484782,4,0
1532486756,6,4
1532488601,0,2
1532490514,0,10
1532492453,0,1
1532494383,1,1
1532496278,2,2
1532498505,1,0
1532502276,0,2
1532506130,0,1
1532508052,0,1
1532509967,0,1
1532511881,1,1
1532513797,4,0
1532515740,0,1
1532517632,1,1
1532519606,1,2
1532521475,1,0
1532523414,1,1
1532525307,2,2
1532527318,2,1
1532529177,1,1
1532531367,1,0
1532533260,1,2
1532537328,1,1
1532539240,0,2
1532541168,0,1
1532544996,1,2
1532547031,2,2
1532548906,0,1
1532550814,1,2
1532552688,3,1
1532554657,4,3
1532556539,4,3
1532558520,1,0
1532560363,1,0
1532562318,1,1
1532564206,3,1
1532566161,2,2
1532568033,2,1
1532570005,1,2
1532571920,2,3
1532573844,1,2
1532575731,1,1
1532577751,1,0
1532583415,0,2
1532585375,0,1
1532587249,1,0
1532589236,1,0
1532593057,0,1
1532594913,2,0
1532599001,1,1
1532600964,1,2
1532602903,0,1
1532604848,1,4
1532606697,0,2
1532608662,1,1
1532610557,0,2
1532612490,0,6
1532614367,0,1
1532616601,0,1
1532618450,1,1
1532622529,1,0
1532626382,1,1
1532630204,0,1
1532633607,2,3
1532635486,2,1
1532637681,1,2
1532639571,0,2
1532641519,2,4
1532643390,0,4
1532646418,2,0
1532648423,0,1
1532650260,3,3
1532652275,1,0
1532654114,0,3
1532656373,5,2
1532658284,1,1
1532660187,1,0
1532662142,2,1
1532664104,1,1
1532673908,2,1
1532675799,0,2
1532677993,1,1
1532679886,1,1
1532681812,0,1
1532683970,1,2
1532685893,1,0
1532689766,2,1
1532691667,1,2
1532693593,1,3
1532695481,3,1
1532697401,1,0
1532699332,3,1
1532701325,2,0
1532703357,1,0
1532705324,2,1
1532707230,1,0
1532709172,2,1
1532711354,2,1
1532713241,1,0
1532715177,2,0
1532717085,0,1
1532719010,0,2
1532720913,2,1
1532722842,1,1
1532724758,1,1
1532726704,2,2
1532728595,1,3
1532731583,1,1
1532733410,1,0
1532735452,2,1
1532737491,1,1
1532739309,2,1
1532741571,2,2
1532743494,1,4
1532745390,1,1
1532747350,1,2
1532749251,0,1
1532751178,0,1
1532753088,1,0
1532760769,1,1
1532762692,1,0
1532766522,2,2
1532768518,0,1
1532774927,2,1
1532778757,1,0
1532780669,1,0
1532782603,2,0
1532784502,4,1
1532786338,3,1
1532788434,1,2
1532790276,2,1
1532792183,0,3
1532794154,0,1
1532796050,0,3
1532797951,0,1
1532799864,0,2
1532801811,4,2
1532803708,3,0
1532805650,0,1
1532807792,1,1
1532810115,0,3
1532811932,2,0
1532813829,3,2
1532815727,2,0
1532817675,3,2
1532821479,1,1
1532823432,1,1
1532826114,0,2
1532827970,1,2
1532829878,1,0
1532833705,0,3
1532837796,1,2
1532839742,0,1
1532841651,1,1
1532845467,1,1
1532847423,1,0
1532851314,1,1
1532855083,0,1
1532856995,2,0
1532858950,1,1
1532860842,1,3
1532862774,2,0
1532868510,1,0
1532870465,2,4
1532872354,4,3
1532874274,0,1
1532876103,1,1
1532878380,0,2
1532880276,0,1
1532884166,0,2
1532886036,2,0
1532887969,1,1
1532889871,0,3
1532893728,1,1
1532895984,2,0
1532897830,2,2
1532899701,1,2
1532901889,0,4
1532903785,2,5
1532905755,2,2
1532909573,3,0
1532911465,1,0
1532913407,4,2
1532915318,0,1
1532917486,0,1
1532919732,1,0
1532923489,2,1
1532925383,1,2
1532927351,2,1
1532931152,1,0
1532933088,0,1
1532934985,0,1
1532938832,2,1
1532942674,1,0
1532946512,1,0
1532948433,2,0
1532950353,0,2
1532952289,1,0
1532954208,1,1
1532956154,1,2
1532960210,1,1
1532962122,0,1
1532964038,1,0
1532965978,1,0
1532967883,1,0
1532969821,1,0
1532971740,2,0
1532973703,1,1
1532975568,1,2
1532977481,1,0
1532979413,2,1
1532981354,0,2
1532983273,1,1
1532985179,1,0
1532987115,2,0
1532988997,0,2
1532990938,0,1
1532992860,2,1
1532994782,3,2
1532996690,3,1
1532998619,2,1
1533000533,0,3
1533002515,3,0
1533006287,2,0
1533010145,0,1
1533012037,1,0
1533013986,0,1
1533017827,0,2
1533019720,0,1
1533025540,0,1
1533027413,2,0
1533029323,1,0
1533031321,1,1
1533033437,0,2
1533035338,1,1
1533041088,0,1
1533043030,1,2
1533044947,5,0
1533046836,0,1
1533052780,0,1
1533054799,2,2
1533056941,2,1
1533058832,1,3
1533060785,3,2
1533064605,2,1
1533067173,2,1
1533069183,0,1
1533071081,0,2
1533073244,3,0
1533075329,1,0
