DateTime,AddedIPs,RemovedIPs
1532981793,4,4
1532983247,4,15
1532983940,6,0
1532984670,1,0
1532985628,4,6
1532986345,1,0
1532987071,4,5
1532987778,3,0
1532988514,3,10
1532989219,3,2
1532989948,5,0
1532990660,2,1
1532991384,3,3
1532992357,3,3
1532993308,1,10
1532994025,5,5
1532994756,2,3
1532995463,4,11
1532996199,2,0
1532997150,6,10
1532998096,7,10
1532999111,6,2
1533000019,11,4
1533000993,8,20
1533001972,11,8
1533002917,9,9
1533003864,6,5
1533004833,8,7
1533005784,10,6
1533006754,3,8
1533007460,6,0
1533008188,3,4
1533008901,4,0
1533009634,6,8
1533010595,8,6
1533011552,8,3
1533012261,5,4
1533012990,2,0
1533013960,2,7
1533014660,4,6
1533015398,5,1
1533016344,5,4
1533017066,5,8
1533017796,3,3
1533018500,2,2
1533019228,4,10
1533020184,5,5
1533021151,7,114
1533022110,1,5
1533022820,3,8
1533023573,5,7
1533024265,1,0
1533024985,2,4
1533025956,4,7
1533026661,6,0
1533027386,4,3
1533028354,4,7
1533029062,4,2
1533029788,9,5
1533030501,4,5
1533031243,5,5
1533032181,4,1
1533033405,6,5
1533034350,6,1
1533035066,0,2
1533035787,1,5
1533036503,4,2
1533037233,4,1
1533038196,2,6
1533039157,7,2
1533039860,5,2
1533040582,5,7
1533041549,7,2
1533042264,2,3
1533042997,1,5
1533043954,7,5
1533044918,7,4
1533045882,4,3
1533046581,9,0
1533047303,10,15
1533048266,1,0
1533048999,2,2
1533050039,5,3
1533050660,5,4
1533051382,6,2
1533052103,3,2
1533053085,0,6
1533054029,3,6
1533054773,0,8
1533055461,2,0
1533056439,8,6
1533057165,6,13
1533057852,6,0
1533058570,3,4
1533059295,3,7
1533060039,1,0
1533060758,3,7
1533061709,10,9
1533062418,3,5
1533063143,3,1
1533064116,4,0
1533064820,2,7
1533065555,1,4
1533067501,8,9
1533068180,3,0
1533069154,7,7
1533069860,4,3
1533070580,3,7
1533071307,4,0
1533072025,4,5
1533072747,6,0
1533073460,5,1
1533074180,8,6
1533075154,0,6
1533075862,42,0
1533076583,35,3
1533077303,15,6
1533078027,5,1
1533078756,3,9
1533080178,3,3
1533080910,2,10
1533081631,9,0
1533082346,7,11
1533083061,6,3
1533083787,3,4
1533084765,7,6
1533085453,0,4
1533086174,7,0
1533087156,13,22
1533087862,9,0
1533088584,10,14
1533089553,13,9
1533090261,8,3
1533090999,7,2
1533091700,5,6
1533092441,9,5
1533093383,4,4
1533094353,8,1
1533095058,5,0
1533095769,4,6
1533096488,6,9
1533097210,4,6
1533097933,4,3
1533098659,1,4
1533099368,1,2
1533100097,1,0
1533101055,3,7
1533102030,6,5
1533102993,1,7
1533103958,6,5
1533104663,4,1
1533105382,5,3
1533106351,5,6
1533107065,1,4
1533107799,5,10
1533108753,7,15
1533109463,2,0
1533110203,4,7
1533110901,4,0
1533111624,5,15
1533112348,2,0
1533113062,4,2
1533114034,9,5
1533114749,4,4
1533115467,10,2
1533116179,8,3
1533116907,3,4
1533117876,4,3
1533118583,3,2
1533119306,4,5
1533120019,4,3
1533120743,4,4
1533121713,3,1
1533122419,12,7
1533123154,6,4
1533124864,8,7
1533125542,5,3
1533126266,3,2
1533127229,5,3
1533127958,6,2
1533128678,0,6
1533129387,5,2
1533130100,7,7
1533130822,7,5
1533131548,5,0
1533132267,2,2
1533132988,5,6
1533133956,5,10
1533134661,5,0
1533135388,7,7
1533136102,3,3
