DateTime,AddedIPs,RemovedIPs
1532728136,72,87
1532729406,74,77
1532729646,6,0
1532731211,101,87
1532732166,51,22
1532733312,75,84
1532734412,45,91
1532734930,28,46
1532735765,50,0
1532736846,80,80
1532738106,127,100
1532739366,85,0
1532740450,45,170
1532741938,85,105
1532743808,133,109
1532745012,59,103
1532746207,73,30
1532747407,56,64
1532748486,62,0
1532750112,81,95
1532751307,49,67
1532752086,23,0
1532752927,58,115
1532754846,122,59
1532756529,81,187
1532757366,42,0
1532758447,77,111
1532760126,101,126
1532762045,114,128
1532763410,75,172
1532765029,128,140
1532765646,29,1
1532766911,85,71
1532768707,91,105
1532769246,30,0
1532770505,55,115
1532772846,98,116
1532773687,40,0
1532774526,60,187
1532775366,57,1
1532776505,53,73
1532778011,128,224
1532778966,71,54
1532780046,85,120
1532781662,96,248
1532783410,96,65
1532783646,13,0
1532784906,72,72
1532786106,65,0
1532787246,63,159
1532788086,41,0
1532788926,32,108
1532789772,56,0
1532790907,90,115
1532792110,98,139
1532793308,88,54
1532793646,18,129
1532795286,87,0
1532796543,77,168
1532797814,63,104
1532799014,100,71
1532800206,90,77
1532801645,74,96
1532803327,61,77
1532804166,28,0
1532805246,33,82
1532806806,58,81
1532807766,42,0
1532808906,35,100
1532810149,54,166
1532811906,38,107
1532812446,14,0
1532813286,20,0
1532814128,27,86
1532816048,56,202
1532816886,23,0
1532817732,19,140
1532818565,19,0
1532819646,38,114
1532820486,17,0
1532822107,57,138
1532824086,108,123
1532825682,94,193
1532826867,33,68
1532828106,38,99
1532829366,45,0
1532830507,44,82
1532831287,39,0
1532832967,59,124
1532834046,46,75
1532835729,69,132
1532837647,97,83
1532839211,95,145
1532840166,44,46
1532841247,54,96
1532842512,60,127
1532843706,33,40
1532844847,53,156
1532845686,32,0
1532846527,37,105
1532847365,33,0
1532848446,55,109
1532850125,57,129
1532850969,35,0
1532852111,62,116
1532853611,129,94
1532855646,130,117
1532856486,48,0
1532857328,46,156
1532859246,77,97
1532860086,44,0
1532860926,28,141
1532862846,70,112
1532864106,68,137
1532865306,52,0
1532866507,35,130
1532868323,58,233
1532870046,72,97
1532871306,60,71
1532872567,73,0
1532873646,60,94
1532875210,108,123
1532876167,87,33
1532877246,99,65
1532878505,177,121
1532879769,66,32
1532880846,95,84
1532881686,47,0
1532882532,34,154
1532883720,89,58
1532885110,167,1
1532886127,60,151
1532888045,147,91
1532889735,107,152
1532891106,74,61
1532892486,100,0
1532894166,105,121
1532895247,57,55
1532896507,129,124
1532898331,101,97
1532899686,79,1
1532901306,215,130
1532902447,795,71
1532904011,267,103
1532904965,62,19
1532906046,57,91
1532906887,34,0
1532907727,31,153
1532909406,60,125
1532910802,96,80
1532912240,106,37
1532913246,65,107
1532914927,64,82
1532915766,54,1
1532916847,115,125
1532918527,111,124
1532920446,100,67
1532921287,54,0
1532922907,86,107
1532924046,76,66
1532925612,69,113
1532927106,70,115
1532929327,187,156
1532930607,224,71
1532932087,129,0
1532933707,85,101
1532934846,56,132
1532936411,110,111
1532937366,35,44
1532938447,80,52
1532939708,100,122
1532941391,139,104
1532942706,81,0
1532943726,72,114
1532944566,67,0
1532945646,77,130
1532947333,91,135
1532948705,80,84
1532950085,63,0
1532952047,147,218
1532952846,187,0
1532953692,267,0
1532955108,77,148
1532956211,91,63
1532958126,169,124
1532958965,46,0
1532960885,210,78
1532962015,91,159
1532963194,70,155
1532963646,26,0
1532965211,95,88
1532967006,161,84
1532968085,85,0
1532969406,85,107
1532970609,130,148
1532971692,132,0
1532974212,238,107
1532976134,203,58
1532977256,93,45
1532978409,112,0
1532978885,57,0
1532980008,101,49
1532982501,187,44
1532983327,60,95
1532985253,167,25
1532986926,114,66
1532987766,46,1
1532988846,46,34
1532989685,40,0
1532991311,113,57
1532992507,67,58
1532993287,41,0
1532994966,89,107
1532996047,83,61
1532997730,144,65
1532999653,115,35
1533001327,97,77
1533002166,35,2
1533003254,59,43
1533004499,115,67
1533005712,93,20
1533006913,78,54
1533008106,52,100
1533010446,160,86
1533012126,131,84
1533014046,133,62
1533014887,47,0
1533015727,46,98
1533016566,51,0
1533017714,77,51
1533019213,92,68
1533020707,180,104
1533021828,102,0
1533023106,109,149
1533024845,208,56
1533026107,85,76
1533027306,76,1
1533028541,75,51
1533029285,57,0
1533030965,181,76
1533032105,83,39
1533033306,137,76
1533034506,100,17
1533035601,61,41
1533036486,75,0
1533038165,97,49
1533039312,73,48
1533040926,98,79
1533041766,49,0
1533043686,115,64
1533045366,180,91
1533046506,98,133
1533048012,140,182
1533048966,124,35
1533050046,66,55
1533051726,108,138
1533053647,116,68
1533054485,68,1
1533056112,147,162
1533057307,89,150
1533058926,88,141
1533059766,86,1
1533060913,82,43
1533061687,33,0
1533064446,205,242
1533066972,1917,147
1533068106,129,53
1533069727,171,107
1533070572,65,0
1533071646,72,307
1533072784,102,1412
1533075011,160,195
1533076222,80,87
1533078845,200,79
1533080076,92,77
1533081367,106,0
1533082511,104,165
1533083286,89,0
1533084126,42,111
1533084967,44,0
1533086887,115,59
1533089646,203,260
1533090488,70,0
1533092112,76,133
1533093247,74,61
1533094928,134,130
1533096608,152,50
1533098415,106,133
1533099913,123,117
1533100454,50,0
1533101285,76,0
1533102530,102,132
1533103673,42,98
1533104046,23,1
1533105167,64,97
1533107646,392,81
1533108486,98,1
1533109782,62,179
1533111246,139,97
1533112405,117,111
1533113766,96,45
1533114847,90,85
1533116110,91,110
1533117462,88,0
1533118767,89,90
1533120012,58,81
1533121488,72,136
1533122885,88,0
1533125645,182,431
1533127326,99,175
1533128706,94,57
1533130086,71,0
1533130927,55,223
1533131771,70,0
1533132845,79,66
1533134407,90,86
1533135596,97,114
1533136445,68,13
1533137706,92,138
1533139420,103,122
1533141726,225,168
1533142566,115,0
1533143646,145,83
1533144906,71,115
1533145326,45,130
1533146165,80,0
1533146445,5,91
1533147610,127,0
1533148811,140,155
1533150845,170,131
1533152530,162,198
1533154445,203,149
1533155705,125,118
1533156906,113,49
1533158113,108,68
1533159307,82,105
1533160566,49,0
1533161714,90,240
1533162906,82,143
1533165248,159,157
1533166086,56,0
1533168613,163,354
1533170536,84,150
1533172447,77,54
1533174126,82,165
1533175808,139,93
1533177727,116,95
1533179109,70,116
1533180486,68,0
1533181765,59,175
1533183252,139,117
1533184737,91,87
1533185766,50,0
1533187029,64,99
1533187686,32,1
1533189012,74,143
1533190212,52,142
1533190497,11,1
1533191293,43,0
1533192605,60,208
1533194065,78,138
1533194886,45,1
1533195727,36,150
1533196566,54,0
1533197646,60,114
1533199213,108,114
1533200536,108,155
1533201994,90,1
1533202926,111,99
1533203776,62,0
1533204846,72,147
1533206399,107,83
1533207365,57,35
1533208510,59,70
1533209909,101,118
1533210966,113,34
1533212107,119,75
1533213906,106,160
1533215646,104,122
1533216910,119,149
1533219006,146,231
1533220218,95,119
1533221447,123,1
1533222608,90,122
1533224527,183,173
1533226207,190,111
1533227286,73,0
1533229246,132,259
1533230886,127,0
1533231727,79,127
1533232570,82,0
1533233706,90,138
1533235327,158,1902
1533236706,123,80
1533237905,108,0
1533239406,78,281
1533240611,124,84
1533242527,105,190
1533243909,87,87
1533245286,85,0
1533246965,143,132
1533248046,39,151
1533249611,63,142
1533250566,48,65
1533253326,171,384
1533255246,108,95
1533256087,49,0
1533258853,146,252
1533259686,38,0
1533261372,84,150
1533262513,83,56
1533264136,79,99
1533264967,41,0
1533266112,100,210
1533267727,88,125
1533269645,94,70
1533270486,26,1
1533271812,64,168
