DateTime,Entries,UniqueIPs
1532724157,5139,5139
1532726074,5162,5162
1532726912,5192,5192
1532728169,5212,5212
1532729665,5243,5243
1532731272,5258,5258
1532732187,5269,5269
1532733349,5280,5280
1532734962,5272,5272
1532735791,5285,5285
1532736875,5287,5287
1532738126,5322,5322
1532739399,5364,5364
1532740470,5325,5325
1532741967,5319,5319
1532743839,5362,5362
1532746231,5394,5394
1532747436,5395,5395
1532748509,5414,5414
1532750137,5421,5421
1532751340,5423,5423
1532752123,5434,5434
1532752961,5418,5418
1532754347,5447,5447
1532754868,5471,5471
1532756561,5398,5398
1532757390,5420,5420
1532758477,5397,5397
1532760144,5383,5383
1532762063,5381,5381
1532763427,5372,5372
1532765065,5403,5403
1532765674,5414,5414
1532766930,5423,5423
1532768732,5439,5439
1532769278,5455,5455
1532770528,5445,5445
1532772874,5449,5449
1532773710,5465,5465
1532774544,5416,5416
1532775386,5438,5438
1532776537,5425,5425
1532778066,5462,5462
1532778992,5490,5490
1532780067,5446,5446
1532781692,5350,5350
1532783664,5372,5372
1532784934,5366,5366
1532786128,5386,5386
1532787271,5308,5308
1532788111,5327,5327
1532788955,5299,5299
1532789794,5330,5330
1532790937,5344,5344
1532792141,5366,5366
1532793328,5383,5383
1532794834,5385,5385
1532795321,5396,5396
1532796575,5371,5371
1532797836,5369,5369
1532799039,5402,5402
1532800233,5377,5377
1532801664,5360,5360
1532803355,5362,5362
1532804186,5368,5368
1532805265,5354,5354
1532806839,5348,5348
1532807793,5373,5373
1532808938,5337,5337
1532810172,5274,5274
1532811938,5218,5218
1532812469,5225,5225
1532813317,5234,5234
1532814151,5219,5219
1532815842,5177,5177
1532816077,5182,5182
1532816906,5189,5189
1532818587,5151,5151
1532819671,5144,5144
1532820512,5149,5149
1532822143,5091,5091
1532824112,5082,5082
1532825722,5039,5039
1532826886,5029,5029
1532828126,5008,5008
1532829398,5019,5019
1532830541,5004,5004
1532831311,5029,5029
1532832991,4987,4987
1532834079,4981,4981
1532835774,4955,4955
1532837248,4946,4946
1532837673,4957,4957
1532839276,4927,4927
1532840189,4944,4944
1532841270,4920,4920
1532842541,4888,4888
1532843737,4875,4875
1532844871,4793,4793
1532845709,4809,4809
1532847390,4820,4820
1532848471,4802,4802
1532850158,4807,4807
1532850993,4825,4825
1532852137,4810,4810
1532853673,4775,4775
1532855671,4789,4789
1532856506,4812,4812
1532857354,4751,4751
1532859269,4732,4732
1532860116,4741,4741
1532860954,4696,4696
1532862864,4663,4663
1532864138,4637,4637
1532865332,4664,4664
1532866533,4622,4622
1532868346,4506,4506
1532870066,4479,4479
1532871332,4462,4462
1532872586,4492,4492
1532873673,4480,4480
1532876186,4505,4505
1532877265,4533,4533
1532878528,4585,4585
1532879794,4608,4608
1532880864,4584,4584
1532881713,4599,4599
1532882554,4553,4553
1532883756,4567,4567
1532885136,4598,4598
