DateTime,AddedIPs,RemovedIPs
1532720420,33,40
1532722455,33,45
1532723297,29,0
1532724141,11,42
1532726057,62,26
1532726896,21,0
1532728146,29,36
1532729425,39,20
1532731221,44,42
1532732177,17,8
1532733335,39,23
1532734942,29,67
1532735776,22,1
1532736859,35,27
1532738116,35,31
1532739378,17,0
1532740459,18,40
1532741947,16,34
1532743821,21,30
1532745022,10,46
1532746219,23,13
1532747419,20,34
1532748497,21,0
1532750124,31,38
1532751322,13,18
1532752103,2,0
1532752939,11,32
1532754855,16,28
1532756546,40,60
1532757378,12,0
1532758461,14,27
1532760134,37,40
1532762053,33,36
1532763418,17,84
1532765042,35,76
1532765656,4,0
1532766920,29,11
1532768718,12,44
1532769258,9,2
1532770516,17,39
1532772856,20,28
1532773697,14,1
1532774534,13,46
1532775376,16,2
1532776517,21,22
1532778022,19,165
1532778982,24,18
1532780056,36,26
1532781672,34,48
1532783655,26,17
1532784917,15,16
1532786119,19,0
1532787258,12,17
1532788097,10,2
1532788941,7,34
1532789783,15,0
1532790919,23,45
1532792126,32,25
1532793317,27,11
1532793654,4,33
1532795301,15,1
1532796559,23,69
1532797826,13,34
1532799025,15,24
1532800215,32,13
1532801653,24,21
1532803341,13,34
1532804176,14,0
1532805255,10,38
1532806820,17,40
1532807778,12,0
1532808917,15,34
1532810158,19,58
1532811921,18,22
1532812457,4,0
1532813297,6,0
1532814138,9,25
1532816060,17,29
1532816896,5,0
1532817746,7,46
1532818575,2,0
1532819657,9,37
1532820497,7,0
1532822119,17,32
1532824098,43,30
1532825702,35,40
1532826876,11,27
1532828115,12,26
1532829382,10,0
1532830522,11,32
1532831298,6,0
1532832979,6,26
1532834059,7,21
1532835747,15,40
1532837657,34,22
1532839224,10,50
1532840177,13,10
1532841256,23,18
1532842522,17,43
1532843717,12,3
1532844856,24,22
1532845697,6,0
1532846542,5,37
1532847376,3,0
1532848458,20,35
1532850137,7,52
1532850980,3,0
1532852122,19,32
1532853622,49,31
1532855657,52,14
1532856495,20,0
1532857338,11,35
1532859256,22,24
1532860096,22,0
1532860938,11,39
1532862854,23,33
1532864117,16,53
1532865317,13,0
1532866517,11,36
1532868336,17,46
1532870055,32,16
1532871318,22,15
1532872575,23,0
1532873659,13,31
1532875220,38,35
1532876175,18,14
1532877255,26,14
1532878515,30,25
1532879783,13,15
1532880854,27,19
1532881697,10,0
1532882544,11,70
1532883733,17,19
1532885121,62,2
1532886139,21,46
1532888061,63,27
1532889745,37,50
1532891118,25,23
1532892497,29,2
1532894179,25,44
1532895260,20,22
1532896516,59,16
1532898340,38,28
1532899698,34,0
1532901321,81,24
1532902468,251,18
1532904063,72,60
1532904977,25,2
1532906062,13,31
1532906901,7,0
1532907739,13,50
1532909422,22,24
1532910816,15,17
1532912253,31,13
1532913256,32,17
1532914938,15,17
1532915777,12,2
1532916860,16,42
1532918538,19,46
1532920463,20,33
1532921307,10,2
1532922921,32,36
1532924057,19,9
1532925625,18,24
1532927117,20,57
1532929343,25,44
1532930623,143,18
1532932099,36,1
1532933718,26,28
1532934854,15,29
1532936422,36,29
1532937378,4,19
1532938458,19,16
1532939720,18,50
1532941402,27,45
1532942715,33,0
1532943739,17,56
1532944579,11,1
1532945660,11,37
1532947344,16,32
1532948717,19,38
1532950099,14,2
1532952056,18,60
1532952861,4,0
1532953703,11,4
1532955122,19,41
1532956222,28,22
1532958138,37,33
1532958980,9,2
1532960902,28,22
1532962025,24,42
1532963203,18,65
1532963655,6,1
1532965222,19,23
1532967022,24,26
1532968096,19,0
1532969416,26,22
1532970619,53,48
1532971701,86,0
1532974224,100,24
1532976144,70,17
1532977386,36,15
1532978896,41,2
1532980016,44,18
1532982511,52,19
1532983338,9,59
1532985270,38,5
1532986934,43,17
1532987776,6,1
1532988860,15,3
1532989695,9,0
1532991323,17,11
1532992519,17,16
1532993297,5,0
1532994976,16,44
1532996064,25,26
1532997740,16,17
1532999670,33,4
1533001340,36,18
1533002176,7,2
1533003268,13,3
1533004510,16,19
1533005727,30,4
1533006927,11,17
1533008120,6,27
1533010458,31,14
1533012139,26,33
1533014063,21,28
1533014896,6,0
1533015739,5,31
1533016574,19,2
1533017727,13,7
1533019258,19,27
1533020719,41,12
1533021837,11,3
1533023122,11,67
1533024860,40,14
1533026117,21,39
1533027318,18,1
1533028549,15,14
1533029296,25,0
1533030974,71,30
1533032130,38,9
1533033314,75,10
1533034522,46,5
1533035674,20,15
1533036501,22,1
1533038176,29,8
1533039322,23,23
1533040934,25,31
1533041776,14,0
1533043698,39,17
1533045376,43,26
1533046517,13,36
1533048022,23,39
1533048986,13,10
1533050054,19,17
1533051736,19,35
1533053656,24,14
1533054494,21,1
1533056121,24,60
1533057317,23,61
1533058936,14,49
1533059773,23,1
1533060924,27,18
1533061697,16,0
1533064457,86,71
1533066984,1796,47
1533068116,32,22
1533069736,52,44
1533070583,16,1
1533071658,15,96
1533072793,30,443
1533075023,42,59
1533076236,36,14
1533078858,91,22
1533080084,16,22
1533081378,11,4
1533082524,20,47
1533083298,19,0
1533084142,16,46
1533084980,12,1
1533086899,27,16
1533089658,73,42
1533090499,10,0
1533092126,24,29
1533093259,17,23
1533094939,60,31
1533096624,33,18
1533098431,21,18
1533099925,20,26
1533100467,5,0
1533101295,13,0
1533102540,22,36
1533103684,4,32
1533104055,9,1
1533105176,10,23
1533107661,120,15
1533108496,47,1
1533109792,11,46
1533111255,20,21
1533112414,38,37
1533113776,19,14
1533114855,20,8
1533116120,21,25
1533117473,26,1
1533118776,26,28
1533120021,14,16
1533121496,21,17
1533122898,20,1
1533125656,50,226
1533127339,22,49
1533128718,23,16
1533130095,23,0
1533130941,21,38
1533131786,29,2
1533132859,25,19
1533134419,12,29
1533135645,24,30
1533136461,16,0
1533137723,19,27
1533139434,16,37
1533141735,31,58
1533142578,26,0
1533143658,26,20
1533144918,27,24
1533145339,10,75
1533146176,21,0
1533146457,2,26
1533147621,40,1
1533148821,27,43
1533150855,49,51
1533152540,58,46
1533154460,29,15
1533155720,49,27
1533156916,17,25
1533158126,25,21
1533159318,25,23
1533160575,20,0
1533161727,19,25
1533162916,34,19
1533165258,45,23
1533166096,16,1
1533168623,39,55
1533170546,31,53
1533172456,29,15
1533174135,22,30
1533175819,43,19
1533177745,45,18
1533179129,20,11
1533180497,21,2
1533181774,26,39
1533183267,22,20
1533184746,17,14
1533185778,8,0
1533187040,20,27
1533187697,12,2
1533189025,27,28
1533190224,10,37
1533190536,5,0
1533191306,5,1
1533192617,21,21
1533194074,21,43
1533194896,16,0
1533195736,13,21
1533196579,26,0
1533197657,14,28
1533199262,18,35
1533200548,44,32
1533202003,26,1
1533202942,13,30
1533203785,7,1
1533204856,24,41
1533206407,21,16
1533207377,16,13
1533208522,18,24
1533209920,17,34
1533210978,12,6
1533212116,21,22
1533213919,23,52
1533215656,21,39
1533216920,31,21
1533219015,34,32
1533220226,29,28
1533221456,27,1
1533222617,14,23
1533224542,38,43
1533226223,32,24
1533227294,10,0
1533229256,16,61
1533230896,32,1
1533231743,39,42
1533232583,11,1
1533233716,26,32
1533235336,20,1836
1533236720,29,12
1533237921,26,2
1533239416,33,76
1533240621,78,25
1533242536,37,50
1533243920,49,16
1533245302,15,1
1533246973,35,28
1533248056,8,39
1533249623,33,33
1533250584,24,8
1533253335,54,63
1533255256,27,23
1533256103,14,1
1533259696,72,83
1533261383,27,34
1533262526,10,12
1533264153,25,32
1533264977,24,1
1533266127,12,73
1533267737,31,34
1533269655,30,19
1533270500,8,0
1533271823,21,26
1533273023,25,26
1533274935,34,35
1533276863,62,24
1533278116,15,63
1533279657,17,18
1533280820,24,0
1533281298,6,1
1533282617,18,41
1533283822,28,37
1533285740,38,40
1533287123,26,22
1533288424,73,1
1533289341,29,40
1533290176,48,0
1533291320,46,23
1533292821,74,31
1533294054,38,30
1533295222,58,0
1533296422,36,19
1533298455,62,30
1533299295,27,0
1533302058,74,71
1533303316,55,42
1533305421,53,38
1533307336,55,35
1533308723,64,17
1533310221,61,31
1533310934,25,7
1533312539,37,24
1533314116,30,23
1533314548,12,15
1533315375,22,2
1533316518,28,17
1533317720,51,25
1533318982,60,12
1533320124,47,18
1533321319,65,32
1533322459,31,36
1533323660,23,17
1533324920,34,27
1533327020,49,51
1533328935,54,37
1533329776,30,1
1533330855,23,36
1533332120,55,33
1533333376,30,0
1533334456,25,34
1533335295,18,0
1533336983,43,36
1533338057,20,22
1533339750,72,37
1533341724,43,23
1533343335,25,31
1533345264,41,22
1533346096,16,1
1533346945,5,50
1533348626,38,29
1533349709,9,1
1533350538,14,30
1533351914,67,30
1533353298,45,1
1533354137,17,27
1533354986,8,0
1533356121,17,22
1533357623,26,22
1533358583,19,10
1533359726,28,22
1533360917,12,18
1533362178,27,10
1533363321,19,19
1533364935,37,35
1533366320,24,44
1533367694,12,2
1533368535,17,23
1533370225,24,41
1533371427,20,29
1533372919,46,11
1533374059,15,21
1533374896,15,1
1533375735,30,36
1533377661,28,26
