DateTime,Entries,UniqueIPs
1532720420,5473,5473
1532722455,5461,5461
1532723297,5490,5490
1532724141,5459,5459
1532726057,5495,5495
1532726896,5516,5516
1532728146,5509,5509
1532729425,5528,5528
1532731221,5530,5530
1532732177,5539,5539
1532733335,5555,5555
1532734942,5517,5517
1532735776,5538,5538
1532736859,5546,5546
1532738116,5550,5550
1532739378,5567,5567
1532740459,5545,5545
1532741947,5527,5527
1532743821,5518,5518
1532745022,5482,5482
1532746219,5492,5492
1532747419,5478,5478
1532748497,5499,5499
1532750124,5492,5492
1532751322,5487,5487
1532752103,5489,5489
1532752939,5468,5468
1532754855,5456,5456
1532756546,5436,5436
1532757378,5448,5448
1532758461,5435,5435
1532760134,5432,5432
1532762053,5429,5429
1532763418,5362,5362
1532765042,5321,5321
1532765656,5325,5325
1532766920,5343,5343
1532768718,5311,5311
1532769258,5318,5318
1532770516,5296,5296
1532772856,5288,5288
1532773697,5301,5301
1532774534,5268,5268
1532775376,5282,5282
1532776517,5281,5281
1532778022,5135,5135
1532778982,5141,5141
1532780056,5151,5151
1532781672,5137,5137
1532783655,5146,5146
1532784917,5145,5145
1532786119,5164,5164
1532787258,5159,5159
1532788097,5167,5167
1532788941,5140,5140
1532789783,5155,5155
1532790919,5133,5133
1532792126,5140,5140
1532793317,5156,5156
1532793654,5127,5127
1532795301,5141,5141
1532796559,5095,5095
1532797826,5074,5074
1532799025,5065,5065
1532800215,5084,5084
1532801653,5087,5087
1532803341,5066,5066
1532804176,5080,5080
1532805255,5052,5052
1532806820,5029,5029
1532807778,5041,5041
1532808917,5022,5022
1532810158,4983,4983
1532811921,4979,4979
1532812457,4983,4983
1532813297,4989,4989
1532814138,4973,4973
1532816060,4961,4961
1532816896,4966,4966
1532817746,4927,4927
1532818575,4929,4929
1532819657,4901,4901
1532820497,4908,4908
1532822119,4893,4893
1532824098,4906,4906
1532825702,4901,4901
1532826876,4885,4885
1532828115,4871,4871
1532829382,4881,4881
1532830522,4860,4860
1532831298,4866,4866
1532832979,4846,4846
1532834059,4832,4832
1532835747,4807,4807
1532837657,4819,4819
1532839224,4779,4779
1532840177,4782,4782
1532841256,4787,4787
1532842522,4761,4761
1532843717,4770,4770
1532844856,4772,4772
1532845697,4778,4778
1532846542,4746,4746
1532847376,4749,4749
1532848458,4734,4734
1532850137,4689,4689
1532850980,4692,4692
1532852122,4679,4679
1532853622,4697,4697
1532855657,4735,4735
1532856495,4755,4755
1532857338,4731,4731
1532859256,4729,4729
1532860096,4751,4751
1532860938,4723,4723
1532862854,4713,4713
1532864117,4676,4676
1532865317,4689,4689
1532866517,4664,4664
1532868336,4635,4635
1532870055,4651,4651
1532871318,4658,4658
1532872575,4681,4681
1532873659,4663,4663
1532875220,4666,4666
1532876175,4670,4670
1532877255,4682,4682
1532878515,4687,4687
1532879783,4685,4685
1532880854,4693,4693
1532881697,4703,4703
1532882544,4644,4644
1532883733,4642,4642
1532885121,4702,4702
1532886139,4677,4677
1532888061,4713,4713
1532889745,4700,4700
1532891118,4702,4702
1532892497,4729,4729
1532894179,4710,4710
1532895260,4708,4708
1532896516,4751,4751
1532898340,4761,4761
1532899698,4795,4795
1532901321,4852,4852
1532902468,5085,5085
1532904063,5097,5097
1532904977,5120,5120
1532906062,5102,5102
1532906901,5109,5109
1532907739,5072,5072
1532909422,5070,5070
1532910816,5068,5068
1532912253,5086,5086
1532913256,5101,5101
1532914938,5099,5099
1532915777,5109,5109
1532916860,5083,5083
1532918538,5056,5056
1532920463,5043,5043
1532921307,5051,5051
1532922921,5047,5047
1532924057,5057,5057
1532925625,5051,5051
1532927117,5014,5014
1532929343,4995,4995
1532930623,5120,5120
1532932099,5155,5155
1532933718,5153,5153
1532934854,5139,5139
1532936422,5146,5146
1532937378,5131,5131
1532938458,5134,5134
1532939720,5102,5102
1532941402,5084,5084
1532942715,5117,5117
1532943739,5078,5078
1532944579,5088,5088
1532945660,5062,5062
1532947344,5046,5046
1532948717,5027,5027
1532950099,5039,5039
1532952056,4997,4997
1532952861,5001,5001
1532953703,5008,5008
1532955122,4986,4986
1532956222,4992,4992
1532958138,4996,4996
1532958980,5003,5003
1532960902,5009,5009
1532962025,4991,4991
1532963203,4944,4944
1532963655,4949,4949
1532965222,4945,4945
1532967022,4943,4943
1532968096,4962,4962
1532969416,4966,4966
1532970619,4971,4971
1532971701,5057,5057
1532974224,5133,5133
1532976144,5186,5186
1532977386,5207,5207
1532978896,5246,5246
1532980016,5272,5272
1532982511,5305,5305
1532983338,5255,5255
1532985270,5288,5288
1532986934,5314,5314
1532987776,5319,5319
1532988860,5331,5331
1532989695,5340,5340
1532991323,5346,5346
1532992519,5347,5347
1532993297,5352,5352
1532994976,5324,5324
1532996064,5323,5323
1532997740,5322,5322
1532999670,5351,5351
1533001340,5369,5369
1533002176,5374,5374
1533003268,5384,5384
1533004510,5381,5381
1533005727,5407,5407
1533006927,5401,5401
1533008120,5380,5380
1533010458,5397,5397
1533012139,5390,5390
1533014063,5383,5383
1533014896,5389,5389
1533015739,5363,5363
1533016574,5380,5380
1533017727,5386,5386
1533019258,5378,5378
1533020719,5407,5407
1533021837,5415,5415
1533023122,5359,5359
1533024860,5385,5385
1533026117,5367,5367
1533027318,5384,5384
1533028549,5385,5385
1533029296,5410,5410
1533030974,5451,5451
1533032130,5480,5480
1533033314,5545,5545
1533034522,5586,5586
1533035674,5591,5591
1533036501,5612,5612
1533038176,5633,5633
1533039322,5633,5633
1533040934,5627,5627
1533041776,5641,5641
1533043698,5663,5663
1533045376,5680,5680
1533046517,5657,5657
1533048022,5641,5641
1533048986,5644,5644
1533050054,5646,5646
1533051736,5630,5630
1533053656,5640,5640
1533054494,5660,5660
1533056121,5624,5624
1533057317,5586,5586
1533058936,5551,5551
1533059773,5573,5573
1533060924,5582,5582
1533061697,5598,5598
1533064457,5613,5613
1533066984,7362,7362
1533068116,7372,7372
1533069736,7380,7380
1533070583,7395,7395
1533071658,7314,7314
1533072793,6901,6901
1533075023,6884,6884
1533076236,6906,6906
1533078858,6975,6975
1533080084,6969,6969
1533081378,6976,6976
1533082524,6949,6949
1533083298,6968,6968
1533084142,6938,6938
1533084980,6949,6949
1533086899,6960,6960
1533089658,6991,6991
1533090499,7001,7001
1533092126,6996,6996
1533093259,6990,6990
1533094939,7019,7019
1533096624,7034,7034
1533098431,7037,7037
1533099925,7031,7031
1533100467,7036,7036
1533101295,7049,7049
1533102540,7035,7035
1533103684,7007,7007
1533104055,7015,7015
1533105176,7002,7002
1533107661,7107,7107
1533108496,7153,7153
1533109792,7118,7118
1533111255,7117,7117
1533112414,7118,7118
1533113776,7123,7123
1533114855,7135,7135
1533116120,7131,7131
1533117473,7156,7156
1533118776,7154,7154
1533120021,7152,7152
1533121496,7156,7156
1533122898,7175,7175
1533125656,6999,6999
1533127339,6972,6972
1533128718,6979,6979
1533130095,7002,7002
1533130941,6985,6985
1533131786,7012,7012
1533132859,7018,7018
1533134419,7001,7001
1533135645,6995,6995
1533136461,7011,7011
1533137723,7003,7003
1533139434,6982,6982
1533141735,6955,6955
1533142578,6981,6981
1533143658,6987,6987
1533144918,6990,6990
1533145339,6925,6925
1533146176,6946,6946
1533146457,6922,6922
1533147621,6961,6961
1533148821,6945,6945
1533150855,6943,6943
1533152540,6955,6955
1533154460,6969,6969
1533155720,6991,6991
1533156916,6983,6983
1533158126,6987,6987
1533159318,6989,6989
1533160575,7009,7009
1533161727,7003,7003
1533162916,7018,7018
1533165258,7040,7040
1533166096,7055,7055
1533168623,7039,7039
1533170546,7017,7017
1533172456,7031,7031
1533174135,7023,7023
1533175819,7047,7047
1533177745,7074,7074
1533179129,7083,7083
1533180497,7102,7102
1533181774,7089,7089
1533183267,7091,7091
1533184746,7094,7094
1533185778,7102,7102
1533187040,7095,7095
1533187697,7105,7105
1533189025,7104,7104
1533190224,7077,7077
1533190536,7082,7082
1533191306,7086,7086
1533192617,7086,7086
1533194074,7064,7064
1533194896,7080,7080
1533195736,7072,7072
1533196579,7098,7098
1533197657,7084,7084
1533199262,7067,7067
1533200548,7079,7079
1533202003,7104,7104
1533202942,7087,7087
1533203785,7093,7093
1533204856,7076,7076
1533206407,7081,7081
1533207377,7084,7084
1533208522,7078,7078
1533209920,7061,7061
1533210978,7067,7067
1533212116,7066,7066
1533213919,7037,7037
1533215656,7019,7019
1533216920,7029,7029
1533219015,7031,7031
1533220226,7032,7032
1533221456,7058,7058
1533222617,7049,7049
1533224542,7044,7044
1533226223,7052,7052
1533227294,7062,7062
1533229256,7017,7017
1533230896,7048,7048
1533231743,7045,7045
1533232583,7055,7055
1533233716,7049,7049
1533235336,5233,5233
1533236720,5250,5250
1533237921,5274,5274
1533239416,5231,5231
1533240621,5284,5284
1533242536,5271,5271
1533243920,5304,5304
1533245302,5318,5318
1533246973,5325,5325
1533248056,5294,5294
1533249623,5294,5294
1533250584,5310,5310
1533253335,5301,5301
1533255256,5305,5305
1533256103,5318,5318
1533259696,5307,5307
1533261383,5300,5300
1533262526,5298,5298
1533264153,5291,5291
1533264977,5314,5314
1533266127,5253,5253
1533267737,5250,5250
1533269655,5261,5261
1533270500,5269,5269
1533271823,5264,5264
1533273023,5263,5263
1533274935,5262,5262
1533276863,5300,5300
1533278116,5252,5252
1533279657,5251,5251
1533280820,5275,5275
1533281298,5280,5280
1533282617,5257,5257
1533283822,5248,5248
1533285740,5246,5246
1533287123,5250,5250
1533288424,5322,5322
1533289341,5311,5311
1533290176,5359,5359
1533291320,5382,5382
1533292821,5425,5425
1533294054,5433,5433
1533295222,5491,5491
1533296422,5508,5508
1533298455,5540,5540
1533299295,5567,5567
1533302058,5570,5570
1533303316,5583,5583
1533305421,5598,5598
1533307336,5618,5618
1533308723,5665,5665
1533310221,5695,5695
1533310934,5713,5713
1533312539,5726,5726
1533314116,5733,5733
1533314548,5730,5730
1533315375,5750,5750
1533316518,5761,5761
1533317720,5787,5787
1533318982,5835,5835
1533320124,5864,5864
1533321319,5897,5897
1533322459,5892,5892
1533323660,5898,5898
1533324920,5905,5905
1533327020,5903,5903
1533328935,5920,5920
1533329776,5949,5949
1533330855,5936,5936
1533332120,5958,5958
1533333376,5988,5988
1533334456,5979,5979
1533335295,5997,5997
1533336983,6004,6004
1533338057,6002,6002
1533339750,6037,6037
1533341724,6057,6057
1533343335,6051,6051
1533345264,6070,6070
1533346096,6085,6085
1533346945,6040,6040
1533348626,6049,6049
1533349709,6057,6057
1533350538,6041,6041
1533351914,6078,6078
1533353298,6122,6122
1533354137,6112,6112
1533354986,6120,6120
1533356121,6115,6115
1533357623,6119,6119
1533358583,6128,6128
1533359726,6134,6134
1533360917,6128,6128
1533362178,6145,6145
1533363321,6145,6145
1533364935,6147,6147
1533366320,6127,6127
1533367694,6137,6137
1533368535,6131,6131
1533370225,6114,6114
1533371427,6105,6105
1533372919,6140,6140
1533374059,6134,6134
1533374896,6148,6148
1533375735,6142,6142
1533377661,6144,6144
