DateTime,AddedIPs,RemovedIPs
1532237057,12,0
1532238965,15,20
1532242823,16,13
1532244739,9,8
1532246678,4,3
1532248583,11,10
1532250513,10,4
1532252415,7,8
1532254336,3,13
1532256257,4,14
1532258192,10,13
1532260113,13,15
1532262036,12,5
1532263950,9,6
1532267791,16,4
1532269935,5,12
1532272103,12,4
1532274010,21,11
1532276184,10,13
1532280973,14,49
1532282898,7,11
1532284823,10,9
1532286980,13,9
1532288908,10,20
1532290828,13,6
1532292736,18,20
1532294653,10,4
1532296570,8,8
1532298507,10,0
1532300429,9,13
1532302607,4,22
1532304522,7,5
1532306420,16,16
1532308354,8,18
1532310262,7,7
1532312194,7,0
1532314111,9,17
1532316018,6,0
1532317953,10,22
1532319864,6,14
1532321789,7,17
1532323689,14,15
1532327538,12,7
1532329477,11,4
1532331387,14,14
1532333307,13,17
1532335209,8,12
1532337143,4,8
1532339061,10,5
1532341734,2,6
1532343627,3,4
1532347463,8,26
1532349375,7,20
1532351294,10,21
1532353228,1,6
1532355148,2,16
1532357058,14,20
1532358988,12,18
1532360896,13,14
1532363781,7,14
1532365718,15,2
1532367609,11,8
1532369783,10,10
1532371942,12,15
1532373867,28,6
1532375777,14,0
1532377687,25,13
1532380123,13,14
1532382015,11,8
1532383957,10,0
1532385858,19,14
1532387778,19,16
1532389702,16,10
1532391619,19,18
1532393531,11,0
1532395485,13,7
1532397370,13,9
1532399312,9,0
1532401224,8,19
1532403140,15,11
1532405055,0,11
1532406993,9,0
1532408912,11,16
1532410815,21,21
1532412747,20,7
1532414653,12,12
1532416814,13,13
1532418753,11,16
1532420658,5,19
1532422851,8,21
1532424734,8,8
1532426670,9,10
1532428569,5,12
1532432409,0,20
1532434360,15,16
1532436250,21,15
1532438185,6,15
1532440108,16,13
1532442258,10,18
1532444168,4,8
1532446097,8,0
1532448032,6,12
1532449957,5,14
1532451857,4,19
1532453784,8,15
1532455704,3,13
1532457613,7,0
1532459547,8,17
1532461710,12,17
1532463607,3,6
1532465556,7,13
1532467452,11,0
1532469382,2,23
1532471288,10,7
1532473259,4,14
1532475142,7,0
1532477074,7,10
1532478968,10,21
1532480915,17,6
1532482824,5,7
1532484741,4,0
1532486661,7,12
1532488579,11,14
1532490493,12,19
1532492421,2,9
1532494351,2,9
1532496257,13,4
1532500427,4,26
1532502253,11,7
1532504175,5,9
1532506100,9,13
1532508032,11,12
1532509938,3,13
1532511864,6,5
1532513778,3,2
1532515710,9,6
1532517613,10,3
1532519574,12,4
1532521454,19,0
1532523387,7,16
1532525289,18,20
1532529148,11,8
1532531305,12,4
1532533223,6,15
1532535385,3,3
1532537291,13,12
1532539214,20,10
1532541137,1,3
1532543068,13,6
1532544967,4,8
1532547645,3,0
1532549784,9,7
1532553614,17,7
1532555532,13,6
1532557466,17,8
1532561312,29,20
1532563233,13,0
1532565147,7,11
1532567061,10,11
1532568991,6,13
1532570912,4,11
1532572816,5,6
1532574744,9,0
1532576656,14,5
1532578585,8,5
1532580493,12,0
1532586258,18,26
1532588185,9,0
1532590094,17,13
1532592041,8,15
1532593956,3,8
1532596120,7,11
1532598012,1,4
1532599944,4,0
1532601859,8,5
1532603795,6,3
1532605696,18,2
1532607640,7,12
1532609542,8,9
1532611452,11,0
1532613379,4,19
1532615553,3,11
1532621327,4,3
1532623227,5,0
1532625405,9,0
1532627309,16,1
1532629217,10,0
1532631388,10,3
1532634043,7,4
1532635935,11,0
1532637869,14,12
1532639788,12,12
1532641707,15,9
1532643606,6,0
1532646772,13,8
1532648668,17,5
1532654419,8,26
1532658259,10,16
1532660170,7,11
1532662114,11,0
1532664038,4,0
1532665958,8,9
1532667864,9,15
1532669799,9,9
1532671702,6,12
1532673879,13,0
1532675777,11,8
1532677961,5,9
1532679866,10,7
1532685870,2,13
1532687769,4,3
1532689717,4,2
1532691618,3,3
1532693561,4,5
1532695459,11,7
1532697382,16,14
1532699304,9,8
1532701303,12,11
1532703153,6,0
1532705057,14,4
1532708898,13,11
1532710857,9,5
1532712745,10,11
1532714661,6,10
1532716584,3,9
1532718502,2,8
1532722353,13,12
1532726176,8,19
1532728105,8,11
1532731982,18,14
1532740104,19,25
1532742019,13,15
1532743958,16,2
1532745855,8,8
1532747782,7,5
1532749694,4,5
1532751646,11,0
1532755453,11,23
1532757385,16,11
1532765072,15,47
1532766992,3,5
1532773497,7,10
1532775369,7,7
1532777304,4,3
1532781146,3,8
1532783057,5,5
1532786892,8,15
1532790738,11,16
1532794572,18,21
1532796491,16,8
1532798415,18,7
1532804184,6,12
1532806156,7,0
1532808058,1,9
1532809992,15,8
1532811909,5,5
1532813800,8,8
1532817648,4,11
1532819586,11,3
1532821464,21,0
1532826536,7,24
1532828437,12,12
1532830387,12,12
1532833280,13,0
1532835140,4,12
1532840898,19,22
1532843056,27,20
1532844986,19,14
1532846890,21,14
1532848809,22,0
1532852649,18,16
1532856487,8,7
1532860334,5,9
1532862260,2,2
1532864169,5,7
1532866094,6,15
1532868009,6,8
1532869934,17,14
1532871860,14,4
1532875932,16,12
1532877853,19,5
1532879779,8,0
1532881689,18,14
1532885536,17,19
1532887461,2,0
1532893217,8,26
1532896367,2,0
1532898266,21,15
1532902102,2,12
1532905940,12,0
1532907863,12,19
1532910141,5,10
1532912166,9,13
1532916029,6,11
1532917938,8,14
1532919864,11,13
1532923693,12,19
1532925617,16,17
1532929454,15,32
1532931377,15,17
1532933291,20,12
1532937131,20,13
1532939074,10,13
1532940982,18,15
1532942888,7,11
1532944827,7,6
1532946737,7,6
1532948661,5,0
1532950582,5,0
1532952496,4,0
1532954410,3,5
1532956335,3,19
1532958266,15,11
1532960182,5,0
1532962093,14,0
1532964011,10,5
1532965933,12,11
1532967854,12,10
1532971693,20,21
1532973628,2,9
1532977458,5,18
1532979374,6,13
1532981295,5,8
1532983244,6,0
1532985138,7,14
1532990898,12,42
1532992837,6,0
1532994752,7,15
