DateTime,Entries,UniqueIPs
1532237057,14562,14898
1532238965,14557,14893
1532242823,14560,14896
1532244739,14561,14897
1532246678,14562,14898
1532248583,14563,14899
1532250513,14569,14905
1532252415,14570,14904
1532254336,14560,14894
1532256257,14550,14884
1532258192,14546,14881
1532260113,14545,14879
1532262036,14552,14886
1532263950,14555,14889
1532267791,14566,14901
1532269935,14559,14894
1532272103,14567,14902
1532274010,14576,14912
1532276184,14574,14909
1532280973,14538,14874
1532282898,14534,14870
1532284823,14536,14871
1532286980,14540,14875
1532288908,14530,14865
1532290828,14537,14872
1532292736,14534,14870
1532294653,14540,14876
1532296570,14540,14876
1532298507,14550,14886
1532300429,14547,14882
1532302607,14529,14864
1532304522,14531,14866
1532306420,14532,14866
1532308354,14523,14856
1532310262,14523,14856
1532312194,14530,14863
1532314111,14524,14855
1532316018,14530,14861
1532317953,14520,14849
1532319864,14512,14841
1532321789,14502,14831
1532323689,14501,14830
1532327538,14508,14835
1532329477,14515,14842
1532331387,14513,14842
1532333307,14509,14838
1532335209,14505,14834
1532337143,14502,14830
1532339061,14507,14835
1532341734,14503,14831
1532343627,14502,14830
1532347463,14488,14812
1532349375,14479,14799
1532351294,14468,14788
1532353228,14463,14783
1532355148,14449,14769
1532357058,14443,14763
1532358988,14436,14757
1532360896,14436,14756
1532363781,14430,14749
1532365718,14443,14762
1532367609,14446,14765
1532369783,14446,14765
1532371942,14443,14762
1532373867,14465,14784
1532375777,14477,14798
1532377687,14490,14810
1532380123,14489,14809
1532382015,14491,14812
1532383957,14500,14822
1532385858,14506,14827
1532387778,14511,14830
1532389702,14518,14836
1532391619,14519,14837
1532393531,14530,14848
1532395485,14536,14854
1532397370,14540,14858
1532399312,14549,14867
1532401224,14537,14856
1532403140,14541,14860
1532405055,14530,14849
1532406993,14539,14858
1532408912,14534,14853
1532410815,14535,14853
1532412747,14548,14866
1532414653,14548,14866
1532416814,14548,14866
1532418753,14544,14861
1532420658,14530,14847
1532422851,14517,14834
1532424734,14518,14834
1532426670,14518,14833
1532428569,14511,14826
1532432409,14491,14806
1532434360,14491,14805
1532436250,14497,14811
1532438185,14488,14802
1532440108,14490,14805
1532442258,14481,14797
1532444168,14477,14793
1532446097,14485,14801
1532448032,14479,14795
1532449957,14470,14786
1532451857,14455,14771
1532453784,14448,14764
1532455704,14438,14754
1532457613,14445,14761
1532459547,14436,14752
1532461710,14432,14747
1532463607,14429,14744
1532465556,14423,14738
1532467452,14434,14749
1532469382,14413,14728
1532471288,14416,14731
1532473259,14405,14721
1532475142,14411,14728
1532477074,14405,14725
1532478968,14395,14714
1532480915,14405,14725
1532482824,14403,14723
1532484741,14407,14727
1532486661,14402,14722
1532488579,14401,14719
1532490493,14394,14712
1532492421,14387,14705
1532494351,14380,14698
1532496257,14389,14707
1532500427,14367,14685
1532502253,14369,14689
1532504175,14365,14685
1532506100,14361,14681
1532508032,14360,14680
1532509938,14350,14670
1532511864,14351,14671
1532513778,14352,14672
1532515710,14355,14675
1532517613,14362,14682
1532519574,14370,14690
1532521454,14389,14709
1532523387,14381,14700
1532525289,14380,14698
1532529148,14381,14701
1532531305,14389,14709
1532533223,14380,14700
1532535385,14380,14700
1532537291,14381,14701
1532539214,14391,14711
1532541137,14389,14709
1532543068,14396,14716
1532544967,14392,14712
1532547645,14395,14715
1532549784,14397,14717
1532553614,14406,14727
1532555532,14413,14734
1532557466,14421,14743
1532561312,14431,14752
1532563233,14444,14765
1532565147,14440,14761
1532567061,14439,14760
1532568991,14432,14753
1532570912,14425,14746
1532572816,14427,14745
