DateTime,AddedIPs,RemovedIPs
1532237057,47,37
1532238965,59,46
1532242823,51,56
1532244739,30,54
1532246678,33,29
1532248583,33,32
1532250513,45,32
1532252415,21,51
1532254336,15,22
1532256257,13,15
1532258192,24,12
1532260113,56,23
1532262036,52,54
1532263950,37,53
1532267791,53,38
1532269935,29,48
1532272103,58,31
1532274010,57,56
1532276184,32,58
1532280973,43,29
1532282898,27,44
1532284823,48,28
1532286980,35,48
1532288908,37,36
1532290828,33,40
1532292736,53,32
1532294653,51,45
1532296570,42,55
1532298507,42,42
1532300429,20,46
1532302607,18,21
1532304522,38,18
1532306420,54,38
1532308354,27,52
1532310262,41,24
1532312194,26,44
1532314111,46,28
1532316018,30,40
1532317953,45,32
1532319864,40,48
1532321789,44,41
1532323689,56,42
1532327538,52,55
1532329477,47,53
1532331387,54,47
1532333307,52,54
1532335209,38,52
1532337143,20,42
1532339061,17,21
1532341734,11,16
1532343627,18,12
1532347463,30,14
1532349375,15,30
1532351294,22,17
1532353228,15,22
1532355148,26,12
1532357058,51,26
1532358988,39,49
1532360896,40,43
1532363781,28,42
1532365718,37,24
1532367609,42,38
1532369783,26,41
1532371942,37,25
1532373867,56,42
1532375777,26,53
1532377687,56,24
1532380123,27,56
1532382015,25,32
1532383957,22,25
1532385858,50,21
1532387778,42,45
1532389702,39,42
1532391619,49,40
1532393531,20,49
1532395485,39,22
1532397370,31,38
1532399312,29,31
1532401224,32,28
1532403140,36,29
1532405055,11,41
1532406993,47,15
1532408912,38,39
1532410815,45,35
1532412747,48,47
1532414653,34,48
1532416814,37,37
1532418753,44,38
1532420658,37,44
1532422851,38,40
1532424734,21,39
1532426670,28,20
1532428569,14,28
1532432409,7,15
1532434360,40,8
1532436250,60,37
1532438185,24,63
1532440108,59,22
1532442258,46,59
1532444168,18,48
1532446097,41,14
1532448032,16,42
1532449957,23,16
1532451857,22,25
1532453784,35,22
1532455704,20,33
1532457613,20,16
1532459547,20,24
1532461710,41,21
1532463607,16,41
1532465556,11,17
1532467452,40,9
1532469382,24,41
1532471288,35,22
1532473259,11,36
1532475142,32,11
1532477074,32,27
1532478968,49,34
1532480915,59,45
1532482824,37,58
1532484741,31,41
1532486661,32,32
1532488579,38,29
1532490493,39,38
1532492421,18,44
1532494351,16,16
1532496257,59,21
1532500427,18,57
1532502253,42,19
1532504175,37,40
1532506100,29,38
1532508032,35,31
1532509938,18,35
1532511864,19,17
1532513778,17,20
1532515710,19,18
1532517613,43,19
1532519574,39,37
1532521454,53,41
1532523387,33,55
1532525289,53,33
1532529148,32,54
1532531305,35,27
1532533223,16,37
1532535385,15,18
1532537291,46,12
1532539214,51,46
1532541137,13,53
1532543068,55,14
1532544967,20,53
1532547645,13,21
1532549784,28,14
1532553614,42,25
1532555532,49,44
1532557466,55,49
1532561312,53,54
1532563233,32,56
1532565147,38,30
1532567061,22,37
1532568991,21,23
1532570912,20,21
1532572816,27,21
1532574744,42,26
1532576656,44,43
1532578585,37,42
1532580493,34,37
1532586258,60,35
1532588185,30,62
1532590094,56,28
1532592041,35,57
1532593956,19,31
1532596120,42,21
1532598012,18,45
1532599944,19,18
1532601859,25,19
1532603795,25,25
1532605696,50,23
1532607640,41,50
1532609542,23,41
1532611452,42,23
1532613379,20,43
1532615553,22,18
1532621327,22,22
1532623227,17,24
1532625405,38,17
1532627309,48,37
1532629217,31,46
1532631388,24,32
1532634043,23,23
1532635935,41,21
1532637869,51,43
1532639788,31,50
1532641707,45,35
1532643606,15,44
1532646772,46,17
1532648668,53,46
1532654419,31,46
1532658259,43,31
1532660170,29,45
1532662114,44,28
1532664038,22,47
1532665958,32,20
1532667864,34,27
1532669799,36,39
1532671702,30,36
1532673879,56,31
1532675777,43,59
1532677961,32,40
1532679866,31,34
1532685870,15,33
1532687769,17,16
1532689717,13,17
1532691618,11,13
1532693561,19,10
1532695459,33,19
1532697382,45,33
1532699304,41,39
