DateTime,AddedIPs,RemovedIPs
1532945793,64,5
1532946740,53,57
1532947698,60,67
1532948665,48,3
1532949611,60,60
1532950593,75,89
1532951575,65,48
1532952499,54,59
1532953468,70,62
1532954414,37,9
1532955391,61,99
1532956338,66,4
1532957303,48,70
1532958291,63,62
1532959234,49,56
1532960187,43,59
1532961142,67,69
1532962099,59,52
1532963067,62,49
1532964015,68,49
1532964997,51,62
1532965952,75,61
1532966931,64,49
1532967863,69,62
1532968815,75,56
1532969793,67,62
1532970758,57,65
1532971717,42,64
1532972664,51,63
1532973647,75,62
1532974581,40,60
1532975545,41,40
1532976499,60,65
1532977462,128,87
1532978423,59,118
1532979394,45,50
1532980351,58,51
1532981299,48,76
1532983255,68,126
1532984170,67,5
1532985144,74,55
1532986105,62,53
1532987091,66,43
1532988026,66,56
1532988975,48,44
1532989958,43,42
1532990916,56,37
1532991875,63,50
1532992840,41,48
1532993793,55,42
1532994763,69,61
1532995699,53,48
1532996671,75,54
1532997629,85,57
1532998599,78,54
1532999562,71,79
1533000505,61,41
1533001472,54,74
1533002481,63,58
1533003384,50,50
1533004345,69,62
1533005299,73,49
1533006268,41,64
1533007209,46,53
1533008209,79,73
1533009134,58,56
1533010110,49,71
1533011069,78,51
1533012019,39,58
1533012997,54,42
1533013967,54,58
1533014914,64,12
1533015860,57,54
1533016826,86,61
1533017803,24,66
1533018737,31,58
1533019701,82,50
1533020660,70,60
1533021623,61,56
1533022572,80,59
1533023581,75,74
1533024496,91,66
1533025521,56,80
1533026410,0,17
1533026679,31,73
1533027393,0,11
1533027860,27,70
1533028360,0,17
1533028817,9,57
1533029298,0,13
1533029794,48,62
1533030262,13,5
1533030729,67,46
1533031250,18,10
1533031731,94,46
1533032189,12,12
1533032676,81,53
1533033411,39,17
1533033869,80,51
1533034362,19,11
1533034819,98,45
1533035301,10,9
1533035793,73,109
1533036253,6,13
1533036740,79,60
1533037239,13,12
1533037697,45,4
1533038203,9,8
1533038682,102,89
1533039164,1,11
1533039623,10,4
1533040093,0,6
1533040589,24,61
1533041061,0,8
1533041557,28,106
1533042031,0,12
1533042497,29,5
1533043007,8,18
1533043461,68,53
1533043960,15,13
1533044414,112,64
1533044924,14,8
1533045394,91,41
1533045890,13,12
1533046338,86,58
1533046813,13,16
1533047327,62,51
1533047792,15,9
1533048295,65,57
1533049005,15,9
1533049487,113,53
1533050045,6,6
1533050415,51,38
1533051132,15,11
1533051388,83,108
1533052109,8,8
1533052587,71,38
1533053098,11,10
1533053564,73,55
1533054036,9,6
1533054492,74,7
1533055233,17,23
1533055490,67,38
1533056448,68,57
1533057374,67,54
1533058349,81,45
1533059303,69,72
1533060270,62,57
1533061217,88,71
1533062175,64,56
1533063151,80,56
1533064123,1453,1208
1533065056,75,12
1533066019,105,140
1533067526,77,49
1533068661,69,67
1533069611,69,52
1533070589,72,53
1533071678,66,69
1533072755,83,58
1533073712,61,76
1533074683,72,54
1533075622,62,73
1533076590,64,46
1533077548,74,45
1533078496,57,52
1533079473,62,54
1533080411,83,58
1533081369,87,77
1533082363,64,106
1533083305,85,51
1533084269,101,80
1533085234,72,78
1533086181,75,88
1533087164,71,62
1533088093,86,71
1533089068,73,63
1533090012,72,62
1533091006,65,64
1533091947,70,57
1533092917,66,69
1533093857,58,58
1533094815,65,57
1533095777,63,72
1533096735,70,8
1533097702,62,87
1533098682,84,93
1533099628,61,4
1533100593,66,78
1533101541,84,69
1533102500,79,67
1533103468,72,93
1533104414,96,78
1533105390,90,74
1533106364,71,84
1533107294,90,67
1533108254,87,55
1533109214,98,106
1533110215,79,63
1533111136,94,99
1533112116,96,11
1533113069,67,84
1533114042,84,77
1533114975,82,86
1533115937,87,92
1533116916,79,81
1533117884,86,59
1533118813,83,91
1533119772,83,48
1533120760,76,64
1533121721,69,73
1533122663,102,77
1533124872,151,208
1533125775,65,4
1533126750,84,79
1533127696,73,152
1533128686,96,83
1533129609,73,4
1533130572,66,81
1533131566,68,82
1533132497,71,68
1533133463,94,73
1533134412,92,75
1533135395,85,88
1533136333,87,63
1533137380,91,63
1533138523,95,72
1533139457,83,42
1533140434,103,55
1533141394,108,78
1533142340,86,75
1533143299,87,58
1533144278,79,42
1533145240,120,73
1533146172,112,65
1533147143,92,72
1533148091,96,61
1533149106,163,74
1533150014,115,69
1533150987,93,97
1533151966,105,10
