DateTime,Entries,UniqueIPs
1532890337,42321,42759
1532891298,42329,42767
1532892275,42306,42743
1532893219,42307,42742
1532894173,42298,42732
1532896377,42267,42701
1532897387,42260,42693
1532898507,42255,42687
1532899451,42252,42684
1532900413,42250,42682
1532901397,42253,42683
1532902334,42255,42685
1532903302,42232,42662
1532904275,42228,42657
1532905218,42224,42652
1532906175,42214,42642
1532907157,42136,42563
1532908101,42147,42574
1532909066,42155,42582
1532910143,42138,42565
1532911214,42136,42563
1532912168,42120,42547
1532913140,42093,42520
1532914100,42035,42460
1532915049,42052,42477
1532916033,42051,42476
1532916992,42061,42486
1532917940,42100,42525
1532918894,42119,42544
1532919878,42141,42566
1532920807,42142,42567
1532921773,42129,42554
1532922748,42111,42537
1532923695,42105,42531
1532924654,42093,42518
1532925620,42090,42515
1532926588,42104,42529
1532927535,42090,42514
1532928495,42088,42512
1532929459,42062,42486
1532930437,42048,42471
1532931379,42044,42468
1532932360,42028,42451
1532933293,42013,42434
1532934265,42008,42429
1532935239,42008,42428
1532936189,42009,42429
1532937145,42009,42429
1532938103,41985,42405
1532939083,41992,42412
1532940012,41979,42398
1532940984,41973,42392
1532941945,41973,42392
1532942890,41973,42393
1532943864,41992,42408
1532944829,41997,42413
1532945791,41999,42413
1532946739,41996,42409
1532947696,41987,42398
1532948663,41985,42397
1532949609,41988,42400
1532950592,42004,42416
1532951555,42001,42414
1532952498,42000,42413
1532953458,42003,42416
1532954412,41996,42409
1532955389,41992,42404
1532956337,41996,42407
1532957290,42005,42416
1532958284,42008,42419
1532959225,41997,42407
1532960185,41989,42399
1532961140,41986,42396
1532962097,41996,42406
1532963065,41996,42405
1532964014,41997,42404
1532964989,41984,42388
1532965936,41984,42387
1532966929,41968,42371
1532967856,41967,42369
1532968809,41964,42366
1532969792,41960,42362
1532970756,41956,42358
1532971695,41957,42360
1532972652,41957,42360
1532973630,41954,42357
1532974579,41935,42338
1532975539,41915,42318
1532976497,41899,42302
1532977460,41890,42293
1532978418,41879,42279
1532979376,41880,42280
1532980349,41874,42274
1532981297,41863,42263
1532983253,41859,42259
1532984169,41851,42251
1532985143,41860,42260
1532986087,41847,42247
1532987078,41847,42246
1532988024,41856,42256
1532988974,41853,42254
1532989956,41853,42254
1532990900,41861,42263
1532991873,41870,42272
1532992839,41883,42285
1532993786,41899,42301
1532994762,41916,42318
1532995697,41937,42339
1532996670,41972,42374
1532997627,42011,42413
1532998598,42031,42433
1532999561,42056,42458
1533000493,42049,42451
1533001456,42057,42459
1533002479,41951,42352
1533003383,41918,42319
1533004344,41921,42321
1533005297,41859,42258
1533006267,41873,42272
1533007208,41849,42248
1533008194,41844,42242
1533009132,41826,42223
1533010109,41830,42227
1533011052,41838,42235
