DateTime,AddedIPs,RemovedIPs
1532890337,10,13
1532891298,8,11
1532892275,6,10
1532893219,12,5
1532894173,4,5
1532896377,18,25
1532897387,6,8
1532898507,3,4
1532899451,6,11
1532900413,6,12
1532901397,10,10
1532902334,11,11
1532903302,2,13
1532904275,8,9
1532905218,10,14
1532906175,7,18
1532907157,7,16
1532908101,11,18
1532909066,8,20
1532910143,12,27
1532911214,25,39
1532912168,17,17
1532913140,8,24
1532914100,11,14
1532915049,17,14
1532916033,14,24
1532916992,12,18
1532917940,43,12
1532918894,24,9
1532919878,24,12
1532920807,31,12
1532921773,28,19
1532922748,12,19
1532923695,12,22
1532924654,10,8
1532925620,12,9
1532926588,25,11
1532927535,11,14
1532928495,17,11
1532929459,3,8
1532930437,10,15
1532931379,8,6
1532932360,12,12
1532933293,17,13
1532934265,10,13
1532935239,21,9
1532936189,4,14
1532937145,35,7
1532938103,8,11
1532939083,25,13
1532940012,10,14
1532940984,15,13
1532941945,26,5
1532942890,20,13
1532943864,41,8
1532944829,20,9
1532945791,17,15
1532946739,13,11
1532947696,6,8
1532948663,6,12
1532949609,15,12
1532950592,20,10
1532951555,17,15
1532952498,14,8
1532953458,18,14
1532954412,6,6
1532955389,8,16
1532956337,17,18
1532957290,9,6
1532958284,16,11
1532959225,8,9
1532960185,9,15
1532961140,12,7
1532962097,17,4
1532963065,9,3
1532964014,13,9
1532964989,11,15
1532965936,21,5
1532966929,13,11
1532967856,13,7
1532968809,23,9
1532969792,14,12
1532970756,8,7
1532971695,7,4
1532972652,9,11
1532973630,6,13
1532974579,10,9
1532975539,6,9
1532976497,9,5
1532977460,8,8
1532978418,8,5
1532979376,17,8
1532980349,8,11
1532981297,7,3
1532983253,19,15
1532984169,8,14
1532985143,18,6
1532986087,5,7
1532987078,13,9
1532988024,19,8
1532988974,10,8
1532989956,5,9
1532990900,13,9
1532991873,16,13
1532992839,13,14
1532993786,16,12
1532994762,17,13
1532995697,21,17
1532996670,40,30
1532997627,46,36
1532998598,31,20
1532999561,25,22
1533000493,21,20
1533001456,21,37
1533002479,29,33
1533003383,21,36
1533004344,23,27
1533005297,17,16
1533006267,14,20
1533007208,14,18
1533008194,25,17
1533009132,19,2
1533010109,23,19
1533011052,20,10
1533012013,18,26
1533012996,14,12
1533013966,15,13
1533014890,19,14
1533015858,26,6
1533016824,36,13
1533017802,1,10
1533018736,0,13
1533019699,27,15
1533020659,25,7
1533021621,27,17
1533022570,14,8
1533023580,13,25
1533024495,6,6
1533025478,6,28
1533026410,0,11
1533027393,0,15
1533028360,0,17
1533029298,0,21
1533030262,19,15
1533031250,24,25
1533032189,29,13
1533033411,59,14
1533034362,31,12
1533035301,17,12
1533036253,14,10
1533037239,16,7
1533038203,10,11
1533039164,2,10
1533040093,0,14
1533041061,0,11
1533042031,0,10
1533043007,12,10
1533043960,30,10
1533044924,35,11
1533045890,19,13
1533046813,22,5
1533047792,18,14
1533049005,22,17
1533050045,12,9
1533051132,19,14
1533052109,11,14
1533053098,17,17
1533054036,14,16
1533055233,22,21
1533056446,14,11
1533057372,7,18
1533058347,17,15
1533059301,16,7
1533060264,6,11
1533061215,18,8
1533062174,18,17
1533063149,9,13
1533064122,10,18
1533065054,21,12
1533066014,6,7
1533067515,28,17
1533068650,21,4
1533069610,19,12
1533070588,10,11
1533071670,11,14
1533072753,17,13
1533073695,3,8
1533074663,12,5
1533075620,14,18
1533076588,15,17
1533077531,10,9
1533078494,12,17
1533079472,8,18
1533080409,13,19
1533081367,18,26
1533082362,16,27
1533083295,17,41
1533084258,37,42
1533085232,21,39
1533086180,10,26
1533087162,19,28
1533088091,32,25
1533089067,23,29
1533090011,21,25
1533091004,26,33
1533091938,19,20
1533092916,15,27
1533093851,11,13
1533094814,31,17
1533095775,19,20
1533096734,15,15
1533097700,14,14
1533098665,18,17
1533099626,20,13
1533100582,14,19
1533101539,18,20
1533102498,10,8
1533103466,21,13
1533104412,30,1
1533105388,29,7
1533106356,22,26
1533107292,19,9
1533108253,29,22
1533109212,12,15
1533110213,24,20
1533111135,16,14
1533112097,39,4
1533113068,13,0
1533114041,21,0
1533114973,11,0
1533115935,35,0
1533116914,27,13
1533117882,21,15
1533118808,19,46
1533119770,18,40
1533120754,11,35
1533121719,8,13
1533122656,39,17
1533124871,51,44
1533125773,5,0
1533126749,28,0
1533127694,10,0
1533128684,24,0
1533129608,25,19
1533130571,13,24
1533131559,25,39
1533132495,12,14
1533133453,27,28
1533134410,23,24
1533135394,11,18
1533136331,21,23
1533137379,22,25
1533138506,12,21
1533139455,28,26
1533140433,28,32
1533141392,24,15
1533142330,24,13
1533143297,16,19
1533144269,10,28
1533145238,42,25
1533146170,35,7
1533147141,25,14
1533148089,19,19
1533149073,40,14
1533150012,54,23
1533150977,17,10
1533151965,48,24
1533152898,38,22
1533153860,43,20
1533154813,29,16
1533155790,29,12
1533156734,43,12
1533157701,41,17
1533158654,45,21
1533159630,68,16
1533160572,26,16
1533161542,37,11
1533162493,40,17
1533163466,44,12
1533164433,61,23
1533165384,66,13
1533166846,62,34
1533167767,68,37
1533168745,71,41
1533169688,40,21
1533170678,58,41
1533171611,63,31
1533172596,60,36
1533173540,39,47
1533174514,73,45
1533175466,94,94
1533176419,69,69
1533177387,41,41
1533178332,32,32
1533179296,50,50
1533180257,35,35
1533181212,61,61
1533182188,31,31
1533183140,49,49
1533184093,36,36
1533185068,39,39
1533186036,32,32
1533186983,35,35
1533187943,28,28
1533188892,30,30
1533189884,43,43
1533190809,19,19
1533191791,47,47
1533192753,30,30
1533193717,40,40
1533194654,27,27
1533195624,19,19
1533196570,19,19
1533197542,43,43
1533198492,12,12
1533199459,15,15
1533200464,17,17
1533201385,21,21
1533202341,26,26
1533203316,26,26
1533204260,24,24
1533205211,32,32
1533206190,22,22
1533207143,30,30
1533208364,36,36
1533209291,18,18
1533210260,23,23
1533211266,17,17
1533212172,11,11
1533213141,25,25
1533214381,30,30
1533215291,11,11
1533216250,9,9
1533217227,30,30
1533218192,11,11
1533219138,21,21
1533220094,11,28
1533221070,17,64
1533222026,20,36
1533222976,16,43
1533223951,18,43
1533224919,10,27
1533226147,25,95
1533227054,12,45
1533228014,15,15
1533228984,26,59
1533229929,10,23
1533230890,19,28
1533231868,22,61
1533232848,18,62
1533233793,5,28
1533234751,22,39
1533235691,20,35
1533236673,23,38
1533237630,21,27
1533238581,22,56
1533239548,20,51
1533240499,20,16
