DateTime,Entries,UniqueIPs
1532890337,860,860
1532891298,857,857
1532892275,853,853
1532893219,860,860
1532894173,859,859
1532896377,852,852
1532897387,850,850
1532898507,849,849
1532899451,844,844
1532900413,838,838
1532901397,838,838
1532902334,838,838
1532903302,827,827
1532904275,826,826
1532905218,822,822
1532906175,811,811
1532907157,802,802
1532908101,795,795
1532909066,783,783
1532910143,768,768
1532911214,754,754
1532912168,754,754
1532913140,738,738
1532914100,735,735
1532915049,738,738
1532916033,728,728
1532916992,722,722
1532917940,753,753
1532918894,768,768
1532919878,780,780
1532920807,799,799
1532921773,808,808
1532922748,801,801
1532923695,791,791
1532924654,793,793
1532925620,796,796
1532926588,810,810
1532927535,807,807
1532928495,813,813
1532929459,808,808
1532930437,803,803
1532931379,805,805
1532932360,805,805
1532933293,809,809
1532934265,806,806
1532935239,818,818
1532936189,808,808
1532937145,836,836
1532938103,833,833
1532939083,845,845
1532940012,841,841
1532940984,843,843
1532941945,864,864
1532942890,871,871
1532943864,904,904
1532944829,915,915
1532945791,917,917
1532946739,919,919
1532947696,917,917
1532948663,911,911
1532949609,914,914
1532950592,924,924
1532951555,926,926
1532952498,932,932
1532953458,936,936
1532954412,936,936
1532955389,928,928
1532956337,927,927
1532957290,930,930
1532958284,935,935
1532959225,934,934
1532960185,928,928
1532961140,933,933
1532962097,946,946
1532963065,952,952
1532964014,956,956
1532964989,952,952
1532965936,968,968
1532966929,970,970
1532967856,976,976
1532968809,990,990
1532969792,992,992
1532970756,993,993
1532971695,996,996
1532972652,994,994
1532973630,987,987
1532974579,988,988
1532975539,985,985
1532976497,989,989
1532977460,989,989
1532978418,992,992
1532979376,1001,1001
1532980349,998,998
1532981297,1002,1002
1532983253,1006,1006
1532984169,1000,1000
1532985143,1012,1012
1532986087,1010,1010
1532987078,1014,1014
1532988024,1025,1025
1532988974,1027,1027
1532989956,1023,1023
1532990900,1027,1027
1532991873,1030,1030
1532992839,1029,1029
1532993786,1033,1033
1532994762,1037,1037
1532995697,1041,1041
1532996670,1051,1051
1532997627,1061,1061
1532998598,1072,1072
1532999561,1075,1075
1533000493,1076,1076
1533001456,1060,1060
1533002479,1056,1056
1533003383,1041,1041
1533004344,1037,1037
1533005297,1038,1038
1533006267,1032,1032
1533007208,1028,1028
1533008194,1036,1036
1533009132,1053,1053
1533010109,1057,1057
1533011052,1067,1067
1533012013,1059,1059
1533012996,1061,1061
1533013966,1063,1063
1533014890,1068,1068
1533015858,1088,1088
1533016824,1111,1111
1533017802,1102,1102
1533018736,1089,1089
1533019699,1101,1101
1533020659,1119,1119
1533021621,1129,1129
1533022570,1135,1135
1533023580,1123,1123
1533024495,1123,1123
1533025478,1101,1101
1533026410,1090,1090
1533027393,1075,1075
1533028360,1058,1058
1533029298,1037,1037
1533030262,1041,1041
1533031250,1040,1040
1533032189,1056,1056
1533033411,1101,1101
1533034362,1120,1120
1533035301,1125,1125
1533036253,1129,1129
1533037239,1138,1138
1533038203,1137,1137
1533039164,1129,1129
1533040093,1115,1115
1533041061,1104,1104
1533042031,1094,1094
1533043007,1096,1096
1533043960,1116,1116
1533044924,1140,1140
1533045890,1146,1146
1533046813,1163,1163
1533047792,1167,1167
1533049005,1172,1172
1533050045,1175,1175
1533051132,1180,1180
1533052109,1177,1177
1533053098,1177,1177
1533054036,1175,1175
1533055233,1176,1176
1533056446,1179,1179
1533057372,1168,1168
1533058347,1170,1170
1533059301,1179,1179
1533060264,1174,1174
1533061215,1184,1184
1533062174,1185,1185
1533063149,1181,1181
1533064122,1173,1173
1533065054,1182,1182
1533066014,1181,1181
1533067515,1192,1192
1533068650,1209,1209
1533069610,1216,1216
1533070588,1215,1215
1533071670,1212,1212
1533072753,1216,1216
1533073695,1211,1211
1533074663,1218,1218
1533075620,1214,1214
1533076588,1212,1212
1533077531,1213,1213
1533078494,1208,1208
1533079472,1198,1198
1533080409,1192,1192
1533081367,1184,1184
1533082362,1173,1173
1533083295,1149,1149
1533084258,1144,1144
1533085232,1126,1126
1533086180,1110,1110
1533087162,1101,1101
1533088091,1108,1108
1533089067,1102,1102
1533090011,1098,1098
1533091004,1091,1091
1533091938,1090,1090
1533092916,1078,1078
1533093851,1076,1076
1533094814,1090,1090
1533095775,1089,1089
1533096734,1089,1089
1533097700,1089,1089
1533098665,1090,1090
1533099626,1097,1097
1533100582,1092,1092
1533101539,1090,1090
1533102498,1092,1092
1533103466,1100,1100
1533104412,1129,1129
1533105388,1151,1151
1533106356,1147,1147
1533107292,1157,1157
1533108253,1164,1164
1533109212,1161,1161
1533110213,1165,1165
1533111135,1167,1167
1533112097,1202,1202
1533113068,1215,1215
1533114041,1236,1236
1533114973,1247,1247
1533115935,1282,1282
1533116914,1296,1296
1533117882,1302,1302
1533118808,1275,1275
1533119770,1253,1253
1533120754,1229,1229
1533121719,1224,1224
1533122656,1246,1246
1533124871,1253,1253
1533125773,1258,1258
1533126749,1286,1286
1533127694,1296,1296
1533128684,1320,1320
1533129608,1326,1326
1533130571,1315,1315
1533131559,1301,1301
1533132495,1299,1299
1533133453,1298,1298
1533134410,1297,1297
1533135394,1290,1290
1533136331,1288,1288
1533137379,1285,1285
1533138506,1276,1276
1533139455,1278,1278
1533140433,1274,1274
1533141392,1283,1283
1533142330,1294,1294
1533143297,1291,1291
1533144269,1273,1273
1533145238,1290,1290
1533146170,1318,1318
1533147141,1329,1329
1533148089,1329,1329
1533149073,1355,1355
1533150012,1386,1386
1533150977,1393,1393
1533151965,1417,1417
1533152898,1433,1433
1533153860,1456,1456
1533154813,1469,1469
1533155790,1486,1486
1533156734,1517,1517
1533157701,1541,1541
1533158654,1565,1565
1533159630,1617,1617
1533160572,1627,1627
1533161542,1653,1653
1533162493,1676,1676
1533163466,1708,1708
1533164433,1746,1746
1533165384,1799,1799
1533166846,1827,1827
1533167767,1858,1858
1533168745,1888,1888
1533169688,1907,1907
1533170678,1924,1924
1533171611,1956,1956
1533172596,1980,1980
1533173540,1972,1972
1533174514,2000,2000
1533175466,2000,2000
1533176419,2000,2000
1533177387,2000,2000
1533178332,2000,2000
1533179296,2000,2000
1533180257,2000,2000
1533181212,2000,2000
1533182188,2000,2000
1533183140,2000,2000
1533184093,2000,2000
1533185068,2000,2000
1533186036,2000,2000
1533186983,2000,2000
1533187943,2000,2000
1533188892,2000,2000
1533189884,2000,2000
1533190809,2000,2000
1533191791,2000,2000
1533192753,2000,2000
1533193717,2000,2000
1533194654,2000,2000
1533195624,2000,2000
1533196570,2000,2000
1533197542,2000,2000
1533198492,2000,2000
1533199459,2000,2000
1533200464,2000,2000
1533201385,2000,2000
1533202341,2000,2000
1533203316,2000,2000
1533204260,2000,2000
1533205211,2000,2000
1533206190,2000,2000
1533207143,2000,2000
1533208364,2000,2000
1533209291,2000,2000
1533210260,2000,2000
1533211266,2000,2000
1533212172,2000,2000
1533213141,2000,2000
1533214381,2000,2000
1533215291,2000,2000
1533216250,2000,2000
1533217227,2000,2000
1533218192,2000,2000
1533219138,2000,2000
1533220094,1983,1983
1533221070,1936,1936
1533222026,1920,1920
1533222976,1893,1893
1533223951,1868,1868
1533224919,1851,1851
1533226147,1781,1781
1533227054,1748,1748
1533228014,1748,1748
1533228984,1715,1715
1533229929,1702,1702
1533230890,1693,1693
1533231868,1654,1654
1533232848,1610,1610
1533233793,1587,1587
1533234751,1570,1570
1533235691,1555,1555
1533236673,1540,1540
1533237630,1534,1534
1533238581,1500,1500
1533239548,1469,1469
1533240499,1473,1473
1533241466,1463,1463
1533242434,1466,1466
1533243390,1459,1459
1533244374,1443,1443
1533245313,1433,1433
1533246377,1414,1414
1533247457,1422,1422
1533248423,1401,1401
1533249373,1392,1392
1533250327,1378,1378
1533251310,1362,1362
1533252247,1349,1349
1533253729,1331,1331
1533254658,1314,1314
1533255617,1302,1302
1533256597,1281,1281
1533257580,1265,1265
1533258492,1245,1245
1533259454,1233,1233
1533260411,1227,1227
1533261390,1215,1215
1533262337,1211,1211
1533263291,1199,1199
1533264280,1201,1201
1533265246,1208,1208
1533266171,1208,1208
1533267147,1219,1219
1533268094,1223,1223
1533269072,1221,1221
1533270011,1216,1216
1533270981,1210,1210
1533271946,1209,1209
1533272899,1205,1205
1533273862,1199,1199
1533274809,1210,1210
1533275780,1193,1193
1533276754,1192,1192
1533277687,1209,1209
1533278666,1217,1217
1533279613,1219,1219
1533280598,1225,1225
1533281533,1227,1227
1533282499,1229,1229
1533283465,1238,1238
1533284419,1238,1238
1533285387,1248,1248
1533286329,1262,1262
1533287300,1264,1264
1533288264,1260,1260
1533289214,1262,1262
1533290188,1273,1273
1533291135,1262,1262
1533292099,1258,1258
1533293056,1256,1256
1533294019,1245,1245
1533294994,1232,1232
1533296187,1264,1264
1533297131,1274,1274
1533298095,1290,1290
1533299224,1303,1303
1533300248,1292,1292
1533301216,1299,1299
1533302179,1291,1291
1533303131,1286,1286
1533304102,1272,1272
1533305055,1273,1273
1533306012,1275,1275
1533306977,1270,1270
1533307927,1264,1264
1533308897,1254,1254
1533309861,1260,1260
1533310828,1261,1261
1533311777,1248,1248
1533312732,1254,1254
1533313699,1258,1258
1533314662,1248,1248
1533315637,1247,1247
1533316571,1250,1250
1533317554,1256,1256
1533318500,1262,1262
1533319469,1257,1257
1533320406,1253,1253
1533321395,1255,1255
1533322352,1260,1260
1533323569,1261,1261
1533324491,1274,1274
1533325457,1274,1274
1533326412,1274,1274
1533327394,1280,1280
1533328336,1287,1287
1533329294,1293,1293
1533330279,1294,1294
1533331235,1307,1307
1533332177,1326,1326
1533333133,1333,1333
1533334117,1342,1342
1533335068,1340,1340
1533336015,1335,1335
1533336984,1345,1345
1533337935,1357,1357
1533338910,1355,1355
1533339850,1364,1364
1533340819,1361,1361
1533341774,1370,1370
1533342753,1367,1367
