DateTime,AddedIPs,RemovedIPs
1532889397,58,57
1532890339,49,77
1532891300,370,0
1532892276,47,1691
1532893220,75,40
1532894174,61,0
1532896378,62,165
1532897388,57,47
1532898509,53,52
1532899453,70,57
1532900418,57,62
1532901399,72,56
1532902335,49,50
1532903309,39,51
1532904281,56,49
1532905219,66,59
1532906176,63,58
1532907158,53,56
1532908102,55,39
1532909068,48,64
1532910161,73,38
1532911215,56,45
1532912169,45,48
1532913141,57,60
1532914109,63,43
1532915059,57,58
1532916034,63,66
1532916998,55,70
1532917941,91,64
1532918895,69,44
1532919880,61,77
1532920809,73,57
1532921774,66,42
1532922753,49,39
1532923697,68,57
1532924664,60,44
1532925621,59,53
1532926589,76,54
1532927537,61,54
1532928502,84,55
1532929465,43,50
1532930438,76,57
1532931380,66,53
1532932362,67,49
1532933295,68,54
1532934280,61,54
1532935241,67,51
1532936201,51,47
1532937162,107,66
1532938105,91,60
1532939084,87,84
1532940013,59,70
1532940985,69,49
1532941947,74,48
1532942895,87,51
1532943881,75,66
1532944830,69,62
1532945793,74,0
1532946740,58,56
1532947698,62,72
1532948665,56,0
1532949611,53,61
1532950593,62,111
1532951575,64,51
1532952499,54,53
1532953468,71,57
1532954414,44,0
1532955391,58,116
1532956338,64,0
1532957303,45,79
1532958291,74,55
1532959234,50,59
1532960187,49,61
1532961142,64,66
1532962099,59,54
1532963067,52,64
1532964015,70,52
1532964997,44,67
1532965952,72,56
1532966931,55,55
1532967863,60,72
1532968815,61,57
1532969793,70,60
1532970758,54,64
1532971717,43,57
1532972664,51,56
1532973647,77,70
1532974581,38,55
1532975545,36,54
1532976499,61,62
1532977462,132,81
1532978423,55,121
1532979394,36,45
1532980351,58,62
1532981299,51,71
1532983255,46,127
1532984170,74,0
1532985144,59,70
1532986105,59,52
1532987091,62,41
1532988026,67,51
1532988975,42,52
1532989958,48,31
1532990916,50,33
1532991875,66,48
1532992840,31,53
1532993793,51,48
1532994763,69,58
1532995699,52,48
1532996671,63,53
1532997629,70,73
1532998599,83,0
1532999562,63,62
1533000505,65,34
1533001472,58,64
1533002481,52,50
1533003384,57,52
1533004345,54,62
1533005299,73,45
1533006268,38,65
1533007209,46,57
1533008209,75,65
1533009134,66,56
1533010110,47,64
1533011069,65,55
1533012019,36,54
1533012997,61,51
1533013967,59,50
1533014914,67,0
1533015860,62,54
1533016826,71,62
1533017803,28,59
1533018737,26,57
1533019701,86,49
1533020660,73,66
1533021623,56,49
1533022572,87,68
1533023581,74,64
1533024496,101,77
1533025521,61,87
1533026679,34,101
1533027860,27,83
1533028817,10,66
1533029794,49,86
1533030729,82,61
1533031731,108,67
1533032676,95,69
1533033869,101,62
1533034819,107,69
1533035793,79,134
1533036740,90,74
1533037697,60,0
1533038682,122,112
1533039623,14,0
1533040589,20,79
1533041557,31,112
1533042497,40,0
1533043461,81,60
1533044414,122,71
1533045394,97,50
1533046338,105,58
1533047327,70,60
1533048295,74,63
1533049487,130,59
1533050415,62,44
1533051388,103,119
1533052587,74,44
1533053564,82,63
1533054492,92,0
1533055490,78,42
1533056448,57,58
1533057374,70,57
1533058349,78,45
1533059303,72,60
1533060270,64,61
1533061217,88,65
1533062175,61,51
1533063151,77,58
1533064123,1484,1203
1533065056,69,0
1533066019,77,171
1533067526,68,51
1533068661,56,63
1533069611,62,57
1533070589,73,49
1533071678,59,78
1533072755,77,60
1533073712,72,69
1533074683,77,54
1533075622,67,58
1533076590,58,60
1533077548,70,42
1533078496,59,48
1533079473,58,60
1533080411,81,52
1533081369,94,56
1533082363,57,75
1533083305,83,59
1533084269,105,55
1533085234,73,67
1533086181,70,90
1533087164,75,57
1533088093,91,52
1533089068,77,62
1533090012,69,60
1533091006,58,71
1533091947,70,59
1533092917,63,60
1533093857,59,47
1533094815,58,55
1533095777,53,62
1533096735,77,0
1533097702,54,79
1533098682,74,112
1533099628,72,0
1533100593,55,71
1533101541,85,58
1533102500,73,60
1533103468,62,82
1533104414,87,65
1533105390,85,57
1533106364,66,64
1533107294,77,87
1533108254,79,65
1533109214,91,74
1533110215,81,70
1533111136,98,82
1533112116,84,0
1533113069,74,71
1533114042,83,91
1533114975,81,90
1533115937,83,87
1533116916,74,88
1533117884,74,66
1533118813,78,82
1533119772,81,62
1533120760,78,62
1533121721,68,80
1533122663,83,87
1533124872,113,212
1533125775,72,0
1533126750,74,77
1533127696,68,151
1533128686,76,90
1533129609,66,0
1533130572,62,84
1533131566,54,87
1533132497,70,72
1533133463,84,75
1533134412,83,82
1533135395,81,89
1533136333,70,72
1533137380,90,58
1533138523,90,66
1533139457,85,47
1533140434,99,52
1533141394,115,64
1533142340,81,70
1533143299,95,55
1533144278,81,43
1533145240,101,60
1533146172,88,61
1533147143,89,64
1533148091,84,69
1533149106,157,58
1533150014,102,59
1533150987,92,55
1533151966,109,0
1533152900,97,55
1533153862,85,51
1533154815,66,61
1533155792,91,41
1533156736,78,65
1533157703,88,67
1533158665,71,46
1533159631,108,54
1533160573,79,56
1533161543,75,55
1533162495,94,45
1533163488,84,0
1533164443,80,50
1533165386,102,33
1533166847,99,85
1533167769,109,0
1533168747,109,70
1533169700,102,48
1533170700,87,64
1533171613,100,59
1533172598,85,70
1533173541,91,63
1533174515,118,55
1533175467,100,76
1533176420,88,65
1533177388,103,46
1533178342,99,48
1533179297,102,76
1533180269,98,57
1533181213,122,52
1533182190,84,62
1533183142,86,82
1533184095,104,57
1533185087,69,59
1533186037,79,61
1533186984,88,72
1533187950,127,73
1533188894,93,73
1533189886,69,83
1533190810,74,101
1533191793,107,68
1533192764,83,71
1533193718,56,86
1533194662,87,70
1533195630,80,84
1533196581,93,6
1533197544,76,90
1533198502,87,95
1533199469,74,62
1533200466,67,74
1533201387,76,88
1533202342,39,83
1533203323,144,0
1533204262,74,90
1533205212,109,85
1533206192,105,89
1533207158,100,207
1533208367,92,92
1533209292,87,84
1533210275,90,103
1533211267,79,81
1533212194,78,59
1533213142,100,73
1533214391,95,59
1533215293,76,80
1533216260,72,81
1533217228,115,67
1533218194,57,86
1533219139,72,66
1533220095,78,70
1533221094,70,76
1533222027,73,72
1533222978,72,71
1533223952,71,49
1533224924,65,59
1533226161,74,55
1533227286,71,61
1533228289,70,74
1533229214,72,62
1533230174,65,46
1533231154,81,69
1533232365,67,70
1533233315,86,65
1533234287,71,56
1533235240,91,58
1533236178,97,57
1533237145,336,1097
1533238092,72,0
1533239093,103,52
1533240033,89,97
1533240981,106,39
1533241957,102,0
1533242899,68,90
1533243882,67,51
1533244818,78,40
1533245781,82,0
1533246736,74,134
1533247715,72,51
1533248670,80,0
1533249617,61,99
1533250588,73,0
1533251540,67,0
1533253731,89,168
1533254660,72,72
1533255619,81,0
1533256602,90,67
1533257581,83,83
1533258520,73,65
1533259465,77,62
1533260412,65,52
1533261393,104,78
1533262354,79,64
1533263293,65,58
1533264294,62,50
1533265247,74,62
1533266173,70,46
1533267149,58,60
1533268096,65,65
1533269073,84,64
1533270031,85,67
1533270993,61,70
1533271975,53,45
1533272900,83,56
1533273863,61,64
1533274811,54,76
1533275782,71,67
1533276756,83,83
1533277689,105,73
1533278673,84,65
1533279614,101,58
1533280626,97,72
1533281535,77,68
1533282500,105,67
1533283466,76,71
1533284421,90,75
1533285388,86,70
1533286330,103,69
1533287309,77,87
1533288269,89,0
1533289216,108,132
1533290189,83,61
1533291136,76,71
1533292100,87,0
1533293058,59,55
1533294021,52,56
1533294996,77,144
1533296188,88,73
1533297144,76,65
1533298110,80,61
1533299225,71,73
1533300249,70,56
1533301217,62,37
1533302180,63,64
1533303133,53,56
1533304112,49,70
1533305057,62,76
1533306023,46,58
1533306985,48,68
1533307938,72,62
1533308898,49,67
1533309869,65,60
1533310829,75,50
1533311778,45,57
1533312734,64,50
1533313700,72,48
1533314675,80,53
1533315643,51,62
1533316572,65,63
1533317555,72,52
1533318502,66,45
1533319470,60,56
1533320418,63,57
1533321396,68,73
1533322374,63,47
1533323570,55,33
1533324501,92,43
1533325464,81,61
1533326436,60,64
1533327396,92,40
1533328338,74,64
1533329295,82,55
1533330280,69,55
1533331245,75,53
1533332178,65,42
1533333144,83,42
1533334119,41,43
1533335076,66,50
1533336016,79,45
1533336985,80,59
1533337940,62,56
1533338925,74,39
1533339855,62,0
1533340833,62,42
1533341775,90,46
1533342754,86,41
1533343704,80,68
1533344689,80,59
1533345614,71,45
1533346586,75,65
1533347543,56,57
1533348507,69,40
1533349456,77,68
1533350419,53,56
1533351394,73,75
1533352340,80,74
1533353289,51,58
1533354283,62,41
1533355227,83,57
1533356183,70,64
1533357152,59,49
1533358099,76,63
1533359051,67,62
1533360016,74,41
1533360999,62,64
1533361977,72,50
1533362900,59,82
1533363866,76,65
1533364818,61,52
1533365792,85,45
1533366744,123,53
1533367701,58,63
1533368690,84,54
1533369644,69,53
1533370583,82,67
1533371556,70,70
1533372492,77,87
1533373470,69,65
1533374411,82,62
1533375397,65,71
1533376334,73,69
1533377332,75,0
1533378276,65,0
