DateTime,AddedIPs,RemovedIPs
1531080238,2,1
1531083849,1,0
1531087437,1,0
1531091039,0,5
1531094640,0,1
1531101835,0,3
1531105444,0,1
1531109037,2,1
1531112650,0,2
1531116256,1,1
1531119851,4,0
1531123448,2,1
1531127046,2,0
1531130654,2,2
1531134228,1,2
1531137841,1,1
1531141439,1,1
1531148628,0,2
1531152239,0,3
1531155837,2,0
1531159441,0,2
1531163036,0,3
1531166640,0,1
1531170232,3,2
1531173923,2,3
1531177439,1,4
1531181039,0,1
1531184644,0,6
1531191845,0,2
1531195443,1,1
1531199037,1,0
1531202635,1,2
1531206230,1,0
1531209843,1,0
1531213445,1,0
1531220633,1,0
1531227824,1,0
1531231433,5,0
1531238643,2,3
1531242234,0,1
1531245839,0,7
1531249434,1,2
1531253035,1,0
1531256639,4,1
1531260235,1,3
1531263841,0,2
1531267429,2,0
1531271037,2,0
1531274630,1,0
1531278236,1,1
1531281839,1,0
1531292652,1,1
1531296243,0,1
1531299851,1,0
1531303448,0,1
1531307028,1,0
1531310625,2,0
1531314227,1,0
1531317824,2,1
1531321428,1,1
1531325033,10,0
1531328638,1,1
1531332238,0,1
1531335841,1,0
1531339437,1,2
1531343050,1,2
1531346637,0,2
1531350241,1,0
1531353833,3,1
1531357428,5,0
1531361066,1,2
1531364637,0,3
1531371836,1,0
1531379040,0,1
1531382630,0,1
1531393434,0,1
1531397036,3,0
1531400634,1,1
1531404235,6,1
1531407840,2,3
1531411436,0,1
1531415033,0,11
1531422241,2,1
1531425838,0,3
1531429432,1,0
1531433030,2,0
1531436642,3,3
1531440245,2,1
1531443837,1,2
1531447442,1,0
1531451039,1,1
1531454634,0,1
1531461828,0,1
1531465434,0,7
1531469029,0,3
1531472626,0,1
1531476221,2,1
1531479827,0,2
1531483431,1,2
1531490633,0,1
1531494227,1,8
1531497836,2,5
1531501444,1,6
1531505044,0,11
1531508643,4,6
1531515845,1,0
1531530241,1,1
1531533839,1,0
1531537442,0,1
1531541024,1,0
1531551823,1,0
1531559020,0,1
1531566219,3,1
1531573425,1,0
1531580626,1,5
1531584232,1,0
1531587831,1,1
1531591436,1,0
1531595041,1,1
1531598633,0,1
1531602241,1,0
1531605836,0,1
1531609430,0,1
1531613031,0,1
1531616639,1,0
1531623830,2,1
1531634642,2,1
1531638234,1,1
1531641842,0,1
1531645439,1,0
1531649041,2,2
1531652642,1,3
1531659835,0,1
1531663425,1,1
1531670636,1,0
1531674228,0,1
1531677836,0,1
1531685032,11,1
1531688638,0,2
1531692239,1,2
1531695827,0,4
1531699432,1,0
1531706631,2,0
1531713827,1,2
1531717445,0,2
1531721017,0,2
1531724629,1,2
1531728223,1,0
1531731824,1,1
1531735425,0,1
1531739017,0,1
1531742622,2,1
1531746230,1,0
1531749823,2,1
1531760634,1,2
1531764241,3,1
1531771435,1,0
1531775034,6,4
1531778633,0,1
1531782242,0,1
1531785845,2,2
1531800238,0,1
1531803837,0,1
1531807437,0,1
1531811039,1,1
1531814644,0,1
1531825435,1,1
1531829025,0,1
1531836234,0,2
1531847031,2,0
1531850635,0,1
1531854236,0,1
1531857832,1,0
1531861436,0,1
1531865033,1,0
1531868640,1,1
1531872239,1,1
1531875832,1,1
1531879437,2,1
1531883034,0,1
1531886635,1,0
1531897448,0,1
1531901037,0,1
1531904632,1,0
1531908235,2,0
1531911824,1,1
1531915426,2,2
1531919028,0,1
1531922623,0,2
1531926222,1,2
1531929826,10,11
1531933430,1,1
1531937034,1,0
1531940637,1,1
1531944234,1,0
1531951432,2,1
1531955031,1,1
1531958632,0,2
1531962235,2,8
1531969437,1,0
1531973025,1,0
1531980246,1,0
1531987444,2,9
1531991045,2,0
1531994653,1,0
1531998220,8,0
1532001825,2,2
1532005424,1,1
1532012620,1,0
1532016224,2,0
1532019825,0,1
1532023417,1,0
1532027029,1,2
1532030631,2,1
1532034223,1,0
1532037824,3,0
1532041425,0,3
1532045028,3,3
1532048619,1,1
1532052215,1,1
1532055827,0,2
1532063060,0,2
1532070263,1,0
1532073870,1,0
1532081075,0,2
1532088264,0,1
1532091833,2,0
1532095452,0,1
1532099052,1,2
1532102666,1,1
1532113469,0,3
1532117050,1,0
1532120664,1,4
1532124259,2,0
1532127875,1,0
1532131471,1,0
1532138670,0,2
1532142236,1,0
1532149477,1,0
1532156678,1,1
1532160276,2,0
1532163865,9,1
1532167458,0,1
1532171049,0,2
1532174628,2,0
1532181854,2,0
1532185458,1,1
1532189058,1,1
1532192658,1,1
1532196260,0,1
1532199856,0,1
1532203463,1,0
1532207072,0,1
1532210664,2,1
1532214260,2,0
1532221460,0,1
1532228672,0,1
1532239498,1,3
1532243062,1,1
1532253887,3,2
1532261066,1,8
1532264681,1,0
1532268264,0,2
1532271866,1,1
1532279058,2,0
1532286265,1,0
1532289862,0,1
1532293473,2,0
1532297095,1,1
1532304268,1,0
1532307870,1,1
1532311478,1,3
1532322271,0,1
1532325873,1,0
1532333069,0,1
1532336668,0,1
1532340273,0,1
1532343877,1,0
1532347469,2,1
1532354671,6,1
1532358277,3,1
1532361888,1,0
1532369072,1,3
1532372657,1,2
1532376279,0,2
1532379894,1,2
1532383490,1,0
1532390666,1,3
1532394257,0,1
1532401448,1,0
1532412279,1,1
1532415863,8,0
1532426677,1,0
1532430269,0,2
1532433864,2,2
1532437454,1,0
1532441053,0,1
1532444650,1,0
