DateTime,AddedIPs,RemovedIPs
1505429115,0,0
1505431215,0,0
1506063014,1,0
1506392413,1,0
1506740114,1,0
1507330214,1,0
1507527614,1,0
1508090715,47,0
1508091014,124,0
1508091314,118,0
1508091614,130,0
1508092214,247,0
1508092514,122,0
1508092814,126,0
1508093115,118,0
1508093414,131,0
1508093714,29,0
1508094914,25,0
1508095214,69,0
1508095520,66,0
1508095815,62,0
1508096114,60,0
1508096415,71,0
1508097014,52,0
1508098214,0,1
1508101814,0,1
1508102722,0,2
1508106914,15,0
1508107215,116,0
1508107515,131,0
1508107814,118,0
1508108114,123,0
1508108415,111,0
1508108714,118,0
1508109014,118,0
1508109615,247,0
1508109922,125,0
1508110216,115,0
1508110514,91,0
1508111414,0,1
1508157614,0,1
1508180714,0,1
1508181920,0,1
1508224516,0,1
1508258415,0,1
1508271015,0,1
1508310615,0,1
1508342415,0,1
1508347216,0,1
1508352315,0,1
1508447115,0,1
1508512514,0,1
1508552415,1,0
1508617815,0,1
1508622015,0,1
1508628324,0,1
1508628616,0,1
1508666415,0,1
1508680214,0,1
1508706315,1,0
1508765714,0,1
1508775314,0,1
1508799014,1,0
1508848215,0,1
1508870115,0,1
1508873414,0,1
1508874015,0,1
1508934615,0,1
1508993114,0,1
1508994314,0,1
1509001215,0,1
1509002415,0,1
1509097815,0,1
1509125716,0,1
1509134115,0,1
1509180615,0,1
1509227414,1,0
1509241515,0,1
1509242415,0,1
1509370818,0,1
1509548115,0,1
1509601515,0,1
1509661216,0,1
1509858315,0,1
1510113016,1,0
1510438515,0,1
1510498214,3,0
1510500914,8,0
1510502716,9,0
1510503920,0,1
1510504514,4,0
1510507515,2,0
1510510215,5,0
1510515617,1,0
1510519515,2,0
1510529417,1,0
1510543815,2,0
1511052616,0,1
1511176516,0,1
1511199316,0,1
1511253016,1,0
1511380817,0,1
1511388016,0,1
1511418017,0,1
1511482215,0,1
1511571916,0,1
1511746517,0,1
1511748316,0,1
1512093916,1,0
1512130816,0,1
1512131117,0,1
1512956416,0,1
1512959125,0,2
1514304315,0,1
1514659217,1,0
1515300016,0,1
1517427617,0,1
1517430017,0,1
1517436616,0,1
1519258516,0,2
1519260017,0,1
1519670417,1,0
1519707619,1,0
1519778416,0,2
1520812516,0,1
1521676820,0,1
1521677417,0,1
1522483217,1,0
1522794317,0,2
1522795817,0,1
1522799716,0,2
1523566518,38,0
1523568017,2,0
1523570426,4,0
1523572218,0,2
1523574918,0,1
1523577318,18,0
1523622619,62,0
1523627118,4,0
1523714717,49,0
1523715017,26,0
1523759117,68,0
1523901017,168,0
1523909417,0,1
1523999719,55,0
1524080418,36,0
1524093917,0,0
1524097217,0,0
1524099317,16,0
1524124218,0,0
1524139519,0,1
1524670818,0,1
1525169118,1,0
1525248917,0,1
1525252518,1,0
1525926018,0,1
1526309720,0,0
1526415620,0,1
1526416220,0,1
1526418320,0,1
1526925618,0,702
1527313811,0,0
1527315311,0,0
1527345312,0,0
1527347414,0,0
1527350722,0,0
1527371113,0,0
1527392114,0,0
1527400211,0,0
1527992714,0,0
1528004711,0,0
1528308013,0,0
1528311911,0,2
1528313412,0,2
1528320310,0,0
1528324221,0,0
1528326621,0,0
1528331723,0,0
1528333221,0,0
1530864329,0,1
1532887225,145,0
1532887824,3,0
1532888424,51,0
1532888727,388,0
1532889026,158,0
1532889328,2,0
1532889626,17,0
1532889926,10,0
1532920222,427,0
1532973323,118,0
1533013522,0,1
1533144625,49,0
1533145225,741,0
1533145824,260,0
1533146122,337,0
1533159026,52,0
1533162328,0,1
1533162633,0,1
1533164422,0,1
1533166229,2,0
1533166822,1,0
1533169223,1,0
1533172530,1,0
1533174327,1,0
1533174924,1,0
1533227128,3,0
1533227430,5,0
1533227730,1,0
1533228625,2,0
1533228926,1,0
1533230422,6,0
1533231027,2,0
1533232228,1,0
1533232828,2,0
1533233129,1,0
1533233728,1,0
1533234628,1,0
1533235225,4,0
1533235531,1,0
1533236121,3,0
1533237331,4,0
1533237925,2,0
1533238225,2,0
1533238829,1,0
1533239425,1,0
1533240328,1,0
1533240924,2,0
1533241224,2,0
1533241532,3,0
1533242432,1,0
1533242725,2,0
1533243324,1,0
1533244227,1,0
1533244827,2,0
1533245124,4,0
1533245723,4,0
1533246327,1,0
1533246627,3,0
1533248425,2,0
1533248722,3,0
1533249326,1,0
1533249625,1,0
1533250528,4,0
1533250823,1,0
1533251123,2,0
1533251429,1,0
1533251723,2,0
1533252031,6,0
1533253229,6,0
1533253528,1,0
1533254125,3,0
1533255032,2,0
1533255326,2,0
1533255626,3,0
1533256231,3,0
1533256527,3,0
1533257128,3,0
1533257431,1,0
1533258031,3,0
1533258331,1,0
1533258629,2,0
1533258932,1,0
1533259231,2,0
1533260129,2,0
1533261030,2,0
1533261326,3,0
1533261632,1,0
1533261932,2,0
1533262831,1,0
1533263130,1,0
1533263431,1,0
1533263729,1,0
1533265229,3,0
1533265529,1,0
