DateTime,Entries,UniqueIPs
1503421214,2467,2520
1503421813,2701,2768
1503422114,2807,2883
1503422414,2809,2886
1503438914,2808,2885
1503662715,2809,2886
1503781214,2810,2887
1505309416,2809,2886
1506063014,2810,2887
1506392413,2811,2888
1506740114,2812,2889
1507330214,2813,2890
1507527614,2814,2891
1508090715,2861,2938
1508091014,2985,3062
1508091314,3102,3180
1508091614,3232,3310
1508092214,3478,3557
1508092514,3599,3679
1508092814,3725,3805
1508093115,3842,3923
1508093414,3972,4054
1508093714,4001,4083
1508094914,4026,4108
1508095214,4094,4177
1508095520,4159,4243
1508095815,4221,4305
1508096114,4280,4365
1508096415,4350,4436
1508097014,4402,4488
1508098214,4401,4487
1508101814,4400,4486
1508102722,4398,4484
1508106914,4413,4499
1508107215,4528,4615
1508107515,4659,4746
1508107814,4777,4864
1508108114,4900,4987
1508108415,5008,5098
1508108714,5126,5216
1508109014,5243,5334
1508109615,5490,5581
1508109922,5614,5706
1508110216,5728,5821
1508110514,5819,5912
1508111414,5818,5911
1508157614,5817,5910
1508180714,5816,5909
1508181920,5815,5908
1508224516,5814,5907
1508258415,5813,5906
1508271015,5812,5905
1508310615,5811,5904
1508342415,5810,5903
1508347216,5809,5902
1508352315,5808,5901
1508447115,5807,5900
1508512514,5806,5899
1508552415,5807,5900
1508617815,5806,5899
1508622015,5805,5898
1508628324,5804,5897
1508628616,5803,5896
1508666415,5802,5895
1508680214,5801,5894
1508706315,5802,5895
1508765714,5801,5894
1508775314,5800,5893
1508799014,5801,5894
1508848215,5800,5893
1508870115,5799,5892
1508873414,5798,5891
1508874015,5797,5890
1508934615,5796,5889
1508993114,5795,5888
1508994314,5794,5887
1509001215,5793,5886
1509002415,5792,5885
1509097815,5791,5884
1509125716,5791,5883
1509134115,5790,5882
1509180615,5789,5881
1509227414,5790,5882
1509241515,5789,5881
1509242415,5788,5880
1509370818,5787,5879
1509548115,5786,5878
1509601515,5785,5877
1509661216,5784,5876
1509858315,5783,5875
1510113016,5784,5876
1510438515,5783,5875
1510498214,5786,5878
1510500914,5794,5886
1510502716,5803,5895
1510503920,5802,5894
1510504514,5806,5898
1510507515,5808,5900
1510510215,5813,5905
1510515617,5814,5906
1510519515,5816,5908
1510529417,5817,5909
1510543815,5819,5911
1511052616,5818,5910
1511176516,5817,5909
1511199316,5816,5908
1511253016,5817,5909
1511380817,5816,5908
1511388016,5815,5907
1511418017,5814,5906
1511482215,5813,5905
1511571916,5812,5904
1511746517,5811,5903
1511748316,5810,5902
1512093916,5811,5903
1512130816,5810,5902
1512131117,5809,5901
1512956416,5808,5900
1512959125,5806,5898
1514304315,5805,5897
1514659217,5806,5898
1515300016,5805,5897
1517427617,5804,5896
1517430017,5803,5895
1517436616,5802,5894
1519258516,5800,5892
1519260017,5799,5891
1519670417,5800,5892
1519707619,5801,5893
1519778416,5799,5891
1520812516,5798,5890
1521676820,5797,5889
1521677417,5796,5888
1522483217,5797,5889
1522794317,5795,5887
1522795817,5794,5886
1522799716,5792,5884
1523566518,5830,5922
1523568017,5832,5924
1523570426,5836,5928
1523572218,5834,5926
1523574918,5833,5925
1523577318,5851,5943
1523622619,5913,6005
1523627118,5917,6009
1523714717,5966,6058
1523715017,5991,6084
1523759117,6058,6152
1523901017,6224,6320
1523909417,6223,6319
1523999719,6277,6374
1524080418,6312,6410
1524099317,6316,6426
1524139519,6315,6425
1524670818,6314,6424
1525169118,6315,6425
1525248917,6314,6424
1525252518,6315,6425
1525926018,6314,6424
1526415620,6313,6423
1526416220,6312,6422
1526418320,6311,6421
1526925618,5610,5719
1527313811,5610,5719
1527315311,5610,5719
1527345312,5610,5719
1527347414,5610,5719
1527350722,5610,5719
1527371113,5610,5719
1527392114,5610,5719
1527400211,5610,5719
1527992714,5610,5719
1528004711,5610,5719
1528311911,5608,5717
1528313412,5606,5715
1528320310,5606,5715
1528324221,5606,5715
1528326621,5606,5715
1528331723,5606,5715
1530864329,5605,5714
1532887225,5750,5859
1532887824,5753,5862
1532888424,5804,5913
1532888727,6189,6301
1532889026,6347,6459
1532889328,6349,6461
1532889626,6366,6478
1532889926,6376,6488
1532920222,6801,6915
1532973323,6919,7033
1533013522,6918,7032
1533144625,6967,7081
1533145225,7703,7822
1533145824,7961,8082
1533146122,8296,8419
1533159026,8348,8471
1533162328,8347,8470
1533162633,8346,8469
1533164422,8345,8468
1533166229,8347,8470
1533166822,8348,8471
1533169223,8349,8472
1533172530,8350,8473
1533174327,8351,8474
1533174924,8352,8475
1533227128,8355,8478
1533227430,8360,8483
1533227730,8361,8484
1533228625,8363,8486
1533228926,8364,8487
1533230422,8370,8493
1533231027,8372,8495
1533232228,8373,8496
1533232828,8375,8498
1533233129,8376,8499
1533233728,8377,8500
1533234628,8378,8501
1533235225,8382,8505
1533235531,8383,8506
1533236121,8386,8509
1533237331,8390,8513
1533237925,8392,8515
1533238225,8394,8517
1533238829,8395,8518
1533239425,8396,8519
1533240328,8397,8520
1533240924,8399,8522
1533241224,8401,8524
1533241532,8404,8527
1533242432,8405,8528
1533242725,8407,8530
1533243324,8408,8531
1533244227,8409,8532
1533244827,8411,8534
1533245124,8415,8538
1533245723,8419,8542
1533246327,8420,8543
1533246627,8423,8546
1533248425,8425,8548
1533248722,8428,8551
1533249326,8429,8552
1533249625,8430,8553
1533250528,8434,8557
1533250823,8435,8558
1533251123,8437,8560
1533251429,8438,8561
1533251723,8440,8563
1533252031,8446,8569
1533253229,8452,8575
1533253528,8453,8576
1533254125,8456,8579
1533255032,8458,8581
1533255326,8460,8583
1533255626,8463,8586
1533256231,8466,8589
1533256527,8469,8592
1533257128,8472,8595
1533257431,8473,8596
1533258031,8476,8599
1533258331,8477,8600
1533258629,8479,8602
1533258932,8480,8603
1533259231,8482,8605
1533260129,8484,8607
1533261030,8486,8609
1533261326,8489,8612
1533261632,8490,8613
1533261932,8492,8615
1533262831,8493,8616
1533263130,8494,8617
1533263431,8495,8618
1533263729,8496,8619
1533265229,8499,8622
1533265529,8500,8623
1533265829,8501,8624
1533266432,8502,8625
1533266724,8504,8627
1533267028,8506,8629
1533267628,8510,8633
1533267927,8511,8634
1533268225,8514,8637
1533269423,8519,8642
1533269724,8520,8643
1533270329,8521,8644
1533270925,8522,8645
1533271226,8524,8647
1533271825,8525,8648
1533272426,8530,8653
1533272722,8531,8654
1533273025,8534,8657
1533273623,8537,8660
1533274223,8542,8665
1533274525,8543,8666
1533274823,8546,8669
1533275121,8547,8670
1533275427,8548,8671
1533276321,8549,8672
1533277229,8552,8675
1533277529,8553,8676
1533277827,8554,8677
1533278131,8557,8680
1533278431,8558,8681
1533279029,8560,8683
1533279331,8561,8684
1533279633,8562,8685
1533280531,8565,8688
1533281130,8567,8690
1533281731,8572,8695
1533282030,8578,8701
1533282329,8581,8704
1533282930,8582,8705
1533283228,8584,8707
1533283830,8586,8709
1533284430,8590,8713
1533284725,8591,8714
1533285327,8593,8716
1533285628,8596,8719
1533286232,8597,8720
1533286827,8598,8721
1533287130,8599,8722
1533287723,8602,8725
1533288628,8604,8727
1533289224,8609,8732
1533289524,8611,8734
1533291027,8612,8735
1533291327,8614,8737
1533292526,8617,8741
1533292828,8619,8743
1533293425,8622,8746
1533294027,8623,8747
1533294332,8625,8749
1533294621,8627,8751
1533295222,8630,8754
1533295521,8631,8755
1533296121,8634,8758
1533296422,8636,8760
1533296722,8638,8762
1533297021,8640,8764
1533297622,8641,8765
1533297922,8642,8766
1533298522,8645,8769
1533299122,8647,8771
1533299721,8649,8773
1533300022,8650,8774
1533300622,8652,8776
1533302124,8654,8778
1533302426,8655,8779
1533302722,8656,8780
1533303021,8657,8781
1533304228,8659,8783
1533304824,8661,8785
1533305422,8663,8787
1533305724,8664,8788
1533306026,8666,8790
1533307527,8669,8793
1533307826,8670,8794
1533308424,8671,8795
1533309625,8674,8798
1533310224,8680,8804
1533310823,8682,8806
1533311126,8683,8807
1533311421,8684,8808
1533311723,8686,8810
1533312025,8687,8811
1533312329,8690,8814
1533312925,8692,8816
1533313525,8694,8818
1533314123,8695,8819
1533314429,8696,8820
1533315024,8700,8824
1533315623,8701,8825
1533315927,8702,8826
1533317425,8703,8827
1533317728,8705,8829
1533318923,8706,8830
1533319827,8707,8831
1533320125,8708,8832
1533320422,8709,8833
1533320728,8711,8835
1533321630,8713,8837
1533322231,8714,8838
1533323128,8716,8840
1533323430,8717,8841
1533324033,8717,8842
1533324326,8718,8843
1533324624,8719,8844
1533324930,8721,8846
1533325227,8722,8847
1533325827,8724,8849
1533326728,8727,8852
1533327028,8728,8853
1533327330,8731,8856
1533327631,8732,8857
1533327932,8734,8859
1533329127,8804,8930
1533329431,8874,9000
1533330029,8875,9001
1533330623,8878,9005
1533331229,8880,9007
1533331528,8882,9009
1533332130,8883,9010
1533332424,8884,9011
1533332728,8889,9016
1533333027,8891,9018
1533333628,8893,9020
