DateTime,AddedIPs,RemovedIPs
1533159026,36,0
1533159322,27,0
1533159627,33,0
1533160224,47,0
1533160525,37,0
1533160825,36,0
1533161423,22,0
1533162024,122,0
1533162327,29,1
1533162632,34,0
1533163223,40,1
1533163822,59,0
1533164123,29,0
1533164422,36,0
1533164722,44,0
1533166228,185,0
1533166822,66,0
1533167122,33,0
1533167421,28,0
1533167722,29,0
1533168325,55,0
1533168626,28,0
1533169223,69,0
1533169528,40,0
1533169823,31,0
1533170129,37,0
1533170423,31,0
1533171028,66,0
1533171326,20,0
1533171625,26,0
1533171921,27,0
1533172530,76,0
1533172824,33,0
1533173124,34,0
1533173421,31,0
1533173726,33,0
1533174024,33,0
1533174327,32,0
1533174923,56,0
1533175224,26,0
1533175524,27,0
1533175825,38,0
1533176124,30,0
1533176430,27,0
1533176723,42,0
1533177024,24,0
1533177325,22,0
1533177627,36,0
1533177928,27,0
1533178227,37,0
1533178521,30,0
1533178824,33,0
1533179425,66,0
1533179731,35,0
1533180021,35,0
1533180621,80,0
1533180923,29,0
1533181223,31,0
1533181521,24,0
1533181822,39,0
1533182121,37,0
1533182423,30,0
1533182723,38,0
1533183026,34,0
1533183622,88,0
1533183927,38,0
1533184225,51,0
1533184524,49,0
1533184824,51,0
1533185422,87,0
1533185724,47,0
1533186030,40,0
1533186324,32,0
1533186921,82,0
1533187221,51,0
1533187525,43,0
1533187823,43,0
1533188421,99,0
1533188726,46,0
1533189024,53,0
1533189321,45,0
1533189622,46,0
1533190221,67,0
1533190521,39,0
1533190822,47,0
1533191128,44,0
1533191723,86,0
1533192024,43,0
1533192623,96,0
1533192922,49,0
1533193226,49,0
1533193525,25,0
1533194126,71,0
1533194729,86,0
1533195028,40,0
1533195625,81,0
1533195928,36,0
1533196526,97,0
1533196827,69,0
1533197427,58,0
1533198030,61,0
1533198332,33,0
1533198931,57,0
1533199229,42,0
1533199828,67,0
1533200424,66,0
1533200720,29,0
1533201331,45,0
1533201632,32,0
1533201927,27,0
1533202228,27,0
1533202525,38,0
1533202827,29,0
1533203128,39,0
1533203731,65,0
1533204032,32,0
1533204631,57,0
1533204924,22,0
1533205226,41,0
1533205522,30,0
1533205823,32,0
1533206124,16,0
1533206427,39,0
1533206726,31,0
1533207025,30,0
1533207922,93,0
1533208221,27,0
1533208824,59,0
1533209123,26,0
1533209426,31,0
1533209729,36,0
1533210024,25,0
1533210626,83,0
1533211221,32,0
1533211823,36,0
1533212121,34,0
1533212424,34,0
1533213025,67,0
1533213623,51,0
1533213921,27,0
1533214227,38,0
1533214822,44,0
1533215128,31,0
1533215423,176,0
1533215723,28,0
1533216025,33,0
1533216323,30,0
1533216625,35,0
1533216922,15,0
1533217230,44,0
1533217823,52,0
1533218128,14,0
1533218431,23,0
1533218723,27,0
1533219026,34,0
1533219626,66,0
1533219927,31,0
1533220226,29,0
1533220525,15,0
1533220824,34,0
1533221425,63,0
1533221725,27,0
1533222027,28,0
1533222329,41,0
1533222628,31,0
1533222924,17,0
1533223224,32,0
1533223524,25,0
1533223831,26,1
1533224427,50,0
1533224728,22,0
1533225631,75,0
1533225928,17,0
1533226526,41,0
1533226829,24,0
1533227127,20,0
1533227429,29,0
1533227730,26,0
1533228028,26,0
1533228625,43,0
1533228926,18,0
1533229226,27,0
1533229531,10,0
1533230124,4,0
1533230422,11,0
1533230722,2,0
1533231027,2,0
1533231326,1,0
1533231628,3,0
1533232228,1,0
1533232827,1,0
1533233727,2,0
1533234025,1,0
1533234628,23,0
1533235225,4,0
1533235531,1,0
1533235830,3,0
1533236121,6,0
1533236426,3,0
1533237331,1,0
1533238224,1,0
1533238528,1,0
1533239425,1,0
1533240627,2,0
1533241532,2,0
1533241828,2,0
1533242724,1,0
1533243323,1,0
1533243625,1,0
1533244227,1,0
1533245123,2,0
1533245723,3,0
1533246327,4,0
1533246627,1,0
1533248424,5,0
1533249029,1,0
1533249625,2,0
1533249921,1,0
1533250228,2,0
1533250528,1,0
1533250823,1,0
1533251122,2,0
1533252031,2,0
1533253229,4,0
1533253527,2,0
1533254125,2,0
1533255031,2,0
1533255626,1,0
1533255932,1,0
1533256527,1,0
1533257127,2,0
1533258030,1,0
1533258932,1,0
1533259831,1,0
1533260431,3,0
1533261030,1,0
1533261326,1,0
1533261631,3,0
1533262831,1,0
1533263129,2,0
1533263430,1,0
1533263729,1,0
1533264628,2,0
1533265228,2,0
1533266130,2,0
1533266432,1,0
1533266724,1,0
1533267028,1,0
1533267627,1,0
1533268225,1,0
1533269423,1,0
1533270024,2,0
1533270628,1,0
1533270925,1,0
1533271824,1,0
1533273623,1,0
1533274223,1,0
1533274524,3,0
1533275121,1,0
1533276321,1,0
1533276625,20,0
1533277229,36,0
1533277528,24,0
1533277827,50,0
1533278131,7,0
1533278431,1,0
1533279632,2,0
1533280231,81,0
1533280531,77,0
1533280831,51,0
1533281130,48,0
1533281427,39,0
1533281731,43,0
1533282030,30,0
1533282329,35,0
1533282929,45,0
1533283228,29,0
1533283830,48,0
1533284429,34,0
1533284725,16,0
1533285026,15,0
1533285327,12,0
1533285628,11,0
1533285928,6,0
1533286231,4,0
1533286531,11,0
1533286827,4,0
1533287130,4,0
1533287723,21,0
1533288029,12,0
1533288628,23,0
1533289224,16,0
1533289524,4,0
1533289830,5,0
1533290130,5,0
1533290426,7,0
1533290728,9,0
1533291026,7,0
1533291327,11,0
1533291623,8,0
1533291927,8,0
1533292526,14,0
1533292828,3,0
1533293425,14,0
1533293726,6,0
1533294027,8,0
1533294331,4,0
1533294620,3,0
1533295222,12,0
1533295521,6,0
1533296120,14,0
1533296421,7,0
1533296721,3,0
1533297021,5,0
1533297621,10,0
1533297922,6,0
1533298222,5,0
1533298522,4,0
1533299122,9,0
1533299424,9,0
1533299721,9,0
1533300021,5,0
1533300321,6,0
1533300621,3,0
1533300921,5,0
1533301222,9,0
1533301523,4,0
1533301825,9,0
1533302123,9,0
1533302425,5,0
1533302721,7,0
1533303021,10,0
1533303321,6,0
1533303624,8,0
1533304227,5,0
1533305421,1,0
1533305723,1,0
1533306026,2,0
1533306323,1,0
1533306924,1,0
1533307826,2,0
1533308423,1,0
1533308727,2,0
1533309030,1,0
1533309625,1,0
1533310224,4,0
1533310822,1,0
1533311421,1,0
1533312024,1,0
1533312925,2,0
1533313224,1,0
1533313524,1,0
1533313823,1,0
1533314123,1,0
1533315023,3,0
1533315623,2,0
1533317425,2,0
1533318629,3,0
1533319227,1,0
1533320124,0,1
1533321326,1,1
1533321630,1,0
1533321929,1,0
1533322231,1,0
1533323128,4,0
1533323430,1,0
1533324326,3,0
1533324624,2,0
1533327028,1,0
1533327330,1,0
1533327631,2,0
1533328532,2,0
1533328829,1,0
1533329126,1,0
1533329430,2,0
1533330029,1,0
1533331229,1,0
1533331527,1,0
1533332130,1,0
1533332424,1,0
1533334827,1,0
1533335425,2,0
1533335730,46,0
1533336029,49,0
1533336327,27,0
1533336631,6,0
1533336928,8,0
1533337223,6,0
1533337526,6,0
1533337829,3,0
1533338123,2,0
1533338428,5,0
1533338725,3,0
1533339326,19,0
1533339623,11,0
1533339922,9,0
1533340223,1,0
1533340522,1,0
1533340824,1,0
1533341123,8,0
1533341426,9,0
1533341727,10,0
1533342329,13,0
1533342622,5,0
1533343228,11,0
1533343530,6,0
1533343832,5,0
1533344131,6,0
1533344432,6,0
1533345029,11,0
1533345328,7,0
1533345631,4,0
1533346231,10,0
1533346531,11,0
1533346828,9,0
1533347431,14,0
1533348031,14,0
1533348331,10,0
1533348931,16,0
1533349231,4,0
1533350130,17,0
1533350427,5,0
1533350722,6,0
1533351031,8,0
1533351330,10,0
1533351630,8,0
1533351929,11,0
1533352231,5,0
1533352531,7,0
1533352830,4,0
1533353131,10,0
1533353431,10,0
1533353731,8,0
1533354029,8,0
1533354624,16,0
1533354922,6,0
1533355230,9,0
1533355530,7,0
1533355830,6,0
1533356130,4,0
1533356423,3,0
1533356726,6,0
1533357023,9,0
1533357621,16,0
1533357923,8,0
1533358222,3,0
1533358522,6,0
1533358822,3,0
1533359425,14,0
1533360021,7,0
1533360321,3,0
1533360620,4,0
1533360923,4,0
1533361521,9,0
1533361823,5,0
1533362422,8,0
1533362726,5,0
1533363327,9,0
1533363621,3,0
1533364222,12,0
1533364522,7,0
1533364821,2,0
1533365426,10,0
1533365721,7,0
1533366026,8,0
1533366327,4,0
1533366628,5,0
1533367230,9,0
1533367526,6,0
1533367832,4,0
1533368131,3,0
1533368429,3,0
1533369030,6,0
