DateTime,AddedIPs,RemovedIPs
1533032189,11,0
1533032676,224,153
1533033411,46,18
1533033869,237,168
1533034362,19,5
1533034819,257,157
1533035301,217,13
1533035793,222,155
1533036253,6,7
1533036740,227,166
1533037239,16,11
1533037697,170,148
1533038203,8,7
1533038682,475,171
1533039164,0,12
1533039623,29,142
1533040093,0,5
1533040589,39,142
1533041061,0,14
1533041557,71,151
1533042031,0,9
1533042497,282,165
1533043007,10,10
1533043461,251,149
1533043960,14,8
1533044414,264,139
1533044924,22,12
1533045394,248,168
1533045890,173,13
1533046338,268,126
1533046813,24,6
1533047327,230,134
1533047792,15,1
1533048295,214,173
1533049005,25,9
1533049487,463,275
1533050045,6,6
1533050415,174,189
1533050894,14,5
1533051132,15,13
1533051388,252,0
1533052109,7,4
1533052587,182,282
1533053098,134,9
1533053564,214,144
1533054036,9,4
1533054492,196,148
1533055233,24,21
1533055490,185,141
1533056448,168,192
1533057374,279,143
1533058349,180,148
1533059303,209,137
1533060036,1,12
1533060270,225,184
1533061217,203,151
1533061935,3,0
1533062175,198,146
1533063151,198,134
1533064123,1620,228
1533065056,194,142
1533066019,210,120
1533067526,280,151
1533067941,2,2
1533068661,191,152
1533069611,177,0
1533069858,5,3
1533070589,168,284
1533070802,86,0
1533071678,169,138
1533072022,10,3
1533072755,201,127
1533073712,159,164
1533073928,3,0
1533074683,381,127
1533075622,188,122
1533075859,6,0
1533076093,35,39
1533076590,157,137
1533077548,181,136
1533078002,80,0
1533078496,172,133
1533079473,168,147
1533079948,74,44
1533080411,180,170
1533081369,203,150
1533081855,89,2597
1533082363,173,135
1533083305,218,173
1533083785,7,10
1533084269,199,144
1533085234,179,177
1533085704,119,0
1533086181,184,151
1533087164,165,149
1533087616,7,5
1533088093,178,132
1533089068,251,132
1533089550,14,2
1533090012,162,138
1533091006,159,138
1533091465,12,0
1533091947,171,143
1533092917,298,116
1533093380,7,3
1533093857,151,118
1533094815,155,157
1533095296,7,5
1533095777,186,144
1533096002,92,0
1533096735,192,127
1533097207,11,0
1533097702,169,149
1533098682,187,133
1533099149,2,0
1533099628,174,142
1533100593,322,157
1533101052,10,6
1533101541,191,143
1533102500,181,128
1533102990,7,3
1533103468,325,51
1533104414,200,51
1533105390,182,161
1533106364,184,170
1533106832,3,7
1533107294,386,153
1533108254,190,144
1533108750,6,8
1533109214,201,185
1533110215,176,208
1533110667,172,40
1533111136,209,267
1533112116,220,59
1533112569,12,6
1533113069,191,11
1533114042,199,48
1533114505,149,4
1533114975,192,39
1533115937,202,78
1533116414,1,6
1533116916,216,251
1533117884,404,189
1533118343,3,5
1533118813,196,198
1533119772,198,188
1533120495,3,5
1533120760,200,213
1533121721,374,241
1533122415,7,4
1533122663,221,233
1533124872,248,459
1533125775,369,57
1533126750,201,63
1533127696,177,69
1533128686,368,242
1533129609,190,163
1533130572,185,229
1533131566,180,203
1533132001,106,0
1533132497,174,236
1533133463,206,262
1533134412,183,227
1533135395,183,204
1533135602,132,0
1533136333,192,242
1533137380,207,196
1533138249,8,21
1533138523,217,241
1533139457,339,203
1533140434,215,208
1533141394,262,191
1533142340,224,170
1533142802,106,0
1533143299,204,163
1533144278,189,145
1533145240,282,158
1533146172,235,183
1533146402,152,0
1533147143,215,136
1533148091,212,179
1533149106,315,170
1533150014,234,167
1533150987,293,1498
1533151966,257,146
1533152900,212,167
1533153862,331,5
1533154815,220,130
1533155792,233,145
1533156736,226,154
1533157202,87,0
1533157703,215,131
1533158665,186,145
1533159631,242,186
1533160573,180,152
1533160802,101,0
1533161543,179,157
1533162495,198,161
1533163488,204,154
1533164443,204,147
1533164894,152,119
1533165386,227,161
1533166847,213,320
1533167295,9,6
1533167769,234,0
1533168002,86,3099
1533168747,255,290
1533169226,8,10
1533169700,245,174
1533170700,205,407
1533171155,7,7
1533171613,237,0
1533172598,338,358
1533173063,6,7
1533173541,199,0
1533174515,240,338
1533174983,3,6
1533175467,313,0
1533176420,212,329
1533176888,5,10
1533177388,221,0
1533178342,190,150
1533178832,5,5
1533179297,303,176
1533180269,210,290
1533180745,6,6
1533181213,231,0
1533182190,199,317
1533182665,109,6
1533183142,212,182
1533184095,219,0
1533184569,3,8
1533185087,168,322
1533186037,191,170
1533186513,82,2
1533186984,201,0
1533187950,250,347
1533188427,3,9
1533188894,168,0
1533189886,295,333
1533190338,8,7
1533190810,162,0
1533191793,201,345
1533192266,6,0
1533192764,177,0
1533193202,143,0
