DateTime,AddedIPs,RemovedIPs
1533051842,99,70
1533052324,26,0
1533053043,47,72
1533053524,2,0
1533054123,14,4
1533054723,66,7
1533055203,73,0
1533055323,53,5
1533055924,58,0
1533056561,45,3
1533057842,59,76
1533059043,149,0
1533059523,59,13
1533060161,50,2
1533060725,1,0
1533061323,60,3
1533061923,1,0
1533062523,60,5
1533062882,74,21
1533063123,60,0
1533063621,0,99
1533063821,63,13
1533064323,29,0
1533064802,82,0
1533064924,59,8
1533065523,56,0
1533067421,43,34
1533068524,58,7
1533069363,55,140
1533069724,50,9
1533070962,57,24
1533072124,50,7
1533073203,55,0
1533073323,21,9
1533073923,64,1
1533074561,58,9
1533075124,1,9
1533075724,60,0
1533077042,85,106
1533078124,45,6
1533078723,52,1
1533079324,65,10
1533079923,2,0
1533080524,53,1
1533080883,120,165
1533081826,15,20
1533082924,51,0
1533084124,74,29
1533084722,57,0
1533085323,61,5
1533086524,63,35
1533087124,4,0
1533087723,28,5
1533088322,2,0
1533088563,89,11
1533089022,32,14
1533090123,32,4
1533090483,0,135
1533090723,59,11
1533091323,56,8
1533091923,47,0
1533092412,73,0
1533092562,38,10
1533093123,58,1
1533093724,60,11
1533094323,72,15
1533094924,51,0
1533095523,48,2
1533096242,121,170
1533097323,53,0
1533098524,51,30
1533099123,3,0
1533099724,59,0
1533100923,59,13
1533102004,105,148
1533102124,73,8
1533102724,34,5
1533103362,47,11
1533103924,52,10
1533104524,56,0
1533105124,51,0
1533105843,119,18
1533106923,60,0
1533106962,0,1
1533107763,52,93
1533108123,37,5
1533108724,49,2
1533109323,56,1
1533109682,75,0
1533109923,40,5
1533110622,59,4
1533111723,31,15
1533112324,39,0
1533112924,77,4
1533113524,115,115
1533114222,57,5
1533115011,1,0
1533115324,60,31
1533116523,29,0
1533117362,136,15
1533117831,60,10
1533118324,59,0
1533118924,55,0
1533119283,0,53
1533119523,2,2
1533120124,42,16
1533121218,53,0
1533121372,52,8
1533121924,48,2
1533122524,68,6
1533123125,73,49
1533124323,44,7
1533125282,117,25
1533126123,50,7
1533126722,1,0
1533127204,14,38
1533127323,42,0
1533128571,52,21
1533129124,57,3
1533129723,42,7
1533131043,119,22
1533131523,41,0
1533132123,24,1
1533132172,0,2
1533132963,12,63
1533133325,59,4
1533134524,22,5
1533134882,66,19
1533135124,65,8
1533135772,37,0
1533136803,85,100
1533136923,12,9
1533137523,50,1
1533138123,62,0
1533138724,36,9
1533139372,46,6
1533139924,37,0
1533140523,46,0
1533141124,123,24
1533141723,52,10
1533142323,1,0
1533143044,52,108
1533144124,61,11
1533144723,52,0
1533145202,75,0
1533145323,53,5
1533146571,55,12
1533147124,52,73
1533147724,50,4
1533148323,1,1
1533148923,51,8
1533149523,50,0
1533150123,60,0
1533150231,1,1
1533150962,73,0
1533151323,43,11
1533151924,47,3
1533152523,46,4
1533152884,67,154
1533153123,45,6
1533153773,50,6
1533154923,51,0
1533156123,45,7
1533156723,98,0
1533157324,42,17
1533157371,0,2
1533157924,55,0
1533158642,15,84
1533159123,10,17
1533159723,18,2
1533160323,58,7
1533160563,110,126
1533160975,26,1
1533161522,1,9
1533162123,18,3
1533162751,21986,4226
1533163323,46,0
1533164412,57,0
1533164572,26,0
1533165123,27,0
1533166802,94,13
1533167283,29,162
1533167523,1,0
1533168172,19,0
1533168724,100,0
1533169323,24,0
1533170523,59,0
1533171772,48,2
1533172323,49,0
1533173043,53,74
1533173524,55,0
1533174123,48,0
1533174482,313,0
1533174723,45,0
1533175372,50,0
1533176402,36,296
1533176525,51,0
1533177122,1,0
1533177723,57,0
1533178322,67,6
1533178811,0,112
1533178922,37,0
1533178976,0,1
1533179524,58,0
1533180123,62,0
1533181322,47,0
1533182163,73,0
1533182571,46,0
1533183723,34,0
1533184323,39,0
1533184924,77,0
1533185523,23,0
1533186024,70,5
1533186483,47,162
1533186723,12,0
1533187324,11,0
1533187923,1,0
1533188523,35,0
1533189844,98,0
1533190323,1,0
1533190923,6,0
1533191523,50,0
1533192124,44,0
1533193324,48,0
1533193683,64,15
1533194162,34,110
1533194524,58,0
1533195124,51,0
1533195602,61,0
1533195723,39,0
1533196325,43,0
1533196972,84,0
1533197523,13,0
1533198124,42,0
1533198724,63,0
1533199442,119,13
1533199923,77,47
1533200572,54,3
1533201124,40,0
1533201843,54,46
1533202923,50,0
1533203282,70,0
1533203523,21,0
1533204173,72,2
1533204724,11,0
1533205323,59,0
1533206523,54,1
1533207123,114,12
1533207773,40,1
1533208804,53,42
1533208923,46,0
1533210123,55,1
1533210723,64,47
1533211225,57,0
1533211372,49,0
1533212653,40,52
1533213122,49,0
1533213723,48,0
1533214923,49,1
1533216124,45,0
1533216723,52,51
1533216963,0,64
1533217323,64,0
1533217923,50,0
1533218572,27,0
1533219122,1,0
1533219723,47,0
1533220803,65,0
1533220922,42,0
1533222123,48,0
1533222172,0,2
1533222724,31,0
1533223324,15,0
1533224404,0,60
1533224882,118,0
1533225124,50,0
1533225772,46,2
1533226323,61,1
1533226923,45,0
1533228124,34,0
1533228722,76,19
1533229372,43,0
1533230642,33,100
1533231723,28,0
1533232816,78,0
1533232972,38,3
1533233523,21,0
1533234124,21,0
1533234725,50,59
1533235323,57,0
1533236572,32,2
1533237723,64,0
1533238562,123,15
1533238923,39,0
1533239524,42,0
1533240124,60,0
1533240483,1,113
1533241323,52,0
1533242403,77,0
1533242523,55,0
1533243124,77,0
1533243772,65,0
1533244923,32,0
1533245523,23,0
1533246243,114,61
1533247323,21,0
1533247923,47,0
1533248523,45,0
1533249723,48,0
1533250082,46,22
1533250972,49,1
1533252003,0,163
1533252123,52,1
1533253324,46,0
1533254162,131,0
1533254572,78,1
1533255723,43,0
1533256323,50,0
1533256923,48,0
1533258124,52,0
1533258172,2,0
1533258724,44,0
1533259323,46,0
1533259923,139,139
1533260524,54,0
1533261123,4,0
1533261772,77,1
1533262324,37,2
1533262923,37,0
1533263523,5,0
1533263763,62,63
1533264123,41,0
1533264722,1,0
1533265373,40,0
1533266523,25,0
1533267123,3,0
1533267604,86,78
1533267723,45,0
1533268323,25,0
1533268972,46,4
1533270123,35,0
1533270722,5,0
1533271444,121,190
1533271922,1,0
1533272523,50,0
1533273724,22,0
1533274924,52,0
1533275283,91,0
1533275524,26,0
1533276173,51,2
1533276724,27,0
1533277204,0,61
1533277323,41,0
1533278524,46,0
1533279724,42,0
1533280324,40,0
1533281042,108,0
1533282123,37,0
1533282962,93,9
1533283373,44,5
1533284523,38,0
1533284883,0,86
1533285123,30,0
1533285724,52,0
1533286815,71,0
1533287038,55,3
1533287766,57,53
1533288124,67,0
1533288723,69,0
1533289323,35,0
1533290573,49,2
1533291723,39,0
1533292563,115,20
1533292923,56,0
1533293522,20,64
1533294124,42,0
1533294234,0,2
1533295684,111,56
1533295923,42,0
1533296643,27,46
1533297123,54,0
1533297723,44,0
1533297775,0,1
1533298323,40,0
1533298923,33,0
1533300124,33,0
1533300482,57,0
1533300725,41,0
1533301374,38,1
1533302524,43,0
1533303723,64,0
1533304322,59,13
1533304923,47,0
1533304973,0,1
1533306245,47,96
1533307323,16,0
1533308162,71,0
1533308523,49,0
1533309724,47,0
1533310323,62,16
1533310924,55,0
1533312243,48,105
1533312724,50,0
1533313324,47,0
1533314163,135,0
1533314523,32,0
1533315124,37,0
1533315775,47,0
1533316924,44,0
1533318004,59,61
1533318123,43,0
1533319323,12,0
1533319923,0,76
1533320524,55,0
1533321842,114,1
1533322323,46,0
1533322978,36,1
1533324004,34,66
1533324123,28,0
1533325324,31,0
1533325923,73,0
1533326523,26,0
1533327724,36,0
1533328924,30,0
1533329763,101,44
1533330175,32,2
1533330723,51,0
1533331684,65,66
1533331923,30,0
1533332523,30,0
1533333123,40,0
1533333773,49,2
1533334323,38,0
1533334923,26,0
1533335523,91,18
1533336123,39,0
1533336483,0,147
1533337379,45,0
1533338524,36,0
1533339124,44,0
1533339723,33,0
1533341283,120,1
1533341524,30,0
1533342243,38,81
1533342722,1,0
1533343202,51,0
1533343323,34,0
1533343923,34,0
1533344574,41,0
1533345723,16,0
1533346083,0,59
1533346323,27,0
1533347042,90,0
1533348123,53,0
1533348173,0,1
1533348723,37,1
1533349323,61,0
1533349923,51,51
1533350523,49,0
1533350882,0,69
1533351774,49,2
1533352923,41,0
1533353523,33,1
1533354123,41,0
1533354723,72,0
1533355682,35,81
1533355923,7,0
1533356523,34,0
1533357722,47,0
1533358562,78,0
1533358923,55,0
1533359522,4,2
1533360122,48,0
1533361323,64,1
1533362418,83,8
1533362525,45,0
1533362575,0,3
1533363363,55,129
1533363723,60,0
1533364322,53,0
1533364923,16,0
1533366174,46,0
1533366723,45,0
1533367323,42,0
1533368523,51,0
1533369123,38,55
1533370082,88,0
1533370923,50,0
1533371522,41,0
1533372002,59,18
1533372123,54,0
1533373374,42,0
1533374523,87,1
1533374882,0,82
1533375123,1,0
1533375843,166,0
1533376323,81,0
1533376974,81,4
1533377524,75,0
1533378122,47,0
