DateTime,AddedIPs,RemovedIPs
1532964724,70,4
1532965324,68,16
1532965923,17,1
1532966523,54,13
1532967124,65,0
1532967725,56,11
1532968924,43,9
1532969523,46,31
1532970123,43,0
1532971323,51,23
1532972524,47,0
1532973724,52,16
1532974323,51,0
1532974923,46,3
1532976123,48,9
1532976723,49,28
1532977324,42,4
1532977924,45,2
1532978523,59,3
1532979723,75,1
1532980923,74,0
1532981523,59,0
1532982722,65,16
1532983323,67,0
1532984522,54,0
1532985723,60,10
1532986323,72,1
1532986923,67,0
1532987523,48,0
1532988123,25,0
1532988723,74,2
1532989323,73,0
1532990524,76,2
1532991124,66,3
1532991723,78,3
1532992324,76,7
1532992924,67,2
1532993524,54,0
1532994124,54,5
1532995323,60,0
1532995923,56,5
1532996523,46,0
1532997124,66,4
1532997723,51,1
1532998324,63,0
1532998924,57,0
1532999523,65,10
1533000123,63,7
1533000724,62,0
1533001324,64,4
1533001923,45,0
1533002523,34,2
1533003123,58,1
1533003723,60,0
1533004324,61,4
1533004924,64,3
1533005523,66,15
1533006123,64,0
1533007324,66,43
1533007923,65,6
1533008524,58,8
1533009723,68,0
1533010323,70,1
1533010923,61,8
1533011523,55,0
1533012123,50,5
1533012723,8,8
1533013323,57,6
1533013924,45,1
1533014524,60,0
1533015123,69,7
1533015723,43,2
1533016923,36,0
1533018123,50,2
1533019323,52,8
1533019924,60,20
1533020523,59,15
1533021724,54,5
1533022923,53,0
1533024124,61,9
1533025324,59,24
1533025924,67,0
1533026523,58,0
1533027124,61,0
1533027723,63,0
1533028923,56,12
1533030123,65,16
1533031323,53,50
1533031924,54,0
1533032523,72,8
1533033124,51,11
1533033724,62,0
1533034923,49,41
1533036124,77,22
1533036723,56,0
1533037323,66,1
1533037923,54,7
1533038523,63,7
1533039723,8,13
1533040924,54,66
1533042123,64,0
1533042723,58,14
1533043323,58,8
1533043923,44,27
1533044523,51,0
1533045123,43,7
1533045723,11,15
1533046923,11,49
1533047524,41,19
1533048123,72,18
1533048724,9,0
1533049324,50,11
1533049923,55,9
1533050524,28,0
1533051723,31,22
1533052324,27,33
1533052923,47,13
1533054123,15,25
1533054723,65,0
1533055323,55,0
1533055924,60,24
1533056523,45,10
1533057723,59,13
1533058923,57,18
1533059523,58,15
1533060124,46,0
1533061323,60,20
1533062523,60,15
1533063123,61,0
1533063724,62,30
1533064323,28,12
1533064924,60,12
1533065523,56,0
1533067323,42,79
1533068524,59,0
1533069724,49,26
1533070923,59,12
1533072124,50,31
1533073323,20,32
1533073923,65,14
1533074523,58,0
1533075724,59,32
1533076924,12,25
1533078124,45,0
1533078723,52,10
1533079324,59,21
1533080524,49,14
1533081724,9,36
1533082924,47,17
1533084124,74,34
1533085323,52,51
1533086524,61,51
1533087723,30,13
1533088923,33,27
1533090123,29,29
1533090723,59,26
1533091323,54,20
1533091923,50,0
1533092523,37,19
1533093123,56,0
1533093724,60,0
1533094924,51,41
1533095523,46,18
1533096124,44,23
1533097323,53,61
1533098524,53,14
1533099724,56,10
1533100923,50,91
1533102124,68,31
1533102724,37,0
1533103323,51,0
1533103924,53,19
1533104524,54,37
1533105124,53,13
1533105724,48,47
1533106923,59,0
1533107524,50,40
1533108123,35,29
1533108724,50,0
1533109323,54,0
1533109923,42,45
1533110524,64,12
1533111723,33,28
1533112324,40,0
1533112924,78,17
1533113523,45,26
1533114123,58,69
1533115324,61,31
1533116523,27,0
1533117123,71,60
1533117723,60,20
1533118324,60,0
1533118924,56,0
1533120124,44,49
1533121323,50,26
1533121924,49,0
1533122524,67,24
1533123123,21,0
1533124323,47,10
1533124923,53,25
1533126123,50,0
1533127323,43,40
1533128523,53,0
1533129124,51,41
1533129723,47,0
1533130923,55,51
1533131523,41,0
1533132123,29,17
1533133325,58,12
1533134524,23,0
1533135124,68,98
1533135723,40,0
1533136923,12,57
1533137523,57,0
1533138123,64,0
1533138724,38,57
1533139323,45,0
1533139924,37,25
1533140523,45,24
1533141124,55,13
1533141723,54,32
1533142923,52,0
1533144124,60,17
1533144723,55,23
1533145323,54,44
1533146523,55,15
1533147124,54,21
1533147724,51,5
1533148923,57,76
1533149523,54,0
1533150123,60,0
1533151323,45,55
1533151924,49,0
1533152523,49,19
1533153123,49,20
1533153723,56,0
1533154923,55,51
1533156123,45,36
1533156723,29,23
1533157324,43,13
1533157924,56,19
1533158523,15,32
1533159123,10,0
1533159723,31,0
1533160323,56,28
1533160923,28,19
1533162123,32,1
1533162723,52,32
1533163323,50,16
1533164524,27,66
1533165123,32,0
1533166323,18,26
1533166923,30,11
1533168123,37,0
1533168724,55,33
1533169323,34,0
1533170523,59,44
1533171723,52,44
1533172323,54,0
1533172923,58,19
1533173524,56,35
1533174123,53,0
1533174723,49,57
1533175323,50,38
1533176525,52,24
1533177723,59,31
1533178922,43,18
1533179524,56,25
1533180123,56,42
1533181322,42,30
1533182523,44,46
1533183723,39,29
1533184323,44,55
1533184924,79,52
1533185523,28,23
1533186123,51,21
1533186723,14,21
1533187324,11,0
1533188523,36,69
1533189724,10,77
1533190923,7,60
1533191523,54,25
1533192124,47,0
1533193324,51,42
1533193924,42,98
1533194524,62,24
1533195124,57,37
1533195723,47,50
1533196325,44,0
1533196924,53,0
1533198124,39,54
1533198724,47,52
1533199324,65,11
1533199923,66,0
1533200524,54,0
1533201124,46,22
1533201724,53,58
1533202923,46,52
1533203523,32,0
1533204124,73,57
1533204724,12,0
1533205323,57,0
1533206523,57,46
1533207123,49,25
1533207723,50,15
1533208323,47,27
1533208923,48,0
1533210123,57,19
1533210723,56,31
1533211323,53,30
1533212523,40,27
1533213723,50,51
1533214923,52,31
1533216124,47,70
1533217323,66,52
1533217923,55,27
1533218523,28,53
1533219723,47,37
1533220922,43,31
1533222123,62,57
1533222724,39,8
1533223324,23,71
1533224523,51,128
1533225124,54,0
1533225725,50,56
1533226323,63,39
1533226923,50,27
1533228124,38,67
1533229324,48,33
1533230524,35,44
1533231723,38,82
1533232924,49,95
1533233523,21,0
1533234124,24,20
1533235323,57,24
1533236523,33,71
1533237723,66,21
1533238324,49,0
1533238923,47,34
1533239524,48,15
1533240124,63,36
1533241323,55,93
1533242523,56,42
1533243124,79,0
1533243724,67,28
1533244923,64,49
1533245523,37,31
1533246123,54,0
1533247323,28,86
1533247923,53,0
1533248523,46,29
1533249723,53,0
1533250923,52,34
1533252123,59,13
1533253324,51,69
1533253924,52,37
1533254523,62,28
1533255723,34,32
1533256323,56,36
1533256923,47,62
1533258124,52,38
1533258724,46,37
1533259323,49,61
1533259923,51,30
1533260524,47,0
1533261723,75,55
1533262324,44,0
1533262923,43,0
1533264123,47,72
1533265323,45,62
1533266523,23,0
1533267723,45,78
1533268323,25,11
1533268923,53,0
1533270123,33,80
1533271323,44,131
1533272523,56,0
1533273724,25,91
1533274924,56,35
1533275524,29,66
1533276124,58,27
1533276724,37,0
1533277323,47,0
1533278524,51,79
1533279724,45,100
1533280324,48,0
1533280924,53,57
1533282123,50,0
1533282723,42,85
1533283324,49,0
1533284523,43,18
1533285123,45,42
1533285724,58,0
1533286924,60,106
1533287524,58,70
1533288124,70,0
1533289323,46,94
1533290523,53,87
1533291723,43,45
1533292323,56,0
1533292923,58,61
1533294124,47,12
1533295324,48,76
1533295923,47,34
1533296523,39,0
1533297123,56,40
1533297723,49,10
1533298323,49,41
1533298923,38,61
1533300124,37,0
1533300725,49,55
1533301324,43,0
1533302524,47,70
1533303723,65,56
1533304923,51,0
1533306123,51,105
1533307323,18,0
1533308523,51,36
1533309724,49,50
1533310924,58,73
1533312126,56,130
1533312724,53,0
1533313324,48,0
1533313924,53,33
1533314523,48,0
1533315124,43,39
1533315724,52,30
1533316924,49,80
1533318123,49,28
1533319323,13,31
1533320524,60,16
1533321723,51,124
1533322323,52,43
1533322924,44,39
1533323524,43,0
1533324123,44,0
1533325324,34,70
1533326523,27,37
1533327724,49,47
1533328924,36,67
1533329524,49,65
1533330124,32,33
1533330723,51,0
1533331323,29,73
1533331923,42,0
1533332523,55,0
1533333123,53,65
1533333723,55,39
1533334323,42,11
1533334923,35,50
1533335523,43,0
1533336123,48,0
1533337324,49,127
1533338524,45,38
1533339124,49,37
1533339723,42,57
1533340925,50,155
1533341524,46,33
1533342123,44,32
1533343323,37,51
1533343923,40,46
1533344523,46,0
1533345723,20,94
1533346323,34,50
1533346924,36,46
1533348123,58,32
1533348723,33,55
1533349323,56,0
1533350523,26,41
1533351723,49,135
1533352923,47,72
1533353523,35,59
1533354123,49,44
1533355324,32,49
1533355923,17,0
1533356523,48,93
