DateTime,AddedIPs,RemovedIPs
1532917322,1,17
1532917923,1,0
1532918523,2,6
1532919723,1,15
1532920923,2,11
1532922123,2,8
1532923322,4,5
1532923923,5,11
1532924523,1,14
1532925723,3,0
1532926323,0,9
1532928123,5,10
1532928724,5,4
1532929323,1,4
1532930523,3,13
1532931724,7,7
1532932323,3,0
1532932924,4,8
1532933523,8,0
1532934123,10,5
1532935322,4,1
1532935923,0,5
1532936523,6,5
1532937123,1,0
1532937724,1,3
1532938923,0,10
1532941322,0,2
1532942522,4,0
1532943723,3,10
1532944922,2,0
1532945523,2,3
1532946123,2,3
1532946722,1,0
1532947323,1,0
1532947923,1,1
1532948523,1,5
1532949723,4,0
1532950922,4,13
1532952123,2,7
1532952723,1,0
1532953323,1,1
1532954522,1,4
1532955722,1,8
1532956923,3,6
1532957522,1,0
1532958723,0,3
1532959322,2,3
1532960523,2,0
1532961723,1,6
1532962323,1,4
1532962922,1,8
1532964122,0,7
1532965323,3,0
1532966522,3,9
1532967123,2,0
1532967723,1,5
1532968923,1,4
1532970122,3,0
1532971322,1,0
1532972523,4,8
1532973723,4,5
1532974323,1,0
1532974923,3,3
1532976122,1,8
1532976723,1,0
1532977323,5,0
1532978522,1,5
1532979722,1,0
1532980323,3,4
1532980922,0,5
1532981522,2,0
1532982722,1,5
1532983322,0,3
1532984522,0,8
1532986323,2,2
1532986923,2,4
1532987522,0,3
1532988123,1,0
1532988723,0,10
1532990523,2,5
1532991123,0,9
1532992923,1,6
1532993523,1,0
1532994123,1,0
1532994723,0,1
1532995323,0,2
1532996523,1,1
1532997124,1,1
1532998323,1,3
1532998923,1,0
1532999523,5,0
1533000123,5,5
1533000723,2,0
1533001323,1,1
1533002523,4,5
1533003123,5,1
1533003723,0,5
1533004923,1,1
1533005522,4,12
1533006123,3,0
1533007323,3,2
1533008523,13,4
1533009723,0,7
1533010323,1,0
1533010923,1,2
1533012122,3,0
1533013322,2,5
1533014523,2,2
1533015122,4,2
1533015723,1,2
1533016922,4,3
1533018122,3,4
1533019322,2,0
1533019923,1,7
1533020522,1,3
1533021724,0,2
1533022922,2,2
1533025323,8,8
1533025923,3,0
1533026523,4,0
1533027723,6,4
1533028922,3,3
1533029523,0,2
1533030122,2,3
1533031322,3,6
1533031924,2,0
1533033123,0,2
1533033723,1,3
1533034323,1,0
1533036124,1,10
1533037323,1,2
1533037923,2,0
1533038522,3,0
1533039723,1,5
1533040923,1,4
1533042123,1,4
1533042723,1,5
1533043322,1,7
1533044523,0,4
1533045123,2,0
1533045722,0,7
1533046323,1,0
1533046923,2,0
1533047523,1,3
1533048723,0,13
1533049324,0,7
1533050523,1,0
1533051723,0,8
1533052323,1,0
1533052922,0,6
1533053524,2,0
1533054122,2,4
1533054722,2,10
1533055322,0,9
1533056522,1,4
1533057722,1,7
1533058922,2,0
1533059522,2,2
1533060123,6,4
1533060725,1,0
1533061323,1,3
1533061923,1,0
1533062522,0,4
1533063723,2,14
1533064322,1,0
1533064923,1,10
1533067323,1,31
1533068523,0,8
1533069723,2,9
1533070923,1,22
1533072124,0,8
1533073322,1,11
1533074523,0,14
1533075123,1,9
1533075723,1,0
1533076923,7,21
1533078123,2,7
1533079323,7,13
1533079923,2,0
1533080523,5,0
1533081723,6,21
1533082923,7,0
1533084123,3,30
1533085322,9,6
1533086524,4,24
1533087124,5,0
1533087722,5,7
1533088322,2,0
1533088922,1,12
1533090123,4,4
1533090723,1,17
1533091322,5,7
1533092523,3,9
1533093123,3,0
1533093723,1,12
1533094323,0,8
1533094923,1,0
1533095522,2,1
1533096123,0,17
1533097323,4,0
1533098524,0,28
1533099123,3,0
1533099723,5,0
1533100922,10,14
1533102123,7,11
1533102723,1,6
1533103322,2,14
1533103923,0,12
1533104523,2,0
1533105723,1,20
1533106923,1,0
1533107524,5,9
1533108123,3,5
1533109323,2,3
1533109922,0,1
1533110523,1,5
1533111722,0,10
1533112923,1,5
1533113522,0,8
1533114123,0,6
1533115323,0,36
1533116523,2,0
1533117123,1,18
1533117723,1,12
1533118924,1,0
1533119523,2,3
1533120123,0,15
1533121323,2,6
1533121924,1,1
1533122523,1,4
1533124323,2,7
1533124923,2,12
1533126122,2,5
1533126722,1,0
1533128523,0,4
1533129123,7,3
1533129722,1,6
1533130923,0,7
1533133324,2,2
1533134523,1,5
1533135123,0,3
1533136923,0,6
1533137522,0,2
1533138724,0,10
1533139323,2,9
1533139924,1,2
1533140523,2,0
1533141723,0,9
1533142323,1,0
1533142922,1,0
1533144123,1,8
1533144723,1,0
1533145322,0,3
1533145923,1,0
1533146522,1,4
1533147723,1,5
1533148323,1,1
1533148923,0,2
1533151323,0,6
1533152523,1,6
1533153123,1,6
1533153722,1,7
1533156123,2,9
1533157323,0,6
1533158522,2,3
1533159123,1,3
1533159723,1,2
1533160322,2,8
1533161522,1,11
1533162722,0,4
1533163323,0,8
1533164524,0,7
1533166322,1,9
1533166923,0,4
1533167523,1,0
1533168122,0,6
1533169323,2,0
1533170522,0,18
1533171722,0,7
1533172322,1,3
1533172922,0,4
1533174722,0,7
1533175323,0,4
1533175922,1,0
1533177122,2,3
1533177722,4,0
1533178922,1,3
1533179523,2,7
1533180122,11,2
1533181322,7,0
1533182523,6,13
1533183722,0,10
1533184322,1,0
1533184924,2,6
1533185522,0,3
1533186122,0,3
1533186723,1,0
1533187323,2,0
1533187923,2,4
1533188523,0,9
1533189723,1,8
1533190323,1,5
1533190923,0,5
1533191522,1,0
1533192124,0,8
1533193323,0,4
1533193923,2,0
1533194523,0,3
1533195723,0,4
1533196325,1,0
1533196923,36,1
1533197523,14,0
1533198123,6,1
1533198723,19,4
1533199323,7,0
1533200523,3,6
1533201723,4,6
1533202922,5,0
1533203523,1,2
1533205323,5,6
1533206523,5,5
1533207122,1,2
1533207723,0,4
1533208322,1,0
1533208922,2,0
1533210122,3,17
1533210722,12,2
1533211323,1,10
1533212522,4,11
1533213122,1,0
1533213722,1,0
1533214922,3,5
1533216123,4,4
1533216722,4,4
1533217322,1,4
1533217922,1,0
1533219122,1,3
1533219722,1,0
1533220922,1,7
1533222123,1,3
1533223323,0,6
1533224522,1,2
1533225124,0,7
1533225724,0,3
1533226323,0,5
1533226923,0,13
1533227523,2,0
1533228123,1,10
1533228722,1,0
1533229324,0,8
1533230523,0,5
1533231722,3,4
1533232923,1,12
1533233523,2,9
1533234123,0,8
1533234723,1,2
1533236523,0,8
1533237723,0,2
1533238323,0,5
1533238923,1,0
1533239523,0,1
1533240123,0,6
1533241323,0,14
1533242522,1,9
1533243123,0,5
1533244322,1,6
1533244922,0,4
1533245523,0,7
1533246722,0,10
1533247922,0,6
1533249123,0,6
1533250322,0,9
1533250923,0,6
1533252122,0,4
1533253323,0,18
1533253923,4,0
1533254523,18,5
1533255723,14,0
1533256922,4,16
1533258123,5,6
1533259322,4,9
1533260523,13,0
1533261123,4,4
1533261723,5,7
1533262324,1,11
1533262922,1,0
1533263523,5,2
1533264123,1,7
