DateTime,AddedIPs,RemovedIPs
1532982722,86,86
1532983322,37,37
1532983922,47,47
1532984522,63,63
1532985723,84,84
1532986323,30,30
1532986923,56,56
1532987522,37,37
1532988123,60,60
1532988723,85,86
1532989322,23,23
1532990523,99,98
1532991123,50,50
1532991722,71,71
1532992923,90,90
1532993523,69,69
1532994123,78,78
1532994723,20,20
1532995323,83,83
1532996523,55,55
1532997124,78,78
1532997723,68,68
1532998323,38,38
1532998923,38,38
1532999523,83,83
1533000123,45,45
1533000723,77,77
1533001323,47,48
1533002523,100,99
1533003123,81,81
1533003723,75,75
1533004923,82,82
1533005522,71,71
1533006123,68,68
1533007323,77,77
1533008523,99,99
1533009122,43,43
1533009723,21,21
1533010323,71,71
1533010923,54,54
1533011522,90,91
1533012122,73,72
1533013322,88,88
1533014523,95,95
1533015122,78,78
1533015723,27,27
1533016922,80,81
1533018122,61,60
1533019322,96,96
1533019923,64,64
1533020522,61,61
1533021724,77,77
1533022922,100,100
1533023522,71,71
1533024123,26,26
1533025323,100,100
1533025923,59,59
1533026523,69,69
1533027723,87,87
1533028922,98,98
1533029523,24,24
1533030122,86,86
1533031322,100,100
1533031924,91,91
1533032523,40,40
1533033123,48,48
1533033723,70,70
1533034323,86,86
1533034922,37,37
1533036124,79,79
1533037323,62,62
1533037923,88,88
1533038522,95,95
1533039723,93,93
1533040923,96,96
1533042123,97,97
1533042723,79,79
1533043322,50,50
1533043923,29,29
1533044523,71,71
1533045123,86,86
1533045722,46,46
1533046323,81,81
1533046923,73,73
1533047523,77,77
1533048122,43,43
1533048723,45,45
1533049324,60,60
1533050523,83,83
1533051723,86,86
1533052323,84,84
1533052922,42,42
1533053524,89,89
1533054122,76,76
1533054722,88,88
1533055322,23,23
1533055923,64,64
1533056522,83,83
1533057722,100,100
1533058922,99,99
1533059522,72,72
1533060123,81,81
1533060725,69,69
1533061323,86,86
1533061923,80,80
1533062522,27,27
1533063723,76,76
1533064322,60,60
1533064923,60,60
1533067323,93,93
1533068523,77,77
1533069723,71,71
1533070923,85,85
1533072124,86,86
1533073322,100,100
1533074523,100,100
1533075123,36,36
1533075723,77,77
1533076923,94,94
1533078123,88,88
1533079323,100,100
1533079923,92,92
1533080523,65,65
1533081723,82,82
1533082322,20,20
1533082923,81,81
1533084123,95,95
1533085322,98,98
1533086524,100,100
1533087124,73,73
1533087722,62,62
1533088322,80,80
1533088922,78,78
1533090123,99,99
1533090723,32,32
1533091322,74,74
1533092523,70,70
1533093123,40,40
1533093723,65,65
1533094323,66,66
1533094923,59,59
1533095522,62,62
1533096123,54,54
1533097323,79,79
1533098524,98,99
1533099123,29,28
1533099723,75,75
1533100922,95,95
1533102123,99,99
1533102723,54,54
1533103322,75,75
1533103923,66,66
1533104523,66,66
1533105723,91,91
1533106923,70,70
1533107524,73,73
1533108123,63,64
1533109323,94,93
1533109922,46,46
1533110523,68,68
1533111123,30,30
1533111722,65,66
1533112923,95,95
1533113522,42,42
1533114123,49,49
1533115323,61,61
1533116523,71,70
1533117123,45,45
1533117723,39,39
1533118924,73,73
1533119523,38,38
1533120123,34,34
1533120723,72,72
1533121323,56,56
1533121924,51,51
1533122523,76,76
1533124323,91,91
1533124923,67,67
1533126122,99,99
1533126722,45,45
1533127322,59,59
1533128523,69,69
1533129123,60,60
1533129722,38,38
1533130323,25,25
1533130923,73,73
1533131522,51,51
1533132123,50,50
1533133324,81,81
1533134523,83,83
1533135123,41,41
1533135722,26,26
1533136923,61,61
1533137522,50,50
1533138122,51,51
1533138724,53,53
1533139323,27,27
1533139924,48,48
1533140523,61,61
1533141723,92,92
1533142323,76,76
